3215.weekending,01/30/y11,01/30/11
18999.influenzacategory,Influenza_BYaamgata,Influenza_BYamagata
26910.region,Califonria,California
9326.region,ower Southern,Lower Southern
25679.region,Nothern,Northern
15670.region,Upper Sovuthern,Upper Southern
10007.weekending,03/02/41,03/02/14
11857.influenzacategory,Influenz_B,Influenza_B
18478.season,2016-201n7,2016-2017
16870.season,0215-2016,2015-2016
592.influenzacategory,nIfluenza_Tested,Influenza_Tested
2656.weekending,10/24/w10,10/24/10
27335.season,2019-2p020,2019-2020
18843.season,2z016-2017,2016-2017
5477.region,Upper Suothern,Upper Southern
2031.region,aClifornia,California
13133.influenzacategory,nfluenza_A,Influenza_A
283.region,Upper Southjern,Upper Southern
4783.influenzacategory,Influneza_B,Influenza_B
10815.weekending,07/20/e14,07/20/14
28284.weekending,03/0q8/20,03/08/20
1138.influenzacategory,Influenzma_AH3,Influenza_AH3
9672.weekending,0105/14,01/05/14
8295.weekending,5/26/13,05/26/13
4844.season,20x11-2012,2011-2012
5539.influenzacategory,Inlfuenza_B,Influenza_B
4297.weekending,7/24/11,07/24/11
1656.weekending,50/30/10,05/30/10
4961.weekending,11/1/11,11/13/11
4644.season,2010-201,2010-2011
22586.weekending,50/13/18,05/13/18
14933.influenzacategory,InfluenzaA,Influenza_A
11569.season,20142-015,2014-2015
26033.influenzacategory,Inluenza_A,Influenza_A
16458.influenzacategory,Inflenza_BVictoria,Influenza_BVictoria
4187.region,Clifornia,California
16774.season,2015-2106,2015-2016
28677.influenzacategory,Ifnluenza_B,Influenza_B
9924.season,2013-204,2013-2014
19350.influenzacategory,Influenzau_BNotLineageTyped,Influenza_BNotLineageTyped
16656.influenzacategory,Influenza_ANotuSbtyped,Influenza_ANotSubtyped
12055.season,201-2015,2014-2015
15106.season,201-2016,2015-2016
25543.season,0218-2019,2018-2019
14911.influenzacategory,Influnza_Total,Influenza_Total
19124.season,2016-20x17,2016-2017
23554.influenzacategory,InfluenzaA_H3,Influenza_AH3
11145.weekending,0l9/07/14,09/07/14
16201.season,d2015-2016,2015-2016
1613.weekending,05/2310,05/23/10
29735.season,201-2020,2019-2020
3457.weekending,03/06/11***,03/06/11
13968.influenzacategory,Inflenza_BVictoria,Influenza_BVictoria
25666.region,Lower Soutern,Lower Southern
17443.region,LowerS outhern,Lower Southern
26592.weekending,08/18/9,08/18/19
12849.weekending,03/2/15,03/29/15
10157.region,Centrasl,Central
24127.influenzacategory,Influnza_B,Influenza_B
26019.influenzacategory,Influenz_BYamagata,Influenza_BYamagata
20490.influenzacategory,Influenza_BNoqtLineageTyped,Influenza_BNotLineageTyped
6750.region,Califorina,California
29102.influenzacategory,Infleunza_Tested,Influenza_Tested
1594.region,Claifornia,California
13830.season,v2014-2015,2014-2015
23760.influenzacategory,Influenza_BNotLneageTyped,Influenza_BNotLineageTyped
4965.region,oNrthern,Northern
25751.weekending,05/12/91,05/12/19
7319.season,2012-t2013,2012-2013
20395.season,20162-017,2016-2017
15851.season,2015-016,2015-2016
24675.weekending,1/13/19,01/13/19
6401.influenzacategory,Infuenza_Total,Influenza_Total
8008.weekending,04/07/31,04/07/13
8003.influenzacategory,Inluenza_B,Influenza_B
25192.region,Lower Souhtern,Lower Southern
8614.region,Lower Souhern,Lower Southern
21639.season,2071-2018,2017-2018
26872.season,2108-2019,2018-2019
23097.region,Nodrthern,Northern
26841.season,20182-019,2018-2019
17659.region,BayArea,Bay Area
12093.influenzacategory,Infleunza_A,Influenza_A
14688.influenzacategory,Influenaz_BVictoria,Influenza_BVictoria
20451.season,2061-2017,2016-2017
16386.season,205-2016,2015-2016
8408.season,201-22013,2012-2013
13507.region,Uppfer Southern,Upper Southern
229.season,200c9-2010,2009-2010
10490.region,Calinfornia,California
19861.season,20162-017,2016-2017
26824.season,201-2019,2018-2019
14837.weekending,11p/22/15,11/22/15
14053.influenzacategory,Inflquenza_A,Influenza_A
29514.region,Nrothern,Northern
8705.region,Northetrn,Northern
11065.influenzacategory,Inflenza_A,Influenza_A
5190.weekending,122/5/11,12/25/11
19311.season,2016-20b17,2016-2017
23103.season,2017-2081,2017-2018
2288.season,2009-0210,2009-2010
11433.season,2041-2015,2014-2015
28680.weekending,04/19/0,04/19/20
17296.region,BayA rea,Bay Area
1770.region,Upper Southen,Upper Southern
24454.weekending,12/16/1c8,12/16/18
12874.season,2041-2015,2014-2015
27421.weekending,1/24/19,11/24/19
13348.season,2041-2015,2014-2015
25203.influenzacategory,Infuenza_A,Influenza_A
8019.region,Centrl,Central
25321.influenzacategory,Inflenza_Total,Influenza_Total
27655.weekending,12/22/91,12/22/19
12425.region,Uper Southern,Upper Southern
25193.region,Northgern,Northern
26919.region,Ceuntral,Central
12249.influenzacategory,Influeonza_BYamagata,Influenza_BYamagata
12855.season,n2014-2015,2014-2015
21124.region,Uppe Southern,Upper Southern
4174.influenzacategory,Influenzna_B,Influenza_B
13651.season,m2014-2015,2014-2015
16348.region,Califonria,California
4003.region,Upper Southeren,Upper Southern
