nhddataset,ftypevalue(long),ftypedescription
NHDPoint,343.0,DamWeir
NHDPoint,343.0,Gaging Station
NHDPoint,369.0,Gate
NHDPoint,487.0,Lock Chamber
NHDPoint,487.0,Rapids
NHDPoint,436.0,Reservoir
NHDPoint,369.0,Rock
NHDPoint,487.0,SinkRise
NHDPoint,487.0,SpringSeep
NHDPoint,343.0,Water IntakeOutflow
NHDPoint,487.0,Waterfall
NHDPoint,436.0,Well
NHDFlowline,334.0,Connector
NHDFlowline,343.0,CanalDitch
NHDFlowline,420.0,DamWeir
NHDFlowline,334.0,Pipeline
NHDFlowline,343.0,StreamRiver
NHDFlowline,487.0,Drainageway
NHDFlowline,558.0,ArtificialPath
NHDFlowline,487.0,Coastline
NHDLine,436.0,Bridge
NHDLine,558.0,DamWeir
NHDLine,362.0,Flume
NHDLine,369.0,Gapte
NHDLine,398.0,Lock Chamber
NHDLine,411.0,Nonearthen Shore
NHDLine,431.0,Rapids
NHDLine,434.0,Reef
NHDLine,450.0,SinkRise
NHDLine,478.0,Tunnel
NHDLine,483.0,Wall
NHDLine,487.0,Waxterfall
NHDLine,503.0,Sounding Datum Line
NHDLine,568.0,Levee
NHDArea,307.0,Area to be Submerged
NHDArea,312.0,BayInlet
NHDArea,318.0,Bridge
NHDArea,336.0,CanalDitch
NHDArea,343.0,DamWgeir
NHDArea,362.0,lume
NHDArea,364.0,Foreshore
NHDArea,398.0,Lock hamber
NHDArea,403.0,Inundation Area
NHDArea,431.0,Raids
NHDArea,445.0,SeaOcean
NHDArea,455.0,Spillway
NHDArea,460.0,StreamRiver
NHDArea,461.0,Submerged Stream
NHDArea,484.0,Wash
NHDArea,485.0,Water IntakeOutflow
NHDArea,537.0,Area of Complex Channels
NHDArea,568.0,Legvee
NHDWaterbody,361.0,Playa
NHDWaterbody,378.0,Ice Mass
NHDWaterbody,390.0,LakePond
NHDWaterbody,436.0,Reskervoir
NHDWaterbody,466.0,SwampMarsh
