22.ftypevalue,558.0,343
56.ftypedescription,Reskervoir,Reservoir
16.ftypevalue,334.0,428
12.ftypevalue,436.0,488
17.ftypevalue,343.0,460
5.ftypevalue,487.0,431
40.ftypedescription,lume,Flume
44.ftypedescription,Raids,Rapids
2.ftypevalue,343.0,367
8.ftypevalue,487.0,450
18.ftypevalue,487.0,468
32.ftypedescription,Waxterfall,Waterfall
14.ftypevalue,343.0,336
4.ftypevalue,487.0,398
24.ftypedescription,Gapte,Gate
39.ftypedescription,DamWgeir,DamWeir
15.ftypedescription,DamWeir,Underground Conduit
21.ftypevalue,436.0,318
52.ftypedescription,Legvee,Levee
9.ftypevalue,487.0,458
20.ftypevalue,487.0,566
42.ftypedescription,Lock hamber,Lock Chamber
7.ftypevalue,369.0,441
10.ftypevalue,343.0,485
