code,category,description,size,total_inventory,price,sale_price,sale_end_date
329899,AMERICAN WHITE,Soleil Mimosa Mango,750ML,0,16.99,NULL,NULL
42250,CORDIALS,Hiram Walker Triple Sec Liqueur 60 Proof,375ML,0,7.99,NULL,NULL
315535,ITALY,CASTELLO DI POPPIANO CHN,750ML,0,11.99,NULL,NULL
42534,CHAMPAGNE/SPARKLING,Drappier Carte d'Or Brut Champagne,750ML,6,53.99,NULL,NULL
42250,TEQUILA,Codigo 1530 Artesenal Mezcal,750ML,83,67.99,NULL,NULL
335940,FRANCE,Domaine de Clos De L'Epinay Demi Sec Vouvray Chenin Blanc,750ML,0,22.99,NULL,NULL
84263,AMERICAN WHITE,Sutter Home Winery Chardonnay,750ML,76,7.99,NULL,NULL
41327,BRANDY/COGNAC/GRAPPA,St. Remy VSOP Brandy,750ML,264,14.99,NULL,NULL
84550,AUSTRALIA,Jacob's Creek Classic Cabernet Sauvignon,1.5L,0,17.99,NULL,NULL
29955,TEQUILA,Patron Reposado Tequila,750ML,337,59.99,NULL,NULL
42250,FRANCE,Chateau Paradis Terre des Anges Rose Coteaux d'Aix en provence Syrah,750ML,0,27.99,NULL,NULL
42250,FRANCE,Chateau Roumieu Sauternes Semillon,375ML,2,27.99,NULL,NULL
42250,AMERICAN TABLE,Horton Vineyards Chateau le Cabin Blackberry Wine Petit Verdot,750ML,0,18.99,NULL,NULL
43903,ITALY,Cantina Frentana Rubesto Riserva Montepulciano D'Abruzzo DOC,750ML,0,15.99,NULL,NULL
42250,ASIA,SHO CHIKU BAI SAKE,1.5L,0,16.99,NULL,NULL
242146,AMERICAN BLUSH/ROSE,Schug Rose Pinot Noir,750ML,0,22.99,NULL,NULL
30320,VODKA,Svedka Strawberry Pineapple Gin,750ML,242,11.99,NULL,NULL
42534,SPECIALTY,Old Camp Peach Pecan Whiskey,750ML,0,18.49,NULL,NULL
50636,CORDIALS,Kahlua Original Coffee Liqueur,750ML,360,23.99,NULL,NULL
315535,DOMESTIC BOTTLE,Dogfish Head 120 Minute IPA - 4 Pack,12.0Z,34,34.99,NULL,NULL
376051,ITALY,Tenuta delle Terre Nere Bianco Etna Carricante,750ML,0,29.99,NULL,NULL
29955,PORT/SHERRY/DESSERT/VERMOUTH,Taylor Wine Company Dry Sherry,3L,2,18.99,NULL,NULL
84550,AMERICAN WHITE,Snoqualmie Vineyards Gewurztraminer,750ML,0,12.49,NULL,NULL
42250,BRANDY/COGNAC/GRAPPA,E&J V.S.O.P. Superior Reserve Brandy,50ML,2010,1.39,NULL,NULL
42250,AMERICAN RED,Groth Reserve Cabernet Sauvignon,750ML,12,163.99,NULL,NULL
42534,CHAMPAGNE/SPARKLING,Caves de Grenelle Peche Imperiale Chenin Blanc,750ML,7,11.99,NULL,NULL
72003,LIQ BASED SELTZER,High Noon Sun Sips Mango Hard Seltzer - 4 Pack,355ML,1964,10.99,NULL,NULL
42534,BOURBON/RYE,Evan Williams Bottled in Bond Kentucky Straight Bourbon Whiskey 1.75L,1.75L,171,31.99,NULL,NULL
42534,DOMESTIC CAN,BROOKEVILLE PREVAILING WINDS 6/4 16OZ CANS - 4 Pack,16.0Z,92,14.99,NULL,NULL
16772,CORDIALS,99 Bananas Liqueur,1L,0,20.99,NULL,NULL
89927,CHILE,Root:1 [The Original Ungrafted] Cabernet Sauvignon,750ML,2,14.99,NULL,NULL
88929,MISCELLANEOUS IMPORTED,KENSEI JAPANESE WHISKY   750ML,750ML,22,89.99,NULL,NULL
10103,BOURBON/RYE,Knob Creek 9 Year Old Small Batch Kentucky Straight Bourbon Whiskey 100 Proof,375ML,41,19.99,NULL,NULL
13188,AUSTRALIA,"Yellow Tail Shiraz, Cabernet Sauvignon",750ML,75,6.99,NULL,NULL
70942,BRANDY/COGNAC/GRAPPA,E&J Peach Brandy,750ML,246,11.99,NULL,NULL
16283,GIN,Hendrick's Neptunia Gin,750ML,166,39.99,NULL,NULL
249212,RUM,Malibu Watermelon Rum 50ML,50ML,2182,2.99,NULL,NULL
332066,FRANCE,LA CHASSE PRETIGE CDR,750ML,0,11.99,NULL,NULL
42250,AMERICAN WHITE,Douglas Green The Beach House Sauvignon Blanc,750ML,0,12.99,NULL,NULL
310442,AMERICAN WHITE,Carmel Road Liberated Riesling,750ML,0,17.49,NULL,NULL
42250,GIN,Plymouth Gin,750ML,155,33.99,NULL,NULL
52841,FRANCE,Monsieur Touton Blanc Sauvignon Blanc,1.5L,0,26.99,NULL,NULL
42534,VODKA,Burnett's Strawberry Banana Vodka,1.75L,11,14.99,NULL,NULL
27731,SCOTCH,Cutty Sark Original Blended Scotch Whisky,1L,0,25.99,NULL,NULL
314379,ITALY,Villa Sandi Il Fresco Brut Prosecco Glera,750ML,0,21.99,NULL,NULL
123196,ITALY,Fattoria La Monacesca Verdicchio di Matelica DOC,750ML,0,19.99,NULL,NULL
81344,ARGENTINA,Tilia Merlot,750ML,4,13.99,NULL,NULL
239478,FRANCE,Chateau de L'Escarelle Grenache,750ML,31,16.39,NULL,NULL
14208,IMPORTED CAN,HOLLANDIA 6/4 14.9OZ CANS - 4 Pack,14.9Z,0,5.99,NULL,NULL
392693,ITALY,Monte Degli Angeli Sangiovese,750ML,0,9.99,NULL,NULL
232282,GERMANY,Oh Be Joyful Sweet Deutscher Qualitatswein Dornfelder,750ML,0,12.99,NULL,NULL
296994,VODKA,Old Bay Vodka,750ML,647,19.99,NULL,NULL
313978,AMERICAN RED,Madria Sangria Moscato Muscat,750ML,64,7.99,NULL,NULL
42534,AMERICAN WHITE,Qupe Bien Nacido Cuvee Chardonnay,750ML,0,18.49,NULL,NULL
336085,SPAIN/PORTUGAL,Casal Garcia Branco Trajadura,1L,1,11.49,NULL,NULL
42534,RUM,Sugar Island Spiced Rum,750ML,0,21.99,NULL,NULL
42567,AMERICAN RED,Brandlin Cabernet Sauvignon,750ML,6,129.99,NULL,NULL
315535,CANADIAN/BLENDED WHISKEY,Seagram's VO Canadian Whisky,1.75L,166,26.99,NULL,NULL
42250,KOSHER,Mogen David Classic American Kosher Concord,1.5L,8,10.99,NULL,NULL
315535,AMERICAN RED,Jordan Vineyard & Winery Cabernet Sauvignon,750ML,239,57.99,NULL,NULL
48123,CHAMPAGNE/SPARKLING,Gruet Winery Extra Dry Methode Champenoise Chardonnay,750ML,0,16.99,NULL,NULL
42250,AMERICAN RED,Hazlitt 1852 Vineyards Red Cat Catawba,1.5L,0,20.99,NULL,NULL
297261,MIXERS,MASTER OF MIXES COCKTAIL ESSENTIALS AGAVE 375ML,375ML,394,8.99,NULL,NULL
315535,SPAIN/PORTUGAL,Ermita de Petrer Tinto Organic Alicante,750ML,0,8.99,NULL,NULL
361933,AMERICAN RED,Sea Ridge Cabernet Sauvignon,750ML,0,5.99,NULL,NULL
84624,FRANCE,Louis Latour Meursault Chardonnay,750ML,0,107.99,NULL,NULL
42250,CHAMPAGNE/SPARKLING,Sweet Bitch Mango Moscato Muscat,750ML,0,10.49,NULL,NULL
42250,VODKA,CiROC Red Berry Vodka,1.75L,120,56.99,NULL,NULL
167656,MISCELLANEOUS IMPORTED,CHUM CHURUM SOONHARI APPLE MANGO GIFT SET 375ML,375ML,0,7.29,NULL,NULL
70463,BRANDY/COGNAC/GRAPPA,Hartley VSOP Brandy,750ML,0,8.99,NULL,NULL
29955,AMERICAN RED,Madria Sangria Tradicional Fresh Citrus Red Blend,1.5L,144,11.99,NULL,NULL
313326,ITALY,Malatestiane Baciami Albana di Romagna,750ML,0,10.99,NULL,NULL
42250,AMERICAN RED,Chateau Montelena The Montelena Estate Cabernet Sauvignon,750ML,3,154.99,NULL,NULL
315535,TEQUILA,Olmeca Altos Plata Tequila,750ML,358,31.99,26.99,11/30/2022
42250,DOMESTIC CAN,VICTORY CLOUD WALKER HAZY IPA 6/4 16OZ CANS - 4 Pack,16.0Z,0,9.99,NULL,NULL
42534,CORDIALS,Giffard Abricot Du Rousillon Premium Liqueur,750ML,0,40.99,NULL,NULL
339963,ITALY,Rocca delle Macie Head to Head Red Toscana IGT Rare Red Blend,750ML,0,11.99,NULL,NULL
344323,ITALY,K. Martini & Sohn Gurnzan Alto Adige   Sudtirol Lagrein,750ML,0,27.99,NULL,NULL
47541,FRANCE,Chateau de Flaugergues Cuvee Sommeliere La Mejanelle White Southern Rhone Blend,750ML,0,18.99,NULL,NULL
241072,SPAIN/PORTUGAL,Gota Prunus Private Selection Portuguese Red Blend,750ML,0,16.39,NULL,NULL
42534,BRANDY/COGNAC/GRAPPA,Paul Masson VS Grande Amber 3 Year Old Brandy,375ML,555,6.99,NULL,NULL
