11.namevalue,Michgan,Michigan
44.namevalue,NewMexico,New Mexico
7.namevalue,Virgindia,Virginia
13.namevalue,Forida,Florida
50.namevalue,New Jbersey,New Jersey
27.namevalue,North arolina,North Carolina
18.namevalue,Wasahington,Washington
33.namevalue,Mssachusetts,Massachusetts
48.namevalue,Kaznsas,Kansas
20.namevalue,Illinobis,Illinois
7.obesity,10.795556656132721,29.2
39.obesity,51.96391104651534,29.5
21.namevalue,Mcissouri,Missouri
44.obesity,53.678338332132085,28.8
39.namevalue,Puerto xRico,Puerto Rico
37.namevalue,Rhoed Island,Rhode Island
34.obesity,50.72068557630971,26.7
23.obesity,53.82470911482527,30.4
43.namevalue,Arizoan,Arizona
41.namevalue,Maaine,Maine
26.namevalue,Coloraod,Colorado
25.namevalue,Misissippi,Mississippi
46.obesity,58.266176703903,29.7
5.namevalue,Wisonsin,Wisconsin
