X,Y,OBJECTID,LEASE_NUMBER,PROJECT_NAME,PROJECT_PHASE_NUMBER,DEVELOPER_NAME,WIND_TURBINE_ID,MAX_HEIGHT_M,MAX_MW,MAX_ROTOR_DIAMETER_M,WIND_TURBINE_MODEL,DEPTH_M,OPTION_NUMBER,STATUS,NOTES,LONGITUDE_NAD83,LATITUDE_NAD83,Northing,Easting,UTM_ZONE,is_spare
-7924841.6003,5028406.3357,101,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AM05,240,11,200,SG 11.0-200DD,,,Proposed,,-71.19006281,41.10881473,4553148,316109.464195,19N,
-7922352.8392,5025916.4334,102,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AN06,240,11,200,SG 11.0-200DD,,,Proposed,,-71.16770589,41.09195975,4551229.75754,317940.24246,19N,
-7917420.7263,5026126.4814,103,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AN08,240,11,200,SG 11.0-200DD,,,Proposed,,-71.12339998,41.0933818,4551296,321665.460697,19N,
-7915025.6739,5023780.895,104,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AP09,240,11,200,SG 11.0-200DD,,,Proposed,,-71.10188487,41.07750013,4549488.97812,323430,19N,
-7917593.5879,5028470.1672,105,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AM08,240,11,200,SG 11.0-200DD,,,Proposed,,-71.12495283,41.10924677,4553060.53899,321578,19N,
-7922503.8406,5028465.0588,106,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AM06,240,11,200,SG 11.0-200DD,,,Proposed,,-71.16906236,41.10921219,4553148,317874,19N,
-7920050.1532,5028526.0852,107,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AM07,240,11,200,SG 11.0-200DD,,,Proposed,,-71.14702052,41.10962524,4553148,319725.999999,19N,
-7924895.7793,5025940.7209,108,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AN05,240,11,200,SG 11.0-200DD,,,Proposed,,-71.19054951,41.09212418,4551296,316021.999998,19N,
-7915083.4071,5026183.3786,109,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AN09,240,11,200,SG 11.0-200DD,,,Proposed,,-71.1024035,41.093767,4551296,323430.000002,19N,
-7924834.1336,5023478.6483,110,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AP05,240,11,200,SG 11.0-200DD,,,Proposed,,-71.18999573,41.07545338,4549444.00001,316022.000004,19N,
-7919929.2868,5023601.1177,111,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AP07,240,11,200,SG 11.0-200DD,,,Proposed,,-71.14593476,41.07628273,4549444,319725.999999,19N,
-7917476.7872,5023661.4209,112,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AP08,240,11,200,SG 11.0-200DD,,,Proposed,,-71.12390359,41.07669109,4549444,321578,19N,
-7912396.281,5016396.885,113,OCS-A 0487,Sunrise Wind,,Orsted,88,240,11,200,SG 11.0-200DD,,,Proposed,,-71.07826464,41.02747888,4543888,325282,19N,
-7914850.1384,5016191.6941,114,OCS-A 0487,Sunrise Wind,,Orsted,89,240,11,200,SG 11.0-200DD,,,Proposed,,-71.10030801,41.02608832,4543778,323425,19N,
-7917297.7217,5016278.4402,115,OCS-A 0487,Sunrise Wind,,Orsted,90,240,11,200,SG 11.0-200DD,,,Proposed,,-71.12229502,41.02667619,4543888,321578,19N,
-7919748.3673,5016218.2883,116,OCS-A 0487,Sunrise Wind,,Orsted,91,240,11,200,SG 11.0-200DD,,,Proposed,,-71.14430954,41.02626855,4543888,319726,19N,
-7922195.677,5016024.6899,117,OCS-A 0487,Sunrise Wind,,Orsted,92,240,11,200,SG 11.0-200DD,,,Proposed,,-71.16629409,41.02495652,4543788,317874,19N,
-7924646.1876,5015963.3018,118,OCS-A 0487,Sunrise Wind,,Orsted,93,240,11,200,SG 11.0-200DD,,,Proposed,,-71.18830739,41.02454049,4543788,316022,19N,
-7927099.9989,5016034.1153,119,OCS-A 0487,Sunrise Wind,,Orsted,94,240,11,200,SG 11.0-200DD,,,Proposed,,-71.21035035,41.0250204,4543888,314170,19N,
-7929550.4394,5015971.4855,120,OCS-A 0487,Sunrise Wind,,Orsted,95,240,11,200,SG 11.0-200DD,,,Proposed,,-71.23236302,41.02459595,4543888,312318,19N,
-7932000.8273,5015908.2363,121,OCS-A 0487,Sunrise Wind,,Orsted,96,240,11,200,SG 11.0-200DD,,,Proposed,,-71.25437522,41.0241673,4543888,310466,19N,
-7934451.162,5015844.3678,122,OCS-A 0487,Sunrise Wind,,Orsted,97,240,11,200,SG 11.0-200DD,,,Proposed,,-71.27638694,41.02373445,4543888,308614,19N,
-7909847.9781,5016457.4843,123,OCS-A 0487,Sunrise Wind,,Orsted,87,240,11,200,SG 11.0-200DD,,,Proposed,,-71.05537286,41.02788955,4543888,327207.684,19N,
-7909884.7771,5013843.0243,124,OCS-A 0487,Sunrise Wind,,Orsted,117,240,11,200,SG 11.0-200DD,,,Proposed,,-71.05570343,41.01016949,4541921.3762,327133.5469,19N,
-7890337.4332,5016899.2063,125,OCS-A 0487,Sunrise Wind,,Orsted,79,240,11,200,SG 11.0-200DD,,,Proposed,,-70.8801067,41.03088293,4543888,341950,19N,
-7895239.7228,5016791.919,126,OCS-A 0487,Sunrise Wind,,Orsted,81,240,11,200,SG 11.0-200DD,,,Proposed,,-70.92414471,41.0301559,4543888,338246,19N,
-7900141.8311,5016682.1516,127,OCS-A 0487,Sunrise Wind,,Orsted,83,240,11,200,SG 11.0-200DD,,,Proposed,,-70.96818108,41.02941205,4543888,334542,19N,
-7902592.8159,5016626.338,128,OCS-A 0487,Sunrise Wind,,Orsted,84,240,11,200,SG 11.0-200DD,,,Proposed,,-70.99019865,41.02903382,4543888,332690,19N,
-7905043.7538,5016569.9045,129,OCS-A 0487,Sunrise Wind,,Orsted,85,240,11,200,SG 11.0-200DD,,,Proposed,,-71.01221579,41.02865139,4543888,330838,19N,
-7907494.6442,5016512.8512,130,OCS-A 0487,Sunrise Wind,,Orsted,86,240,11,200,SG 11.0-200DD,,,Proposed,,-71.0342325,41.02826475,4543888,328986,19N,
