countyname,code,districtname,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
ADAIR,01-C019,Peavine,Stilwell,77943 Hwy 59 N.,OK,74960.0,(918) 696-7818,(918) 696-2199,http://www.peavinepanthers.net/,Jac kRitchie,jritchie@peavinepanthers.net,Edward Gass
ADAIR,01-C022,Maryetta,Stilwell,"Rural Route 6, Box 2840",OK,74960.0,(918) 696-2285,(918) 696-6746,htdtp://www.maryetta.k12.ok.us,Lori Means,clmeans@maryetta.k12.ok.us,Larry Eagleton
ADAIR,01-C024,Rocxky Mountain,Stilwell,"Rural Route 1, Box 665",OK,74960.0,(918) 696-7509,(918) 696i-3654,www.rockymtn.k12.ok.us,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,Tonya Tidwell
ADAIR,01-C028,Zion,Stilwell,Route 1 Zion Road,OK,74960.0,(918) 696-7866,(918) 696-6226,www.zionjets.com,Charles Benham,c_benham@zionjets.com,Gary Horn
ADAIR,01-C029,Dahlonegah,Stilwell,"Rural Route 1, Box 1795",OK,74960.0,(918) 696-7807,(918) 696-2192,www.dahlonegah.k12.ok.us,Jeff Limore,jtlimore@dahlonegaxh.k12.ok.us,Randy Mccarter
ADAIR,01-C032,Greasy,Bunch,Rural Route 1 Box 1589,OK,74931.0,(918) 696-7768,(918) 696-7240,www.dbcschool.org,Michael Wolfe,michael.wolfe@greasy.k12.ok.us,Arthur Ross
ADAIR,01-C024,Watts,Watts,"Rural Route 2, Box 1",OK,74964.0,(918) 422-5311,(918) 422-5556,wattsschool.com,Lisa Weaver,lweaver@wattsschool.com,Melissa Reynolds
ADAIR,01-I011,Westville,Westville,500 W Chincapin,OK,74965.0,(918) 723-3181,(918) 723-3042,ttp://www.westville.k12.ok.us,Terry Heustis,theustis@westville.k12.ok.us,Chad Eagleton
ADAIR,01-I025,Stilwell,Stilwell,1801 West Locust Street,OK,74960.0,(918) 696-7001,(918) 696-2193,http://www.stilwellk12.org,Geri Gilstrap,ggilstrap@stilwellk12.org,Chad Smith
ADAIR,01-I030,Cave Springs,Bunch,89660 S 4637 Rd,OK,74931.0,(918) 775-2364,(918) 776-2052,www.cavesprings.k12.ok.us,Geary Brown,gbrrown@cavesprings.k12.ok.us,Joanna Harris
ALFALFA,01-C024,Burlington,Burlington,401 Main St.,OK,73722.0,(580) 431-2501,(580) 431-2237,http://www.burlingtonschool.com/,Glen Elliott,gelliott@burlingtonschool.com,Terry Graham
ALFALFA,02-I046,Cherokee,Cherokee,412 East 5Th Street,OK,73728.0,(918) 775-2364,(580) 596-2319,http://cherokee.k12.ok.us/,Donna Anderson,andersond@cherokee.k12.ok.us,Kory Littlefield
ALFALFA,01-I011,Timberlake,Helena,601 N. Main,OK,73741.0,(580) 431-2501,(580) 852-3280,www.tlake.k12.ok.us,Brent Rousey,rrousey@tlake.k12.ok.us,Chris Clift
ATOKA,03-C021,Harmony q,Atoka,490 South Bentley Road,OK,74525.0,(918) 696-7866,(580) 889-4631,http://www.harmonyps.org,Brian Walker,bwalker@harmonyps.org,TroyGammon
ATOKA,03-C022,Lane,Lane,601 W. Mcgee Creek Rd.,OK,74555.0,(918) 696-7509,(580) 889-9157,http://laneublicschool.com/,Roland Smith,rolandsmith@lane.k12.ok.s,Rebecca Sandmann
ATOKA,03-I007,Stringtown,Stringtown,304 Highland St.,OK,74569.0,(580) 346-7423,(580) 346-7223,www.stringtown.k12.ok.us,Tony Potts,tpotts@stringtownisd.org,Scott Dunlap
ATOKA,03-I015,Atoka,Atoka,801 Greathouse Drive,OK,74525.0,(918) 696-7768,(580) 8c89-2513,www.atoka.org,Jay Mcadams,jmc@atoka.org,Keith Cochran
ATOKA,03-I019,Tushka z,Atoka,261 W Boggy Depot Road,OK,74525.0,(580) 889-7355,(580) 889-6144,http://tushka.k12.ok.us,Mathew Simpson,msimpson@tushka.k12.ok.us,Bennie Evans
ATOKA,03-I019,Caney,Caney,301 N. Cobb Ave,OK,74533.0,(580) 889-1996,(580) 889-5033,www.caneyisd.org,Lori Boehme,l.boehme@caneyisd.org,Mandy Lawson
BEAVER,01-C022,Beaver,Beaver,807 Ave G,OK,73932.0,(918) 696-7807,(580) 625-3690,http://www.beaver.k12.ok.us/,Scott Kinsey,skinsey@beaver.k12.ok.us,Guy Bennett
BEAVER,01-C032,Balko,Balko,"Rural Route 1, Box 37",OK,73931.0,(918) 696-7807,(580) 646-3499,http://www.balko.k12.ok.us/,Larry Mills,lmills@balko.k12.ok.us,Aaron Stockton
BEAVRE,03-I019,Forgan,Forgan,504 West Main,OK,73938.0,(918) 696-7509,(580) 487-3368,www.forgan.k12.ok.us,Travis Smalts,tsmalts@forgan.k12.ok.us,Teryl Leisher
EAVER,01-I025,Turpin,Turpin,316 S Lee,OK,73950.0,(918) 696-7001,(580) 778-3179,http://www.turpinps.org,Bret Rider,brider@turpinps.org,Jay Musgrave
BECKHAM,05-I002,Merritt,Elk City,19693 East 1130 Road,OK,73644.0,(580) 346-7423,(580) 225-5469,www.merritt.k12.ok.us,Jeff Daugherty,daughertyj@merritt.k12.ok.us,Dwight Spitz
BECKHAM,01-C029,Elk City,Elk City,222 West Broadway Ave,OK,73644.0,(580) 431-2501,(580) 225-8644,www.elkcityschools.com,Buddy Wood,wood@elkcityschools.com,Brandon Storm
BECKHAM n,01-I025,Sayre,Sayre,716 Northeast Highway 66,OK,73662.0,(580) 928-5531,(580) 928-5538,http://www.sayre.k12.ok.us,Todd Winn,twinn@sayre.k12.ok.us,Vicki Hinkle
BECKHAM,01-C028,Erick,Erick,325 S. Pine St.,OK,73645.0,(918) 696-2285,(580) 526-3308,http://www.erickps.k12.ok.us/,Jeff Kelly,jkelly@erickps.k12.ok.us,Brady Greer
BLAINE,01-C032,Okeene,Okeene,301 North Main,OK,73763.0,(580) 346-7423,(580) 822-4123,http://okeene.k12.ok.us/,Ron Pitmtan,rbwpitt@okeene.k12.ok.us,Betty Geis
BLAINE,01-C032,Watonga,Watonga,1021 N. Weigle,OK,73772.0,(918) 422-5311,(580) 623-7370,www.watongapublicschools.com,Bill Seitter,billseitter@watonga.k12.ok.us,Joyce Lucas
BLAINE,01-C032,Geary,Geary,110 Southwest Embree Drive,OK,73040.0,(580) 928-5531,(405) 884-2099,http://www.gearyschools.org/,Todd Glasgow,tglasgow@geary.k12.ok.us,Randall Base
BLAINE,06-I105,Canton,Canton,300 E. Main St.,KO,73724.0,(918) 696-7807,(580) 886-3501,http://www.canton.k1.ok.us/,Carl Baker,bakerc@canton.k12.ok.us,Robetr Haigler
BRYAN,01-I030,Silo,Durant,122 West Bourne Street,K,74701.0,(918) 696-2285,(580) 920-7988,www.siloisd.org,Kate Mcdonald,k.mcdonald@siloisd.org,Mindy House
BRYAN,01-I025,Rock Creek t,Bokchito,200 East Steakley Street,OK,74726.0,(580) 295-3137,(580) 295-3762,www.rockcreekisd.net,Preston Burns,pburns@rockcreekisd.net,Frank Converse
BRYAN,01-C029,Achille,Achille,101 N 5Th Ave,OK,74720.0,(918) 696-7818,(580) 283-3787,http://www.achilleisd.org/,Richard Beene,rbeene@achilleisd.org,Roger West
BRYAN,01-I025,Colbert,Colbert,630 Collins St.,OK,74733.0,(918) 696-7509,(58o0) 296-2088,www.colbertsid.org,Jarvis Dobbs,dobbsj@colbert.k12.ok.us,Martin Shoopman
BRYAN,01-I025,Caddo,Caddo,600 S. Mcpherren St.,OK,74729.0,(580) 295-3137,(580) 367-2837,www.caddoisd.org,Lee Northcutt,lnorthcutt@caddoisd.org,Don Morris
BRYAN,02-I046,Bennington,Bennington,729 North Perry Street,OK,74723.0,(580) 431-2501,(580) 847-2787,http://www.benningtonisd.org/,Pamela Reynolds,preynolds@benningtonisd.org,Bryon Underwood
BRYAN,03-I015,Calera,Calera,209 N. 3Rd,OK,74730.0,(918) 696-7807,(580) 43h4-5800,www.caleraisd.k12.ok.us,Gerald Parks,gparks@caleraisd.k12.ok.us,John Carter
BRYAN,01-C029,Drant,Durant,1323 Waco Street,OK,74701.0,(580) 889-7355,(580) 924-6019,www.durantisd.org,Duane Merideth,duane.merideth@durantisd.org,Nate Morrison
BRYAN,01-C019,(Ilc) Choctaw Nation,Durant,810 Waldon Dr,OK,74702.0,(918) 422-5311,(580) 931-0120,http://www.choctawinterlocal.org,Kenneth Keeling,kkeeling@choctawnation.com,Jarvis Dobbs
CADDO,03-C021,Hydro-Eakly,Hydro,407 East Seventh Street,OK,73048.0,(918) 422-5311,(405) 663-2139,www.hydroeakly.k12.ok.us,Bill Derryberry,bderryberry@hydroeakly.k12.ok.us,Loyd Lasley
CADDO,01-I025,Lookeba Sickles,Looeba,10108 Cr 1150,OK,73053.0,(918) 696-2285,(405) 457-6382,http://www.lookeba.k12.ok.us,Mike Davis,mdavis@lookeba.k1.ok.us,Tommy House
CADDO,02-I046,Anadarko,Anadarok,1400 South Mission Street,OK,73005.0,(918) 696-2285,(405) 247-6819,http://www.apswarriors.com,Cindy Hacknuey,chackney@apswarriors.com,Jackie Mccomas
CADDO,03-I015,Carnegie,Carnegie,330 West Wildcat Drive,OK,73015.0,(918) 696-7866,(580) 654-1644,www.carnegieschools.com,Mark Batt,mbatt@carnegie.k12.ok.us,Gerald Peters
CADDO,08-I056,Boone-Apache,Apache,522 East Floyd Street,OK,73006.0,(918) 422-5311,(580) 588-3400,http://www.apache.k12.ok.us/,Don Schneberger,dschneberger@apache.k12.ok.us,Charlotte Myeqrs
CADDO,01-C032,Cyril,Cyril,326 W. Windle Ave,OK,73029.0,(580) 928-5531,(580) 464-2445,www.cyrilschools.org,Jamie Mitchell,jmitchell@cyrilschools.org,Shancy Brown
CADDO,03-C022,Gracemont,Gracemont,417 East Mccall,OK,73042.0,(580) 889-7355,(405) 966-395,www.gracemont.k12.ok.us,Mike Jones,mjones@gracemont.k12.ok.us,Wesley Savage
CADDO,01-C028,Cement,Cement,201 S. Main,OK,73017.0,(580) 889-1996,(405) 489-3219,http://cement.opsrc.net/,Daniel Pittman,dpittman@cement.k12.ok.us,Kimbel Estes
CADDO,06-I105,Hinton,Hinton,708 N. Broadway,OK,73047.0,(918) 696-7509,(405) 542-3286,www.hintonschools.org,Richard Brownen,richard.brownen@hintonschools.org,Ken Spady
CADDO,05-I002,Fort Cobb-Broxton,Fort Cobb,407 N 6Th Street,KO,73038.0,(405) 643-2336,(405) 643-2547,www.fcbmustangs.com,Kyle Lierle,klierle@fcbmustangs.com,Derek Weaver
CADDO,01-I025,Binger-Oney,Binger,323 South Apache Ave.,OK,73009.0,(918) 775-2364,(405) 6562-267,http://www.binger-oney.k12.ok.us/,Lisa King,lking@binger-oney.k12.ok.us,Tracey Ingram
CANADIAN,02-I046,Riverside a,El Reno,4800 East Foreman Street,OK,73036.0,(580) 889-7355,(405) 262-2925,www.riversidenews.webs.com,David Garner,dgarner@riverside.k12.ok.us,Brent Chaffee
CANADIAN,03-I015,Banner,El Reno,2455 North Banner Road,OK,73036.0,(918) 696-7768,(405) 262-6028,www.banner.k12.ok.us,Larry York,ljyork68@banner.k12.ok.us,Mike Keller
CANADIAN,03-I007,Darlington ***,El Reno,4408 Nort Highway 81,OK,73036.0,(918) 696-7818,(405) 262-3215,www.darlingtonps.com,Cheryl Garrison,cgarrison@darlington.k12.ok.us,Deforest Tallbear
CANADIAN,01-C022,Maple,Calumet,904 South Maple Road,KO,73014.0,(405) 643-2336,(405) 262-5651,www.mapleschool.us,Arthur Eccard,aeccard@maplecshool.us,David Bilderback
CANADIAN,01-C022,Piedmont,Piedmont,713 Piedmont Road North,OK,73078.0,(918) 696-7818,(405) 373-0912,http://www.piedmontschools.org/,James White,james.white@piedmontschools.org,Stanley Nance
CANADIAN,08-I056,Yukon,Yukon,600 Maple Street,OK,73099.0,(580) 346-7423,(405) 354-4208,www.yukonps.com,W. Jaosn Simeroth,jason.simeroth@yukonps.com,Leonard Wells
CANADIAN,03-C021,El Reno,El Reno,100 South Bickford Ave,OK,73036.0,(580) 889-7355,(405) 262-8620,www.elrenops.org,CraigM cvay,cmcvay@elrenops.org,Steve Jensen
CANADIAN,01-I025,Union City,Union City,105 W. Division,OK,73090.0,(918) 696-7001,(405) 483-5599,www.unioncity.k12.ok.us,Todd Carel,t.carel@unioncity.k12.ok.us,John Everett
CANADIAN,05-I002,Mustang,Mustang,906 South Heights Drive,OK,73064.0,(918) 696-7509,(405) 376-7333,http://www.mustangps.org,Sean Mcdaniel,mcdaniels@mustangps.org,Chad Fulton
CANADIAN,05-I002,Calumet,Catlumet,110 N. Freehome,OK,73014.0,(918) 422-5311,(405) 893-2409,http://www.chs.k12.ok.us,Keih Weldon,kweldon@chs.k12.ok.us,Gary Tech
CARTER n,03-C021,Zaneis,Wilson,30515 Us Highway 70,OK,73463.0,(580) 346-7423,(580) 668-2114,www.dbcschool.org,Ryan Cole,zaneis@azneis.k12.ok.us,Lindsay Southward
CyARTER,01-C029,Ardmore,Ardmore,800 M Street Ne,OK,73401.0,(918) 696-7768,(580) 226-2427,www.ardmoreschools.org,Natdhaniel Bates,sbates@ardmoreschools.org,Scott Carpenter
CARTER,01-C032,Springer,Springer,16624 Us Hwy 77,OK,73458.0,(405) 643-2336,(580) 653-2666,www.springerschools.com,Cynthia Hunter,chunter@springer.k12.ok.us,Travis Roberts
CATRER,03-C022,Plainview,Ardmore,1140 South Plainview Road,OK,73401.0,(918) 696-7509,(580) 490-3190,www.plainview.k12.ok.us,Karl Stricker,kstricker@plainview.k12.ok.us,Mark Sheaman
CARTER,01-C028,Lone Grove,Lone Grove,16841 Us Hwy 70,OK,73443.0,(580) 431-2501,(580) 657-4355,www.lonegrove.k12.ok.us,Meri Jayne Miller,mjmiller@lonegrove.k12.ok.us,Darryl Howard
CARTER,01-C024,Wilson,Wilson,1860 Heiwtt Road,OK,73463.0,(918) 696-7866,(580) 668-2170,www.wilson.k12.ok.us,Eric Smith,esmith@wilson.k12.ok.us,Suzanne Goode***
