yearvalue(long),statevalue,hai,county,facilityid(long),facilityname,notes
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,120000413,Adventist Health Tehachapi Valley,No surgeries in the 28 surgical procedrue categories were performed in 2016.
1599,Califorina,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240001218,Ballard Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Agneles,930000014,Barlow Respiratory Hosppital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000031,California Rehabilitation Institute,No surgeries in the 28 surgical procedure categories were performed in 2016.
1157,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000020,Casa Colina Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, SurgicalSite Infections (SSI)",Los Angeles,930000013,Catalina Island Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2780,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Stanislauis,30000129,Central Valley Specialty Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
1728,Cailfornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Oorange,60001207,Children's Hospital at Mission,No surgeries in the 28 surgical procedure categories were performed in 2016.
2597,California,"Healthcare Associated Infection, Surgical Site nfections (SSI)",Fresno,40000096,Coalinga Regional Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Callifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",rOange,60000008,College Hosptial Costa Mesa,No surgeries in the 28 surgical procedure categories were performed in 2016.
2719,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Plumas,230000004,"Eastern Plumas Hospital, Portola Campus",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcae Associated Infection, Surgical Site Infections (SSI)",Butte,230000405,Enloe Rehabilitation Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2020,California,"Healthcare Asociated Infection, Surgical Site Infections (SSI)",Alameda,140000184,Fairmont Hsopital,No surgeries in the 82 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,170001767,Fairview Developmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
1580,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Glenn,230000006,Glenn Mediacl Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Oranige,60001674,"Healthbridge Children's Hospital, Orange",No surgeries in the 28 surgcal procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,120000555,Healthsouth Bakersfield Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infectaions (SSI)",Stnaislaus,630016419,HealthSouth Rehabilitation Hospital of Modesto,No surgeries in the 28 surgical procedure categories were performed in 2016.
2229,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60001097,Healthsouth Tustin Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were perormed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infejctions (SSI)",Humboldt,110000057,Jerold Phelps Community Hosital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2954,Califorhnia,"Healthcare Associated Infection, Surgical Site Infectinos (SSI)",Maripoas,40000105,John C. Fremon Healthcare District,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Marin,110000946,Kentfield ospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Caliyfornia,"Healthcare Associated Infection,Surgical Site Infections (SSI)",San Francisco,630016625,Kentfield Hospital San Francisco,No surgeries in the 28 surgical procedure cateories were performed in 2016.
1645,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000144,"Kindred Hospital, Baldwin Park",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",range,60001360,"Kindred Hospital, Brea",No surgeries in kthe 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angneles,930000089,"Kindred Hospital, La Mirada",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000088,"Kindred Hospital, Los Angeles",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San eBernardino,240000040,"Kinrded Hospital, Ontario",No surgeries in the 28 surgical procedure categories were performed in 2016.
1026,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Riverside,250000004,"Kindred Hospitmal, Riverside",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Diego,90000048,"Kindred Hospital, San Diego",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,jCalifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alakmeda,140000148,"Kindred Hospital, San Francisco Bay Area",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000042,"Kindred Hospital, San Gabriel Valley",No surgeries in the 28 surgical procedure categories were performed in 2016.
