56.monthvalue,Sep i2014,Sep 2014
58.rainseason,2017z/2018,2017/2018
21.rainseason,201g4/2015,2014/2015
13.monthvalue,Denc 2013,Dec 2013
25.rainseason,201/2017,2016/2017
36.monthvalue,Oct 014,Oct 2014
21.monthvalue,Jan 205,Jan 2015
22.rainseason,2015/201k6,2015/2016
29.monthvalue,eApr 2016,Apr 2016
8.rainseason,2017/2z018,2017/2018
31.monthvalue,Nov 015,Nov 2015
36.rainseason,201/2015,2014/2015
59.monthvalue,Feb 2e018,Feb 2018
6.rainseason,201/2018,2017/2018
14.rainseason,2015/216,2015/2016
27.rainseason,20y14/2015,2014/2015
33.monthvalue,Nova 2014,Nov 2014
60.monthvalue,Mar2 018,Mar 2018
44.monthvalue,Aug 2071,Aug 2017
30.monthvalue,Dec 0215,Dec 2015
32.monthvalue,Nov 013,Nov 2013
61.monthvalue,Arp 2018,Apr 2018
18.monthvalue,ay 2016,May 2016
25.monthvalue,aMy 2017,May 2017
52.rainseason,2013/204,2013/2014
47.rainseason,2015l/2016,2015/2016
18.rainseason,201c5/2016,2015/2016
52.monthvalue,Aug 2b014,Aug 2014
60.rainseason,2017/2r018,2017/2018
45.monthvalue,pr 2014,Apr 2014
26.monthvalue,Apdr 2015,Apr 2015
49.monthvalue,Sep 217,Sep 2017
10.monthvalue,Oct 20j17,Oct 2017
31.rainseason,2015/0216,2015/2016
55.rainseason,2015/201p6,2015/2016
40.rainseason,m2014/2015,2014/2015
28.rainseason,2016/201b7,2016/2017
11.monthvalue,May 205,May 2015
2.monthvalue,Jun 0216,Jun 2016
50.rainseason,2013/2041,2013/2014
11.rainseason,2014/2105,2014/2015
17.monthvalue,uJun 2015,Jun 2015
49.rainseason,20162017,2016/2017
15.rainseason,015/2016,2015/2016
42.rainseason,2015/2061,2015/2016
54.monthvalue,Jul 2104,Jul 2014
16.rainseason,0214/2015,2014/2015
23.monthvalue,Dc 2016,Dec 2016
24.rainseason,2016/201z7,2016/2017
37.rainseason,201n4/2015,2014/2015
