rainseason,monthvalue,rainbarrels(long),residentialsmallcisterns(long),mediumcisterns(long),largecisterns(long)
2016/2017,Apr 2017,8,60,1,0
2015/2016,Jun 0216,8733,2,0,0
2014/2015,Dec 2014,73,0,0,0
2016/2017,Mar 2017,311,15,2,1
2017/2018,Jul 2018,12,2,0,0
201/2018,Sep 2018,14,0,0,1
2015/2016,Mar 2016,4131,3,0,0
2017/2z018,Dec 2017,16,12,1,0
2017/2018,Aug 2018,19,2,0,0
2017/2018,Oct 20j17,32,24,1,0
2014/2105,May 205,141,0,0,0
2017/2018,Nov 2017,31,31,0,0
2013/2014,Denc 2013,0,0,0,0
2015/216,Feb 2016,257,0,0,0
015/2016,Jan 2016,341,0,0,0
0214/2015,Mar 2015,305,0,0,0
2014/2015,uJun 2015,320,0,0,0
201c5/2016,ay 2016,23931,16,0,0
2013/2014,Oct 2013,0,0,0,0
2016/2017,Jun 2017,88,7,0,0
201g4/2015,Jan 205,48,0,0,0
2015/201k6,Oct 2015,574,0,0,0
2016/2017,Dc 2016,2571,29,0,0
2016/201z7,Nov 2016,340,0,0,0
201/2017,aMy 2017,237,70,0,0
2014/2015,Apdr 2015,233,0,0,0
20y14/2015,Feb 2015,155,0,0,0
2016/201b7,Oct 2016,250,1,0,0
2015/2016,eApr 2016,2768,1,0,0
2015/2016,Dec 0215,439,0,0,0
2015/0216,Nov 015,422,0,0,0
2013/2014,Nov 013,0,0,0,0
2014/2015,Nova 2014,24,0,0,0
2016/2017,Feb 2017,290,1,0,0
2016/2017,Jan 2017,368,117,0,1
201/2015,Oct 014,29,0,0,0
201n4/2015,Aug 2015,284,0,0,0
2013/2014,Feb 2014,0,0,0,0
2012/2013,Sep 2013,0,0,0,0
m2014/2015,Sep 2015,152,0,0,0
2014/2015,Jul 2015,173,0,0,0
2015/2061,Aug 2016,6968,0,0,0
2012/2013,Jul 2013,0,0,0,0
2016/2017,Aug 2071,16,2,0,0
2013/2014,pr 2014,0,0,0,0
2013/2014,Jun 2014,0,0,0,0
2015l/2016,Jul 2016,20985,5,0,0
2016/2017,Jul 2017,37,1,0,0
20162017,Sep 217,0,0,0,0
2013/2041,May 2014,0,0,0,0
2012/2013,Aug 2013,0,0,0,0
2013/204,Aug 2b014,125,0,0,0
2013/2014,Mar 2014,0,0,0,0
2013/2014,Jul 2104,116,0,0,0
2015/201p6,Sep 2016,10938,3,0,0
2013/2014,Sep i2014,56,0,0,0
2013/2014,Jan 2014,0,0,0,0
2017z/2018,Jan 2018,55,36,0,0
2017/2018,Feb 2e018,12,5,0,0
2017/2r018,Mar2 018,34,24,1,0
2017/2018,Arp 2018,7,1,0,0
2017/2018,May 2018,60,21,0,0
2017/2018,Jun 2018,26,11,0,0
