OBJECTID,STATEABBR,PRINMERCD,PRINMER,TWNSHPNO,TWNSHPFRAC,TWNSHPDIR,RANGENO,RANGEFRAC,RANGEDIR,TWNSHPDPCD,PLSSID,TWNSHPLAB,SRVNAME,SURVTYP,SURVTYPTXT,SOURCEDATE,SOURCEREF,SHAPE_Length,SHAPE_Area
1,NM,23,New Mexico Meridian,034,0,S,021,0,W,0,NM230340S0210W0,34S 21W,,,,,,30234.7473517534,54581341.4486713
2,NM,23,New Mexico Meridian,032,0,S,020,0,W,0,NM230320S0200W0,32S 20W,,,,,,38705.5258235951,93498553.9339765
3,NM,23,New Mexico Meridian,033,0,S,020,0,W,0,NM230330S0200W0,33S 20W,,,,,,38725.3422970551,93471048.2947097
4,NM,23,New Mexico Meridian,034,0,S,022,0,W,0,NM230340S0220W0,34S 22W,,,,,,17009.3200028279,15452493.6142298
5,NM,23,New Mexico Meridian,033,0,S,022,0,W,0,NM230330S0220W0,33S 22W,,,,,,25336.7160037912,25419471.3751765
6,NM,23,New Mexico Meridian,034,0,S,020,0,W,0,NM230340S0200W0,34S 20W,,,,,,30562.3384955714,55733675.5343635
7,NM,23,New Mexico Meridian,032,0,S,021,0,W,0,NM230320S0210W0,32S 21W,,,,,,38458.5599711237,92379862.3021356
8,NM,23,New Mexico Meridian,033,0,S,021,0,W,0,NM230330S0210W0,33S 21W,,,,,,38608.8597379363,93269040.9128779
9,NM,23,New Mexico Meridian,032,0,S,022,0,W,0,NM230320S0220W0,32S 22W,,,,,,24908.6291212229,24614687.1896863
10,NM,23,New Mexico Meridian,034,0,S,018,0,W,0,NM230340S0180W0,34S 18W,,,,,,30487.2302654101,55478975.9865475
11,NM,23,New Mexico Meridian,032,0,S,019,0,W,0,NM230320S0190W0,32S 19W,,,,,,38735.6281020812,93542187.4023416
12,NM,23,New Mexico Meridian,034,0,S,019,0,W,0,NM230340S0190W0,34S 19W,,,,,,30698.8692114619,56470386.8535687
13,NM,23,New Mexico Meridian,033,0,S,019,0,W,0,NM230330S0190W0,33S 19W,,,,,,38778.3652609538,93789979.127755
14,NM,23,New Mexico Meridian,032,0,S,018,0,W,0,NM230320S0180W0,32S 18W,,,,,,38734.914091361,93458218.915551
15,NM,23,New Mexico Meridian,033,0,S,018,0,W,0,NM230330S0180W0,33S 18W,,,,,,38596.1442870373,92923133.8969105
16,NM,23,New Mexico Meridian,031,0,S,021,0,W,0,NM230310S0210W0,31S 21W,,,,,,38659.5163524122,93162897.639654
17,NM,23,New Mexico Meridian,031,0,S,020,0,W,0,NM230310S0200W0,31S 20W,,,,,,38702.8220370353,93399465.890377
18,NM,23,New Mexico Meridian,030,0,S,021,0,W,0,NM230300S0210W0,30S 21W,,,,,,38103.9655490962,90394773.4386988
19,NM,23,New Mexico Meridian,030,0,S,022,0,W,0,NM230300S0220W0,30S 22W,,,,,,24945.3277391563,24390858.0263759
20,NM,23,New Mexico Meridian,030,0,S,020,0,W,0,NM230300S0200W0,30S 20W,,,,,,38579.2496434514,92882714.6998353
21,NM,23,New Mexico Meridian,031,0,S,022,0,W,0,NM230310S0220W0,31S 22W,,,,,,25550.7585426138,25359499.760959
22,NM,23,New Mexico Meridian,030,0,S,018,0,W,0,NM230300S0180W0,30S 18W,,,,,,38645.0189000249,93265198.0504108
23,NM,23,New Mexico Meridian,031,0,S,019,0,W,0,NM230310S0190W0,31S 19W,,,,,,38643.5773979947,93269713.8445326
24,NM,23,New Mexico Meridian,031,0,S,018,0,W,0,NM230310S0180W0,31S 18W,,,,,,38652.6478942522,93060749.8362174
25,NM,23,New Mexico Meridian,030,0,S,019,0,W,0,NM230300S0190W0,30S 19W,,,,,,38570.7225269345,93204539.151408
26,NM,23,New Mexico Meridian,033,0,S,017,0,W,0,NM230330S0170W0,33S 17W,,,,,,38668.8970438974,93339729.991991
27,NM,23,New Mexico Meridian,033,0,S,016,0,W,0,NM230330S0160W0,33S 16W,,,,,,38776.031628663,93762620.8764982
28,NM,23,New Mexico Meridian,034,0,S,017,0,W,0,NM230340S0170W0,34S 17W,,,,,,30594.7111697405,56032602.9981735
29,NM,23,New Mexico Meridian,032,0,S,017,0,W,0,NM230320S0170W0,32S 17W,,,,,,38682.7798557943,93236251.8763241
30,NM,23,New Mexico Meridian,034,0,S,016,0,W,0,NM230340S0160W0,34S 16W,,,,,,30680.3500540995,56247687.2647578
31,NM,23,New Mexico Meridian,032,0,S,016,0,W,0,NM230320S0160W0,32S 16W,,,,,,38844.5498808437,94204735.2756284
32,NM,23,New Mexico Meridian,034,0,S,015,0,W,0,NM230340S0150W0,34S 15W,,,,,,30798.2137544312,56791579.5137419
33,NM,23,New Mexico Meridian,033,0,S,014,0,W,0,NM230330S0140W0,33S 14W,,,,,,38748.5467180743,93692314.7185692
