characteristic,sex,raceethnicity,yearvalue,score,standarderror,note
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,211.0,1.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,217.0,0.5,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,216.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,217.0,0.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,220.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,220.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,220.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,221.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,206.0,1.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,214.0,0.5,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,213.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,214.0,0.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,216.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,216.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,217.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,217.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,217.0,1.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,220.0,0.5,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,220.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,220.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,223.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,223.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,223.0,0.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,224.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2000,223.0,1.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,204.0,0.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
