characteristic,sex,raceethnicity,year,percentage,standard_erroron_percentage,noteon_percentage,countinthousands,standard_erroron_countinthousands,noteon_count
Total,,,2000,35.5%,0.45,,9452.0,144.0,
Total,,,2001,36.3%,0.45,,9845.0,148.0,
Total,,,2002,36.7%,0.43,,10033.0,141.0,
Total,,,2003,37.8%,0.43,,10364.0,143.0,
Total,,,2004,38%,0.42,,10611.0,144.0,
Total,,,2005,38.9%,0.43,,10834.0,146.0,
Total,,,2006,37.3%,0.42,,10586.0,144.0,
Total,,,2007,38.8%,0.42,,11161.0,148.0,
Total,,,2008,39.6%,0.42,,11466.0,149.0,
Total,,,2009,41.3%,0.42,,12073.0,153.0,
Total,,,2010,41.2%,0.57,,12213.0,170.0,
Total,,,2011,42%,0.59,,12570.0,190.0,
Total,,,2012,41%,0.62,,12456.0,218.0,
Total - Male,Male,,2000,32.6%,0.6,,4343.0,100.0,
Total - Male,Male,,2001,33.6%,0.63,,4543.0,102.0,
Total - Male,Male,,2002,33.7%,0.59,,4629.0,98.0,
Total - Male,Male,,2003,34.3%,0.59,,4697.0,98.0,
Total - Male,Male,,2004,34.7%,0.59,,4865.0,100.0,
Total - Male,Male,,2005,35.3%,0.59,,4973.0,101.0,
Total - Male,Male,,2006,34.1%,0.58,,4874.0,100.0,
Total - Male,Male,,2007,35.5%,0.58,,5156.0,103.0,
Total - Male,Male,,2008,37%,0.58,,5383.0,105.0,
Total - Male,Male,,2009,38.4%,0.59,,5640.0,107.0,
Total - Male,Male,,2010,38.3%,0.78,,5698.0,117.0,
Total - Male,Male,,2011,39.1%,0.8,,5953.0,122.0,
Total - Male,Male,,2012,37.6%,0.79,,5731.0,146.0,
Total - Female,Female,,2000,38.4%,0.6,,5109.0,108.0,
Total - Female,Female,,2001,39%,0.64,,5302.0,110.0,
Total - Female,Female,,2002,39.7%,0.61,,5404.0,105.0,
Total - Female,Female,,2003,41.3%,0.61,,5667.0,108.0,
Total - Female,Female,,2004,41.2%,0.61,,5746.0,108.0,
Total - Female,Female,,2005,42.5%,0.61,,5861.0,109.0,
Total - Female,Female,,2006,40.6%,0.6,,5712.0,108.0,
Total - Female,Female,,2007,42.1%,0.6,,6005.0,111.0,
Total - Female,Female,,2008,42.3%,0.6,,6083.0,111.0,
Total - Female,Female,,2009,44.2%,0.6,,6432.0,114.0,
Total - Female,Female,,2010,44.1%,0.84,,6515.0,125.0,
Total - Female,Female,,2011,44.9%,0.8,,6617.0,133.0,
Total - Female,Female,,2012,44.5%,0.86,,6725.0,133.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2000,38.7%,0.57,,6709.0,123.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2001,39.5%,0.57,,6921.0,125.0,
