characteristic,sex,raceethnicity,year,score,standard_error,note
Total,NULL,NULL,2000,211.0,1.4,NULL
Total,NULL,NULL,2001,NULL,NULL,NULL
Total,NULL,NULL,2002,217.0,0.5,NULL
Total,NULL,NULL,2003,216.0,0.3,NULL
Total,NULL,NULL,2004,NULL,NULL,NULL
Total,NULL,NULL,2005,217.0,0.2,NULL
Total,NULL,NULL,2006,NULL,NULL,NULL
Total,NULL,NULL,2007,220.0,0.3,NULL
Total,NULL,NULL,2008,NULL,NULL,NULL
Total,NULL,NULL,2009,220.0,0.3,NULL
Total,NULL,NULL,2010,NULL,NULL,NULL
Total,NULL,NULL,2011,220.0,0.3,NULL
Total,NULL,NULL,2012,NULL,NULL,NULL
Total,NULL,NULL,2013,221.0,0.3,NULL
Total - Male,Male,NULL,2000,206.0,1.4,NULL
Total - Male,Male,NULL,2001,NULL,NULL,NULL
Total - Male,Male,NULL,2002,214.0,0.5,NULL
Total - Male,Male,NULL,2003,213.0,0.3,NULL
Total - Male,Male,NULL,2004,NULL,NULL,NULL
Total - Male,Male,NULL,2005,214.0,0.2,NULL
Total - Male,Male,NULL,2006,NULL,NULL,NULL
Total - Male,Male,NULL,2007,216.0,0.3,NULL
Total - Male,Male,NULL,2008,NULL,NULL,NULL
Total - Male,Male,NULL,2009,216.0,0.3,NULL
Total - Male,Male,NULL,2010,NULL,NULL,NULL
Total - Male,Male,NULL,2011,217.0,0.3,NULL
Total - Male,Male,NULL,2012,NULL,NULL,NULL
Total - Male,Male,NULL,2013,217.0,0.3,NULL
Total - Female,Female,NULL,2000,217.0,1.6,NULL
Total - Female,Female,NULL,2001,NULL,NULL,NULL
Total - Female,Female,NULL,2002,220.0,0.5,NULL
Total - Female,Female,NULL,2003,220.0,0.3,NULL
Total - Female,Female,NULL,2004,NULL,NULL,NULL
Total - Female,Female,NULL,2005,220.0,0.3,NULL
Total - Female,Female,NULL,2006,NULL,NULL,NULL
Total - Female,Female,NULL,2007,223.0,0.3,NULL
Total - Female,Female,NULL,2008,NULL,NULL,NULL
Total - Female,Female,NULL,2009,223.0,0.3,NULL
Total - Female,Female,NULL,2010,NULL,NULL,NULL
Total - Female,Female,NULL,2011,223.0,0.4,NULL
Total - Female,Female,NULL,2012,NULL,NULL,NULL
Total - Female,Female,NULL,2013,224.0,0.3,NULL
Total - Male,NULL,"White, non-Hispanic",2000,223.0,1.2,NULL
Total - Male,NULL,"White, non-Hispanic",2001,NULL,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2002,227.0,0.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2003,227.0,0.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2004,NULL,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2005,228.0,0.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2006,NULL,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2007,230.0,0.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2008,NULL,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2009,229.0,0.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2010,NULL,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2011,230.0,0.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2012,NULL,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2013,231.0,0.3,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2000,189.0,1.9,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2001,NULL,NULL,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2002,198.0,0.6,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2003,197.0,0.4,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2004,NULL,NULL,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2005,199.0,0.3,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2006,NULL,NULL,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2007,203.0,0.4,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2008,NULL,NULL,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2009,204.0,0.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2010,NULL,NULL,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2011,205.0,0.4,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2012,NULL,NULL,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2013,205.0,0.5,NULL
Total - Hispanic,NULL,Hispanic,2000,188.0,3.1,NULL
Total - Hispanic,NULL,Hispanic,2001,NULL,NULL,NULL
Total - Hispanic,NULL,Hispanic,2002,199.0,1.4,NULL
Total - Hispanic,NULL,Hispanic,2003,199.0,0.6,NULL
Total - Hispanic,NULL,Hispanic,2004,NULL,NULL,NULL
Total - Hispanic,NULL,Hispanic,2005,201.0,0.5,NULL
Total - Hispanic,NULL,Hispanic,2006,NULL,NULL,NULL
Total - Hispanic,NULL,Hispanic,2007,204.0,0.5,NULL
Total - Hispanic,NULL,Hispanic,2008,NULL,NULL,NULL
Total - Hispanic,NULL,Hispanic,2009,204.0,0.5,NULL
Total - Hispanic,NULL,Hispanic,2010,NULL,NULL,NULL
Total - Hispanic,NULL,Hispanic,2011,205.0,0.5,NULL
Total - Hispanic,NULL,Hispanic,2012,NULL,NULL,NULL
Total - Hispanic,NULL,Hispanic,2013,207.0,0.5,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2000,223.0,5.7,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2001,NULL,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2002,223.0,1.7,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2003,225.0,1.3,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2004,NULL,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2005,227.0,0.8,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2006,NULL,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2007,231.0,1.0,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2008,NULL,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2009,234.0,1.1,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2010,NULL,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2011,236.0,1.3,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2012,NULL,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2013,237.0,1.1,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2000,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2001,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2002,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2003,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2004,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2005,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2006,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2007,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2008,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2009,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2010,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2011,214.0,1.8,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2012,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2013,210.0,2.5,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2000,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2001,NULL,NULL,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2002,207.0,2.0,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2003,202.0,1.4,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2005,205.0,1.3,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,NULL
