characteristic,sex,raceethnicity,year,score,standard_error,note
Total,,,2000,211.0,1.4,
Total,,,2001,,,
Total,,,2002,217.0,0.5,
Total,,,2003,216.0,0.3,
Total,,,2004,,,
Total,,,2005,217.0,0.2,
Total,,,2006,,,
Total,,,2007,220.0,0.3,
Total,,,2008,,,
Total,,,2009,220.0,0.3,
Total,,,2010,,,
Total,,,2011,220.0,0.3,
Total,,,2012,,,
Total,,,2013,221.0,0.3,
Total - Male,Male,,2000,206.0,1.4,
Total - Male,Male,,2001,,,
Total - Male,Male,,2002,214.0,0.5,
Total - Male,Male,,2003,213.0,0.3,
Total - Male,Male,,2004,,,
Total - Male,Male,,2005,214.0,0.2,
Total - Male,Male,,2006,,,
Total - Male,Male,,2007,216.0,0.3,
Total - Male,Male,,2008,,,
Total - Male,Male,,2009,216.0,0.3,
Total - Male,Male,,2010,,,
Total - Male,Male,,2011,217.0,0.3,
Total - Male,Male,,2012,,,
Total - Male,Male,,2013,217.0,0.3,
Total - Female,Female,,2000,217.0,1.6,
Total - Female,Female,,2001,,,
Total - Female,Female,,2002,220.0,0.5,
Total - Female,Female,,2003,220.0,0.3,
Total - Female,Female,,2004,,,
Total - Female,Female,,2005,220.0,0.3,
Total - Female,Female,,2006,,,
Total - Female,Female,,2007,223.0,0.3,
Total - Female,Female,,2008,,,
Total - Female,Female,,2009,223.0,0.3,
Total - Female,Female,,2010,,,
Total - Female,Female,,2011,223.0,0.4,
Total - Female,Female,,2012,,,
Total - Female,Female,,2013,224.0,0.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2000,223.0,1.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2001,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,227.0,0.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,227.0,0.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,228.0,0.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,230.0,0.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,229.0,0.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,230.0,0.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2013,231.0,0.3,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2000,189.0,1.9,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2001,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2002,198.0,0.6,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2003,197.0,0.4,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2004,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2005,199.0,0.3,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2006,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2007,203.0,0.4,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2008,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2009,204.0,0.5,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2010,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2011,205.0,0.4,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2012,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2013,205.0,0.5,
Total - Hispanic,,Hispanic,2000,188.0,3.1,
Total - Hispanic,,Hispanic,2001,,,
Total - Hispanic,,Hispanic,2002,199.0,1.4,
Total - Hispanic,,Hispanic,2003,199.0,0.6,
Total - Hispanic,,Hispanic,2004,,,
Total - Hispanic,,Hispanic,2005,201.0,0.5,
Total - Hispanic,,Hispanic,2006,,,
Total - Hispanic,,Hispanic,2007,204.0,0.5,
Total - Hispanic,,Hispanic,2008,,,
Total - Hispanic,,Hispanic,2009,204.0,0.5,
Total - Hispanic,,Hispanic,2010,,,
Total - Hispanic,,Hispanic,2011,205.0,0.5,
Total - Hispanic,,Hispanic,2012,,,
Total - Hispanic,,Hispanic,2013,207.0,0.5,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2000,223.0,5.7,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2001,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2002,223.0,1.7,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2003,225.0,1.3,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2004,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2005,227.0,0.8,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2006,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2007,231.0,1.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2008,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2009,234.0,1.1,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2010,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2011,236.0,1.3,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2012,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2013,237.0,1.1,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2000,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2001,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2002,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2003,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2004,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2005,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2006,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2007,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2008,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2009,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2010,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2011,214.0,1.8,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2012,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2013,210.0,2.5,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2001,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2002,207.0,2.0,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2003,202.0,1.4,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2004,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2005,205.0,1.3,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2006,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2007,206.0,1.2,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2008,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2009,206.0,1.2,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2010,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2011,204.0,1.3,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2012,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2013,206.0,1.5,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2000,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2001,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2002,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2003,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2004,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2005,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2006,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2007,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2008,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2009,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2010,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2011,225.0,1.3,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2012,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2013,225.0,1.0,
"White, non-Hispanic",Male,"White, non-Hispanic",2000,218.0,1.3,
"White, non-Hispanic",Male,"White, non-Hispanic",2001,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2002,224.0,0.4,
"White, non-Hispanic",Male,"White, non-Hispanic",2003,223.0,0.3,
"White, non-Hispanic",Male,"White, non-Hispanic",2004,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2005,225.0,0.3,
"White, non-Hispanic",Male,"White, non-Hispanic",2006,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2007,227.0,0.3,
"White, non-Hispanic",Male,"White, non-Hispanic",2008,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2009,226.0,0.3,
"White, non-Hispanic",Male,"White, non-Hispanic",2010,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2011,227.0,0.3,
"White, non-Hispanic",Male,"White, non-Hispanic",2012,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2013,228.0,0.3,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,180.0,2.7,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,193.0,0.6,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,192.0,0.5,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,194.0,0.4,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,199.0,0.5,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,199.0,0.6,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,200.0,0.5,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2013,200.0,0.6,
Hispanic,Male,Hispanic,2000,182.0,3.2,
Hispanic,Male,Hispanic,2001,,,
Hispanic,Male,Hispanic,2002,197.0,1.4,
Hispanic,Male,Hispanic,2003,196.0,0.8,
Hispanic,Male,Hispanic,2004,,,
Hispanic,Male,Hispanic,2005,199.0,0.5,
Hispanic,Male,Hispanic,2006,,,
Hispanic,Male,Hispanic,2007,201.0,0.6,
Hispanic,Male,Hispanic,2008,,,
Hispanic,Male,Hispanic,2009,201.0,0.6,
Hispanic,Male,Hispanic,2010,,,
Hispanic,Male,Hispanic,2011,203.0,0.7,
Hispanic,Male,Hispanic,2012,,,
Hispanic,Male,Hispanic,2013,204.0,0.6,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,218.0,6.7,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,219.0,2.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,221.0,1.8,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,224.0,1.1,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,227.0,1.2,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,229.0,1.3,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,232.0,1.4,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,233.0,1.4,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,212.0,3.3,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,205.0,3.3,
