33.assessmentunitname,"BranfordSupply Pond, Northwest (Branford)","Branford Supply Pond, Northwest (Branford)"
39.ct_two_zero_two_zero_rec_use_usename,Recreatino,Recreation
5.assessmentunitid,CT7103-00-2-4L_01,CT7103-00-2-L4_01
7.ct_two_zero_two_zero_rec_use_usename,Recreaiton,Recreation
36.watertypename,"LAKE, FRESHWAETR","LAKE, FRESHWATER"
14.ct_two_zero_two_zero_aql_use_attainment,Not uSpporting,Not Supporting
35.impaired,es,Yes
14.ct_two_zero_two_zero_dw_use_attainment,NotE valuated,Not Evaluated
33.ct_two_zero_two_zero_aql_use_attainment,Not upporting,Not Supporting
8.ct_two_zero_two_zero_fshcon_use_attainment,Insufficient nformation,Insufficient Information
41.ct_two_zero_two_zero_aql_use_usename,"Habitat for Fish, Other Aquatic Life ad Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
28.ct_two_zero_two_zero_fshcon_use_usename,Fnish Consumption,Fish Consumption
1.ct_two_zero_two_zero_rec_use_attainment,Not Assessesd,Not Assessed
43.locationdescription,"Impoudnment of Little River, southeast corner of Sprague.","Impoundment of Little River, southeast corner of Sprague."
14.ct_two_zero_two_zero_fshcon_use_attainment,Not Suporting,Not Supporting
9.ct_two_zero_two_zero_dw_use_attainment,oNt Evaluated,Not Evaluated
13.ct_two_zero_two_zero_rec_use_usename,Rcereation,Recreation
12.assessmentunitname,Dodg Pond (East Lyme),Dodge Pond (East Lyme)
45.locationdescription,"Impoundment o Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank.","Impoundment of Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank."
10.ct_two_zero_two_zero_aql_use_usename,"Habitat for Fish, Other Aquatic Life nd Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
1.watertypename,"LKE, FRESHWATER","LAKE, FRESHWATER"
15.ct_two_zero_two_zero_rec_use_usename,Recreaiton,Recreation
27.units,Arces,Acres
2.ct_two_zero_two_zero_dw_use_usename,Existing or proposeddrinking water,Existing or proposed drinking water
32.impaired,Yves,Yes
4.impaired,Yces,Yes
8.ct_two_zero_two_zero_rec_use_attainment,vNot Supporting,Not Supporting
41.ct_two_zero_two_zero_dw_use_attainment,NotEvaluated,Not Evaluated
20.ct_two_zero_two_zero_rec_use_usename,Recreatiqon,Recreation
18.ct_two_zero_two_zero_dw_use_usename,Not Classifiied For Drinking Water,Not Classified For Drinking Water
23.watertypename,"LAKE, FRESHlWATER","LAKE, FRESHWATER"
40.impaired,es,Yes
9.watertypename,"AKE, FRESHWATER","LAKE, FRESHWATER"
10.impaired,Yegs,Yes
42.locationdescription,"Impoundment of Roaring Brook, east of Rte 83 Gastonbury.","Impoundment of Roaring Brook, east of Rte 83 Glastonbury."
22.useclassname,INLAND SaURFACE WATERS CLASS A,INLAND SURFACE WATERS CLASS A
25.ct_two_zero_two_zero_aql_use_usename,"Habitat for Fish, Other Aquatc Life and Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
26.assessmentunitname,Housatonic Lake (Shelton/Derby/SeymourOxford/Monroe),Housatonic Lake (Shelton/Derby/Seymour/Oxford/Monroe)
2.assessmentunitid,CT8104-00-2-L5_o01,CT8104-00-2-L5_01
23.units,Ares,Acres
28.ct_two_zero_two_zero_aql_use_attainment,Insuficient Information,Insufficient Information
26.useclassname,INLAND SRFACE WATERS CLASS B,INLAND SURFACE WATERS CLASS B
3.ct_two_zero_two_zero_fshcon_use_attainment,Insufficent Information,Insufficient Information
