objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_dw_use_usename,impaired,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_attainment,shape_area(double precision),shape_length(double precision)
7,2020,CTf7103-00-2-L5_01,Pembroke Lakes (Bridgeport),"Just upstreamo f Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)","LKE, FRESHWATER",2.74,Acres,2381,1100006,49,INLAND SURFACE WATERS CLASS B,"Habitta for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Supporting,Not Assessesd,Insufficient Information,Not Evaluated,119447.38494873,3245.84224242884
8,2020,CT8104-00-2-L5_o01,Mamanasco Lake (Ridgefield),Northwestf Ridgefield.,"LAKE, FRESHWATER",85.9,Acrse,1756,2030101,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Existing or proposeddrinking water,Yes,Not Supporting,Not Supporting,Insufficielnt Information,Not Assessed,3741697.38290405,11258.4021938634
9,2020,CT7409-00-1-L3_01,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.","LAKE, FRESHWATER",95.56,Acres,2334,1100006,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Existing or proposed drinking water,Yes,Not Supporting,Insufficient Information,Insufficent Information,Fully Supporting,4162510.7901001,14645.9219289448
11,2020,T7103-00-2-L3_01,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yelolowmill Channel, Bridgeport.","LAKE, FRESHWATER",15.79,Aces,2798,1100006,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yces,Not Supporting,Not Assessed***,Insufficient Information,Not Evaluated,687951.067504883,4462.58250687571
12,2020,CT7103-00-2-4L_01,Stillma Pond (Bridgeport),"pstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.","LAKE, FRESHWATER",4.97,Acres,2759,1100006,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yse,Insufficient Information,Not Assessed,Not Supporting,Not Evaluated,216249.040771484,3312.56720850954
13,2020,CT5200-00-4-L2_01,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.","LAKE, FRESHWATER",70.53,Aacres,1148,1100004,49,NLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",yRecreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Supporting,Not Supporting,Not Supporting,Not Evaluatde,3072259.65942383,11639.4607225251
20,2020,CT5111-09-1-L1_01,Cedar Pond (North Branford),"South of Liake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).","AKE, FRESHWATER",21.58,Acres,456,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreaiton,Fish Consumption,Not Classified For Drinking Water,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Evaluated,940092.739868164,4467.48722362686
21,2020,CT5111-09-1-L2_01,Linsley Pond (Branford/North Branforcd),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.","LAKE, FRESHWATER",22.92,Acres,1635,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Watr,Yes,Not Supporting,vNot Supporting,Insufficient nformation,Not Evaluaetd,998367.840026855,4155.48366402287
22,2020,CT5305-00-3-L1_01,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Have.","AKE, FRESHWATER",2.72,Acres,823,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreatnion,Fish Consumption,Not Classified For Drinking Water,Yes,Insufficient Information,Not Supporting,Insufficient Information,oNt Evaluated,118638.844848633,1654.87117047857
23,2020,CT3700-00-2+L1_01,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,"LAKE, FRESHWATER",189.28,Acres,3467,1100001,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life nd Wildlife",Recreation,Fish Consumption,Not ClassifiedF or Drinking Water,Yegs,Not Suppotring,Not Supporting,Insufficient Information,Not Evaluated,8245167.04333496,24334.3122221123
