Citing Patent,Filing date,Publication date,Applicant,Title
US7630350 *,"Jul 14, 2005","Dec 8, 2009",Broadcom Corporation,Method and system for parsing bits in an interleaver for adaptive modulations in a multiple input multiple output (MIMO) wireless local area network (WLAN) system
US7991065 *,"Sep 12, 2006","Aug 2, 2011","Qualcomm, Incorporated",Efficient computation of spatial filter matrices for steering transmit diversity in a MIMO communication system
US8009751,"Oct 27, 2006","Aug 30, 2011",Sharp Kabushiki Kaisha,"Transmitter, communication system and transmission method"
US8014458 *,"Aug 31, 2009","Sep 6, 2011",Sharp Kabushiki Kaisha,Transmitter
US8098763,"Sep 1, 2006","Jan 17, 2012",Sharp Kabushiki Kaisha,Wireless transmission device and wireless transmission method
US8099063,"May 4, 2010","Jan 17, 2012",Sharp Kabushiki Kaisha,Transmitter for communications system
US8107897,"Dec 2, 2008","Jan 31, 2012",Sharp Kabushiki Kaisha,Wireless transmitter
US8111743,"Dec 2, 2008","Feb 7, 2012",Sharp Kabushiki Kaisha,Wireless transmitter
US8116403,"Dec 18, 2009","Feb 14, 2012",Sharp Kabushiki Kaisha,Wireless transmission device and wireless transmission method
US8116696,"Aug 25, 2009","Feb 14, 2012",Sharp Kabushiki Kaisha,Transmitter for communications system
US8116708,"Jan 25, 2010","Feb 14, 2012",Sharp Kabushiki Kaisha,Wireless receiver
US8121184,"Dec 2, 2008","Feb 21, 2012",Sharp Kabushiki Kaisha,Wireless receiver
US8121559 *,"Jan 25, 2010","Feb 21, 2012",Sharp Kabushiki Kaisha,Wireless transmitter
US8150442,"Dec 2, 2005","Apr 3, 2012",Sharp Kabushiki Kaisha,Method and apparatus for controlling power of subcarriers in a wireless communication system
US8155221,"Aug 31, 2009","Apr 10, 2012",Sharp Kabushiki Kaisha,Receiver
US8155229 *,"Nov 22, 2006","Apr 10, 2012","Samsung Electronics Co., Ltd.",Apparatus and method for transmitting/receiving a signal in a communication system
US8165537,"Dec 20, 2006","Apr 24, 2012",Sharp Kabushiki Kaisha,Wireless transmitter and wireless transmission method
US8169889,"Mar 5, 2004","May 1, 2012",Qualcomm Incorporated,Transmit diversity and spatial spreading for an OFDM-based multi-antenna communication system
US8170133,"Jun 25, 2010","May 1, 2012",Sharp Kabushiki Kaisha,Wireless transmission device and wireless transmission method
US8170145,"Aug 31, 2009","May 1, 2012",Sharp Kabushiki Kaisha,Receiver
US8170512,"Jun 16, 2011","May 1, 2012",Sharp Kabushiki Kaisha,Wireless transmitter
US8224263,"Dec 19, 2006","Jul 17, 2012",Sharp Kabushiki Kaisha,Transmitter for communications system
US8238303 *,"Nov 26, 2008","Aug 7, 2012",Telefonaktiebolaget L M Ericsson (Publ),Method and apparatus of allocating subcarriers in an orthogonal frequency division multiplexing system
US8279809,"Oct 12, 2011","Oct 2, 2012",Sharp Kabushiki Kaisha,Transmission power control for orthogonal frequency division multiplexing (OFDM) signals
US8285226 *,"Feb 24, 2005","Oct 9, 2012",Qualcomm Incorporated,Steering diversity for an OFDM-based multi-antenna communication system
US8320849,"Jun 13, 2012","Nov 27, 2012",Sharp Kabushiki Kaisha,Transmitter for communications system
US8325838,"Oct 12, 2011","Dec 4, 2012",Sharp Kabushiki Kaisha,Communication method and radio transmitter
US8351414,"Dec 27, 2011","Jan 8, 2013",Sharp Kabushiki Kaisha,Allocating subcarrier channels based on a terminal's bandwidth capacity
US8355391,"Dec 27, 2011","Jan 15, 2013",Sharp Kabushiki Kaisha,"Wireless communication apparatus, mobile terminal and wireless communication method"
US8391386,"Oct 21, 2011","Mar 5, 2013",Sharp Kabushiki Kaisha,Communication method and radio transmitter
US8462612 *,"Dec 7, 2006","Jun 11, 2013",France Telecom,Dynamic interleaving method and device
US8483304,"Oct 31, 2006","Jul 9, 2013",Sharp Kabushiki Kaisha,"Radio transmitter, radio communication system, and radio transmission method"
US8488688,"Oct 28, 2005","Jul 16, 2013",Sharp Kabushiki Kaisha,Communication method and radio transmitter
US8599941 *,"Oct 31, 2008","Dec 3, 2013",Kochi University Of Technology,Data transmission system and method
US8625717,"Jun 25, 2010","Jan 7, 2014","Huawei Technologies Co., Ltd.",Wireless transmission device and wireless transmission method
US8743993 *,"Nov 5, 2012","Jun 3, 2014",Sharp Kabushiki Kaisha,Communication device
US8744374 *,"Dec 9, 2010","Jun 3, 2014",Intel Mobile Communications Technology Dresden GmbH,Method and apparatus for data communication in LTE cellular networks
US8767524 *,"Apr 12, 2011","Jul 1, 2014",Qualcomm Incorporated,Training sequences for very high throughput wireless communication
US8855077,"Jun 12, 2013","Oct 7, 2014",Sharp Kabushiki Kaisha,Communication method and radio transmitter
US8879700,"Jun 18, 2013","Nov 4, 2014",Panasonic Corporation,"Communication apparatus, integrated circuit, and communication method"
US20090274035 *,"Dec 7, 2006","Nov 5, 2009",Isabelle Siaud,Dynamic Interleaving Method and Device
US20100111205 *,"Oct 31, 2008","May 6, 2010",Masanori Hamamura,Data transmission system and method
US20100128683 *,"Nov 26, 2008","May 27, 2010",Kambiz Zangi,Orthogonal reference signals with different bandwidth and overlapping spectrum
US20110143807 *,"Dec 9, 2010","Jun 16, 2011",Blue Wonder Communications Gmbh,Method and apparatus for data communication in lte cellular networks
US20110211594 *,,"Sep 1, 2011",Qualcomm Incorporated,Training sequences for very high throughput wireless communication
US20130070867 *,"Nov 5, 2012","Mar 21, 2013",National Institute Of Information And Communications Technology,Communication device
WO2010061271A2 *,"Nov 24, 2009","Jun 3, 2010",Telefonaktiebolaget L M Ericsson (Publ),Orthogonal reference signals with different bandwidth and overlapping spectrum
