score_recent(long),date_recent,score_two(long),date_two,score_three(long),date_three,permitnumber(long),facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,premisename,premiseaddress,premisecity,premisestate,premisezip(long),openingdate,object_id(long)
90,2023/08/08 04:00:00+00,92,2023/06/02 00:00:00,92,2022/08/05 00:00:00,78411.0,695,SWIMMING AREA,191.0,SPLASH PAD,WILLOWGATE,1311 BLACKTHORN RD,LOUISVILLE,KY,40299,2007/06/12 00:00:00,1.0
80,2023/09/18 04:00:00+00,67,2023/02/02 00:00:00,87,2022/12/14 00:00:00,78634.0,695,SWIMMING AREA,191.0,SPLASH PAD,SPRING HILL SUITES LOU AIRPORT,820 PHILLIPS LANE,LOUISVILLE,KY,40209,2007/07/24 00:00:00,2.0
86,2023/07/25 04:00:00+00,90,2023/06/15 00:00:00,88,2022/08/09 00:00:00,99463.0,695,SWIMMING AREA,199.0,WADING POOL,LITTLE SPRING FARM,11600 VISTA CLUB DR,LOUISVILLE,KY,40291,2016/03/22 00:00:00,3.0
93,2023/08/22 04:00:00+00,94,2023/06/20 00:00:00,93,2022/08/04 00:00:00,78639.0,695,SWIMMING AREA,191.0,WADING POOL,PARK LAKE APARTMENTS,7100 LEISURE LANE,LOUISVILLE,KY,40229,2007/07/24 00:00:00,4.0
94,2023/05/11 04:00:00+00,89,2022/05/05 00:00:00,97,2020/06/29 00:00:00,78766.0,695,SWIMMING AREA,191.0,SWIMMING POOL,HILTON GARDEN INN,9850 PARK PLAZA AVE,LOUISVILLE,KY,40241,2007/08/02 00:00:00,5.0
70,2023/01/25 05:00:00+00,89,2022/12/28 00:00:00,97,2022/04/25 00:00:00,78639.0,695,SWIMMING AREA,191.0,SWIMMING POOL,HOLIDAY INN LOU. AIRPORT SOUTH,6551 PARAMOUNT PARK,LOUISVILLE,KY,40213,2007/08/22 00:00:00,6.0
95,2023/06/16 04:00:00+00,94,2023/04/13 00:00:00,84,2023/03/13 00:00:00,78634.0,695,SWIMMING AREA,197.0,SPA,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,2013/09/25 00:00:00,5.0
91,2023/09/26 04:00:00+00,85,2023/02/01 00:00:00,86,2022/10/04 00:00:00,78986.0,695,SWIMMING AREA,191.0,SWIMMING POOL,HOLIDAY INN,447 FARMINGTON AVE,LOUISVILLE,KY,40209,2007/09/12 00:00:00,8.0
100,2023/08/04 04:00:00+00,93,2023/06/22 00:00:00,100,2022/08/29 00:00:00,99474.0,695,SWIMMING AREA,191.0,SWIMMING POOL,THE GROVE AT LYNDON,7716 SUNDANCE DR,LOUISVILLE,KY,40222,2007/08/31 00:00:00,9.0
95,2023/06/16 04:00:00+00,79,2023/04/13 00:00:00,82,2023/03/13 00:00:00,93922.0,695,SWIMMING AREA,191.0,SWIMMING POOL,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,2013/09/25 00:00:00,10.0
95,2023/08/25 04:00:00+00,75,2023/07/11 00:00:00,93,2022/08/19 00:00:00,79206.0,695,SWIMMING AREA,191.0,SPLASH PAD,YMCA NORTHEAST-OUTDOOR POOL,9400 MILL BROOK RD,LOUISVILLE,KY,40223,2007/10/18 00:00:00,10.0
100,2023/07/31 04:00:00+00,100,2023/06/29 00:00:00,100,2022/07/07 00:00:00,99702.0,695,SWIMMING AREA,198.0,SPLASH PAD,METRO PARKS HUSTON QUIN PARK,4105 S 1ST STREET,LOUISVILLE,KY,40214,1988/06/07 00:00:00,12.0
95,2023/08/25 04:00:00+00,92,2023/07/11 00:00:00,100,2022/08/19 00:00:00,78766.0,695,SWIMMING AREA,198.0,SPLASH PAD,YMCA NORTHEAST,9400 MILL BROOK RD,LOUISVILLE,KY,40223,2007/11/01 00:00:00,13.0
100,2023/07/27 04:00:00+00,94,2023/06/23 00:00:00,100,2022/08/31 00:00:00,78639.0,695,SWIMMING AREA,199.0,SWIMMING POOL,EAST HAMPTON CONDOS,10500 TIMBERWOOD CIRCLE,LOUISVILLE,KY,40223,1988/06/07 00:00:00,10.0
76,2023/05/11 04:00:00+00,78,2023/04/27 00:00:00,100,2022/05/06 00:00:00,94109.0,695,SWIMMING AREA,197.0,SPA,KORT - BROWNSBORO CROSSING,9880 ANGIES WAY,LOUISVILLE,KY,40241,2014/01/22 00:00:00,15.0
91,2023/08/29 04:00:00+00,91,2023/04/10 00:00:00,100,2023/01/10 00:00:00,99898.0,695,SWIMMING AREA,191.0,SWIMMING POOL,BEAR PADDLE SWIM CLUB,2915 HURSTBOURNE PKWY,LOUISVILLE,KY,40220,1988/06/07 00:00:00,5.0
91,2023/08/17 04:00:00+00,94,2023/07/06 00:00:00,93,2022/07/27 00:00:00,78766.0,695,SWIMMING AREA,191.0,SWIMMING POOL,LAKEVIEW CONDOS EAST,1935 GARDINER LN,LOUISVILLE,KY,40205,2008/02/29 00:00:00,17.0
88,2023/08/05 04:00:00+00,96,2023/07/14 00:00:00,90,2022/08/31 00:00:00,29350.0,695,SWIMMING AREA,192.0,SWIMMING / DIVING POOL,ELKS CLUB,2824 KLONDIKE LN.,LOUISVILLE,KY,40218,1988/06/07 00:00:00,15.0
80,2023/08/01 04:00:00+00,84,2023/05/19 00:00:00,81,2022/08/24 00:00:00,100794.0,695,SWIMMING AREA,197.0,SWIMMING POOL,MERIDIAN AT SHELBYVILLE,12900 OBSERVATION CIRCLE,LOUISVILLE,KY,40243,2014/07/03 00:00:00,19.0
100,2023/07/26 04:00:00+00,94,2023/06/09 00:00:00,98,2022/08/04 00:00:00,100794.0,695,SWIMMING AREA,191.0,SPA,THE GENTRY,9500 WILLIAMSBURG PLAZA,LOUISVILLE,KY,40222,2017/04/13 00:00:00,10.0
80,2023/08/23 04:00:00+00,100,2023/07/10 00:00:00,95,2022/08/17 00:00:00,29350.0,695,SWIMMING AREA,191.0,SPA,IVY RIDGE,4411 IVY CREST CIR,LOUISVILLE,KY,40241,2008/02/29 00:00:00,21.0
86,2023/09/20 04:00:00+00,93,2023/04/13 00:00:00,96,2022/11/17 00:00:00,79206.0,695,SWIMMING AREA,191.0,SPLASH PAD,CROWNE PLAZA,830 PHILLIPS LN,LOUISVILLE,KY,40209,1988/06/07 00:00:00,1.0
92,2023/09/13 04:00:00+00,97,2023/01/11 00:00:00,97,2022/03/14 00:00:00,93922.0,695,SWIMMING AREA,199.0,SWIMMING POOL,U OF L - SOCCER COMPLEX #1,337 BYRNE AVE,LOUISVILLE,KY,40209,2014/08/01 00:00:00,23.0
85,2023/08/15 04:00:00+00,100,2023/07/13 00:00:00,96,2022/08/04 00:00:00,79206.0,695,SWIMMING AREA,191.0,SWIMMING POOL,AVALON SPRINGS,7935 ZELMA FIELDS AVE,LOUISVILLE,KY,40228,1988/06/07 00:00:00,23.0
92,2023/07/21 04:00:00+00,85,2023/07/05 00:00:00,86,2022/08/18 00:00:00,80487.0,695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,DORSEY STATION,10431 SHELBYVILLE RD,LOUISVILLE,KY,40223,2008/03/27 00:00:00,2.0
98,2023/08/03 04:00:00+00,94,2023/07/11 00:00:00,98,2022/07/05 00:00:00,99898.0,695,SWIMMING AREA,199.0,SWIMMING POOL,METRO PARKS FAIRDALE POOL,709 FAIRDALE ROAD,LOUISVILLE,KY,40118,1988/06/07 00:00:00,13.0
93,2023/08/31 04:00:00+00,93,2023/07/25 00:00:00,94,2022/06/01 00:00:00,100528.0,695,SWIMMING AREA,192.0,SWIMMING POOL,GLEN OAKS GOLF & COUNTRY CLUB,10601 WORTHINGTON LANE,PROSPECT,KY,40059,1988/06/07 00:00:00,17.0
87,2023/07/31 04:00:00+00,95,2023/06/05 00:00:00,98,2022/07/26 00:00:00,51464.0,695,SWIMMING AREA,191.0,WADING POOL,HURSTBOURNE RIDGE CONDO,3701 HURSTBOURNE RIDGE PKWY,LOUISVILLE,KY,40299,1994/08/23 00:00:00,4.0
92,2023/09/13 04:00:00+00,97,2023/01/11 00:00:00,96,2022/03/15 00:00:00,100794.0,695,SWIMMING AREA,191.0,SWIMMING POOL,U OF L - SOCCER COMPLEX #2,337 BYRNE AVE,LOUISVILLE,KY,40209,2014/08/01 00:00:00,12.0
100,2023/07/19 04:00:00+00,100,2023/06/02 00:00:00,97,2022/08/05 00:00:00,78411.0,695,SWIMMING AREA,198.0,SPA,METRO PARKS ALGONQUIN SPRAYGROUND,1614 CYPRESS ST,LOUISVILLE,KY,40210,2008/04/18 00:00:00,3.0
94,2023/05/26 04:00:00+00,100,2022/06/08 00:00:00,98,2021/07/22 00:00:00,80487.0,695,SWIMMING AREA,191.0,SWIMMING POOL,HAZELWOOD CTR ICFR,1800 BLUEGRASS AVE,LOUISVILLE,KY,40215,1994/09/07 00:00:00,8.0
84,2023/09/01 04:00:00+00,97,2023/01/06 00:00:00,86,2022/05/17 00:00:00,93922.0,695,SWIMMING AREA,191.0,SPLASH PAD,HOLIDAY INN HURSTBOURNE,1325 S. HURSTBOURNE PARKWAY,LOUISVILLE,KY,40222,2014/05/29 00:00:00,1.0
