12.coname,ALFALFeA     ,ALFALFA     
389.address,200 South Pettit Avenuve,200 South Pettit Avenue
14.coname,ATOKA c      ,ATOKA       
121.fax,(918) 242-4039,(918) 224-4039
379.coname,OKMULGE    ,OKMULGEE    
466.address,1702 East 4Th Street,17002 East 4Th Street
401.statevalue,K,OK
476.coname,SEMINLOE    ,SEMINOLE    
541.superintendentemail,fvwvincent@deweyk12.org,vwvincent@deweyk12.org
68.statevalue,OkK,OK
335.distname,OAKDALE                       ***,OAKDALE                       
163.coname,GARVINc      ,GARVIN      
139.statevalue,wOK,OK
63.statevalue,OqK,OK
425.fax,(918) 42-8166,(918) 423-8166
408.city,Glenceo,Glencoe
468.distname,JUSTICEh                       ,JUSTICE                       
228.co,f38-I001,38-I001
339.coname,OKLHAOMA    ,OKLAHOMA    
404.city,Rilpey,Ripley
181.phone,(580) 53-24242,(580) 532-4242
468.city,ewoka,Wewoka
523.co,72I001,72-I001
265.statevalue,KO,OK
14.distname,HARMONY                       ***,HARMONY                       
1.fax,g(918) 696-2199,(918) 696-2199
380.boardpresident,Jxim Smith,Jim Smith
20.superintendentemail,skinse@beaver.k12.ok.us,skinsey@beaver.k12.ok.us
53.coname,CANADINA    ,CANADIAN    
45.phone,(580)588-5200,(580) 588-5200
13.distname,TIMBERLAKE                    ***,TIMBERLAKE                    
408.boardpresident,Rikc Hays,Rick Hays
481.phone,(91) 775-4458,(918) 775-4458
24.fax,(850) 225-5469,(580) 225-5469
142.co,21-rI002,21-I002
435.distname,PLEASANT GROVE               ,PLEASANT GROVE                
490.phone,(98) 775-5525,(918) 775-5525
233.website,www.redoak.k12.o.kus,www.redoak.k12.ok.us
462.statevalue,KO,OK
43.address,1400 South Msision Street,1400 South Mission Street
525.boardpresident,CherylKelly,Cheryl Kelly
183.superintendentemail,ty.hamran@mangum.k12.ok.us,ty.harman@mangum.k12.ok.us
18.superintendentemail,msimpson@tushka.k1.2ok.us,msimpson@tushka.k12.ok.us
495.coname,STEPHENS    ***,STEPHENS    
116.coname,CRIG       ,CRAIG       
525.superintendent,Jane tDunlop,Janet Dunlop
252.fax,(918) 68-2233,(918) 658-2233
266.address,700 S Cottuingham,700 S Cottingham
157.fax,(58)0 366-8900,(580) 366-8900
49.boardpresident,eKn Spady,Ken Spady
58.boardpresident,SteveJ ensen,Steve Jensen
474.fax,405) 382-8618,(405) 382-8618
527.statevalue,tOK,OK
407.fax,(918) 2x25-5256,(918) 225-5256
227.boardpresident,Shawn Vot,Shawn Vogt
160.boardpresident,Everet tPlummer,Everett Plummer
446.co,63I-117,63-I117
225.coname,KINGFISEHR  ,KINGFISHER  
182.website,www.dcalk12.org,www.dclak12.org
443.fax,(405) 2736818,(405) 273-6818
68.co,b10-I055,10-I055
178.address,100 Soutzh Locust,100 South Locust
183.co,28b-I001,28-I001
333.superintendent,Chri sCarter,Chris Carter
188.superintendentemail,dspradlin@buffaloschoo.net,dspradlin@buffaloschool.net
110.superintendentemail,jbrown@chatty.ka12.ok.us,jbrown@chatty.k12.ok.us
170.city,Chickahsa,Chickasha
238.distname,OHDGEN                        ,HODGEN                        
358.coname,OKLAHOMA  i  ,OKLAHOMA    
277.city,Spalina,Salina
248.superintendentemail,sjobergdon@poteau.1k2.ok.us,sjobergdon@poteau.k12.ok.us
285.address,22092O ld Town First,22092 Old Town First
332.distname,OKEMAH              b          ,OKEMAH                        
333.fax,(405) 786-265,(405) 786-2625
184.superintendentemail,rcalhoun@granitye.k12.ok.us,rcalhoun@granite.k12.ok.us
308.superintendent,Bruce Dopuglas,Bruce Douglas
488.statevalue,OpK,OK
9.distname,STILWELL             z         ,STILWELL                      
403.fax,(918) 352-4i187,(918) 352-4187
131.address,511East Lee,511 East Lee
82.superintendent,Lisa Prepsley,Lisa Presley
520.coname,TULSA  d     ,TULSA       
292.city,BrokenB ow,Broken Bow
45.website,htp://www.apacheps.org,http://www.apacheps.org
