#,Poem Title,Hits,Unnamed: 3,Posts,Unnamed: 5
1.0,"""It Might Have Been""",32.0,20%,0.0,0%
2.0,A Baby In The House,6.0,3%,0.0,0%
3.0,A Fable,1.0,0%,0.0,0%
4.0,A Fallen Leaf,5.0,3%,0.0,0%
5.0,A Fatal Impress,2.0,1%,0.0,0%
6.0,A Girl's Autumn Reverie,2.0,1%,0.0,0%
7.0,A Glass Of Wine,4.0,2%,0.0,0%
8.0,A Golden Day,3.0,1%,0.0,0%
9.0,A Grey Mood,2.0,1%,0.0,0%
10.0,A Holiday,2.0,1%,0.0,0%
11.0,A Leaf,2.0,1%,0.0,0%
12.0,A Lovers' Quarrel,9.0,5%,0.0,0%
13.0,A Maiden To Her Mirror,5.0,3%,0.0,0%
14.0,A Maiden's Secret,1.0,0%,0.0,0%
15.0,A Man's Repentance,1.0,0%,0.0,0%
16.0,A March Snow,1.0,0%,0.0,0%
17.0,A Meeting,1.0,0%,0.0,0%
18.0,A Pin,1.0,0%,0.0,0%
19.0,A Song Of Life,1.0,0%,0.0,0%
20.0,A Woman's Love,2.0,1%,0.0,0%
21.0,About May,1.0,0%,0.0,0%
22.0,Acquaintance,1.0,0%,0.0,0%
23.0,Ad Finum,1.0,0%,0.0,0%
24.0,After The Engagement,1.0,0%,0.0,0%
25.0,All Roads That Lead To God Are Good,1.0,0%,0.0,0%
26.0,All That Love Asks,1.0,0%,0.0,0%
27.0,Always At Sea,1.0,0%,0.0,0%
28.0,An Answer,1.0,0%,0.0,0%
29.0,An Old Man To His Sleeping Young Bride,1.0,0%,0.0,0%
30.0,Answered,1.0,0%,0.0,0%
31.0,Answers,2.0,1%,0.0,0%
32.0,Are You Loving Enough?,1.0,0%,0.0,0%
33.0,Art And Love,1.0,0%,0.0,0%
34.0,Artist's Life,1.0,0%,0.0,0%
35.0,As You Go Through Life,7.0,4%,0.0,0%
36.0,Attraction,1.0,0%,0.0,0%
37.0,Blind Sorrow,1.0,0%,0.0,0%
38.0,Certitude,1.0,0%,0.0,0%
39.0,Change,1.0,0%,0.0,0%
40.0,Communism,6.0,3%,0.0,0%
41.0,Conversion,1.0,0%,0.0,0%
42.0,Coronation Poem And Prayer,1.0,0%,0.0,0%
43.0,Fading*,1.0,0%,0.0,0%
44.0,Five Little Toes In The Morning,1.0,0%,0.0,0%
45.0,Friendship,1.0,0%,0.0,0%
46.0,Friendship After Love,1.0,0%,0.0,0%
47.0,Going Away,3.0,1%,0.0,0%
48.0,Greeting Poem,1.0,0%,0.0,0%
49.0,Haunted,1.0,0%,0.0,0%
50.0,He That Hath Ears,1.0,0%,0.0,0%
51.0,Her Last Letter,1.0,0%,0.0,0%
52.0,How Does Love Speak?,1.0,0%,0.0,0%
53.0,I Love You,1.0,0%,0.0,0%
