station,stationname,elevation(double precision),latitude(double precision),longitude(double precision),datevalue(long),dlytminnormal(long),dlytmaxnormal(long),mtdprcpnormal(long)
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100101,-33,145,2
GHCND:USC00327027,PETERSBURG 2 N ND US,442.3787232718129,48.0355,-121.29198591635122,20100102,-35,144,4
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100103,-36,143,5
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100104,-38,142,7
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-83.03429935357588,20100105,-39,141,9
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100106,-41,140,10
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-122.27772151104176,20100107,-42,140,12
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100108,-43,139,13
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100109,-44,139,15
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100110,-45,139,17
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,24.77835419414559,-98.01,20100111,-45,138,19
GHCND:USC00327027,PETERSBURG 2 N ND US,355.053971630458,48.0355,-98.01,20100112,-46,139,21
GHCND:USC00327027,PETERSBURG 2 N ND US,301.0168869965278,48.0355,-98.01,20100113,-47,139,23
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,31.6525701965888,-120.90431915201518,20100114,-47,139,25
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100115,-47,140,27
GHCND:USC00327027,PETERSBURG 2 N ND US,341.18937777457467,48.0355,-51.973613300765095,20100116,-47,140,30
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100117,-48,141,32
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-82.28921476746862,20100118,-48,142,34
GHCND:USC00327027,PETERSBURG 2 N ND US,527.2983088350672,52.31599969288253,-98.01,20100119,-47,143,35
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100120,-47,144,37
GHCND:USC00327027,PETERSBURG 2 N ND US,417.9149343810603,48.0355,-98.01,20100121,-47,145,39
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,44.77454505751729,-98.01,20100122,-46,146,41
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100123,-46,148,43
GHCND:USC00327027,PETERSBURG 2 N ND US,302.5850991715224,48.0355,-98.01,20100124,-45,149,44
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-61.3727211344457,20100125,-44,151,46
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,25.436557979773745,-84.85097940949714,20100126,-43,152,47
GHCND:USC00327027,PETERSBURG 2 N ND US,377.3815920072484,48.0355,-98.01,20100127,-42,154,49
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100128,-41,156,50
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-81.09281162058969,20100129,-40,158,52
GHCND:USC00327027,PETERSBURG 2 N ND US,467.2086626792745,48.0355,-98.01,20100130,-38,160,54
GHCND:USC00327027,PETERSBURG 2 N ND US,333.0894038351256,48.0355,-98.01,20100131,-37,162,55
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,70.75001767693526,-98.01,20100201,-35,164,1
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,38.82945304239229,-98.01,20100202,-33,166,3
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100203,-31,169,4
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100204,-29,171,6
GHCND:USC00327027,PETERSBURG 2 N ND US,609.739857315788,48.0355,-98.01,20100205,-27,173,7
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100206,-25,176,8
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100207,-22,178,10
GHCND:USC00327027,PETERSBURG 2 N ND US,679.7533343420748,38.59400828601817,-98.01,20100208,-20,181,11
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,68.0886197906965,-98.01,20100209,-17,183,12
