ObjectId,facility_type,facility_type_description,subtype,subtype_description
1,610,RETAIL FOOD STORES,62,PRE-PACKAGED RETAIL
2,610,RETAIL FOOD STORES,61,SUPERMARKET WITH PROCESSING
3,605,FOOD SERVICE ESTABLISHMENT,31,FOOD SERVICE (DAY CARE / CHILD CARE CENTER
4,605,FOOD SERVICE ESTABLISHMENT,32,FOOD SERVICE (HOSPITAL / NURSING HOME
5,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE
6,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE
7,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS"
8,607,RETAIL/FOOD ESTABLISHMENT,55,"RETAIL-FOOD  10,001 SQ FT OR OVER"
9,603,RESTRICTED FOOD CONCESSIONS,53,STATIONARY RESTRICTED CONCESSON
10,605,FOOD SERVICE ESTABLISHMENT,43,FOOD SERVICE COMMISSARY
11,605,FOOD SERVICE ESTABLISHMENT,42,CATERERS
12,610,RETAIL FOOD STORES,65,RETAIL BAKERY
13,610,RETAIL FOOD STORES,63,RETAIL WITH LIMITED SERVICE
14,605,FOOD SERVICE ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS"
15,605,FOOD SERVICE ESTABLISHMENT,52,SELF-CONTAINED MOBILE FOOD UNITS
16,610,RETAIL FOOD STORES,212,SALVAGE DISTRIBUTOR
17,605,FOOD SERVICE ESTABLISHMENT,36,CHARITABLE FOOD SERVICE (501(C)3 EXEMPT)
