OBJECTID,PLY_FEATYPE_CODE,PLY_FEATYPE_TEXT,PLY_DWW_FEATYPE_CODE,PLY_DWW_FEATYPE_TEXT,PLY_DESC_TEXT,PLY_MXM_DESC_TEXT,PLY_FEA_KEY,PLY_DWW_FEATURE_KEY,PLY_DWW_FEATURE_EQNUM_ID,PLY_DWW_ROLE_CODE,PLY_DWW_ROLE_TEXT,PLY_OWNER_CODE,PLY_OWNER_NAME,PLY_LIFECYCLE_CODE,PLY_LIFECYCLE_STAT,PLY_DWW_GEOMTR_TYPE,PLY_AREA_SQFT_NBR,PLY_AREA_ACRES_NBR,PLY_LENGTH_FT_NBR,PLY_MXM_ADRS_TEXT,PLY_WIDTH_FT_NBR,PLY_HEIGHT_FT_NBR,SHAPE_Length,SHAPE_Area
88,PNT,Point Representations,MST,Misc Structures,Structure - Tunnel Outlet Regulator,,4053950,4059854,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,2901.71,0.07,,,,,229.718542327901,2901.70950311103
121,PNT,Point Representations,MST,Misc Structures,Structure - Overflow w/ 2 access points,OVERFLOW STRUCTURE - NPDES 111G - CSO 35 - 057-265,3992977,1581766,713074,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,61.38,0,,712 S SNOQUALMIE ST,,,33.2380244635318,61.3752350968741
312,PNT,Point Representations,MST,Misc Structures,Structure - Diversion Structure (Denny) Metro KC,,3991432,1196537,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,720.31,0.02,,,,,116.314795230757,720.309497612603
343,PNT,Point Representations,MST,Misc Structures,Structure - Wet Well - Fort Lawton Pump Station,WASTEWATER MAINTENANCE HOLE - 010-216,4806523,618114,678193,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,182.79,0,,5656 45TH AVE W,,,47.9268482931253,182.788082398872
406,PNT,Point Representations,MST,Misc Structures,Structure - Field Verified Misc Flow Drain. Struc,DRAINAGE MAINTENANCE HOLE - D300-024,3995450,2004303,714693,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,157.88,0,,10405 MAPLEWOOD PL SW,,,50.3479534696843,157.876509775591
441,PNT,Point Representations,OF,Overflow MH,Structure - King County Overflow Chamber,,4247570,1093850,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,427.1,0.01,,,,,91.1333720827796,427.100282737292
571,PNT,Point Representations,MST,Misc Structures,Structure - Unknown (Metro KC),,3992554,1486780,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,292.45,0.01,,,,,68.4391910376835,292.448343694333
699,PNT,Point Representations,MH,Maintenance Hole,Structure - Miscellaneous,,3990243,833755,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,78.48,0,,,,,35.4509636409545,78.4755711946905
724,PNT,Point Representations,SED,"Sedimentation Chamber;Sand Catcher;Sand ",Other - Sandcatcher,WASTEWATER MAINTENANCE HOLE - 053-353,4301514,1521422,696253,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,38.52,0,,MAP 053 - WASTEWATER MAINTENANCE HOLES / APPURTENA,,,22.0014013563085,38.5204031057468
833,PNT,Point Representations,MST,Misc Structures,Structure - Regulator,,3992545,1485770,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,231.39,0.01,,,,,63.2050364106219,231.394873689442
927,PNT,Point Representations,MH,Maintenance Hole,Structure - Bend MH,DRAINAGE MAINTENANCE HOLE - D059-285,4249720,1525676,597236,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,206.95,0,,3829 43RD AVE S,,,60.324410598782,206.951514307736
953,PNT,Point Representations,MST,Misc Structures,"Structure - CSO Control Facility, W. Tunnel Portal",,3991202,1149616,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,9833.9,0.23,,,,,415.811674302575,9833.89715845804
959,PNT,Point Representations,MST,Misc Structures,Structure - King County Access Shaft,,4248828,1183616,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,173.46,0,,,,,46.6883727979265,173.463303081664
1028,PNT,Point Representations,MST,Misc Structures,Structure - Flap Gate Chamber,OUTFALL STRUCTURE - NPDES 85 - 047W-009,4250864,1431476,694359,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,0.9,0,,3211 POINT PL SW,,,3.79236423575331,0.896979508966703
1040,PNT,Point Representations,OF,Overflow MH,"Structure - Regulator, Lk. Union Tunnel (Metro KC)",,3991275,1162655,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,1031.11,0.02,,,,,159.880765914203,1031.11442323303
1070,PNT,Point Representations,MST,Misc Structures,Structure - Overflow Chamber,,4055733,763674,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,413.84,0.01,,,,,89.3227779964115,413.83974548625
1108,PNT,Point Representations,MST,Misc Structures,Structure - King County Regulator Station,,3992535,1481967,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,267.83,0.01,,,,,70.2128701468846,267.83418680346
1118,PNT,Point Representations,MST,Misc Structures,"Structure - Siphon, Boeing (Metro KC)",,4264695,4264685,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,103.33,0,,,,,41.793151838456,103.328990807286
1128,PNT,Point Representations,MST,Misc Structures,Structure - Diversion Structure,DRAINAGE MH DIVERSION STRUCTURE - D069-228,3994347,1832425,713997,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,57.73,0,,7501 DELRIDGE WAY SW,,,44.0761569784027,57.7312489005423
1202,PNT,Point Representations,MST,Misc Structures,Structure - Basin Overflow Structure,OVERFLOW STRUCTURE - WEBSTER DETENTION POND - D069,3994333,1830604,713992,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,326.65,0.01,,7501 24TH AVE SW,,,95.44174047763,326.652275264678
1368,PNT,Point Representations,MST,Misc Structures,Structure - Bend MH,DRAINAGE MAINTENANCE HOLE - D059-113,3992961,1579430,713057,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,353.53,0.01,,4436 38TH AVE S,,,93.1440720571977,353.527227199083
1483,PNT,Point Representations,MST,Misc Structures,Structure - Regulator (Metro KC),,3994043,1788881,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,174.29,0,,,,,53.0949120521545,174.293191832917
1590,PNT,Point Representations,OF,Overflow MH,Structure - Overflow,OVERFLOW STRUCTURE - NPDES 111D - CSO 35 - 057-253,4057259,1558163,696962,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,121.12,0,,4150 1ST AVE S,,,46.3958237699233,121.121798776378
1594,PNT,Point Representations,MST,Misc Structures,Structure - Miscellaneous,DRAINAGE MAINTENANCE HOLE - D059-114,3992962,1579469,713058,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,135.05,0,,4501 CASCADIA AVE S,,,46.5377280414104,135.052258422373
1628,PNT,Point Representations,MST,Misc Structures,Structure - Junction Chamber (Metro KC),,3992514,1476694,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,127.17,0,,,,,39.9768292775064,127.165533253582
1666,PNT,Point Representations,OF,Overflow MH,Structure - Diversion,DIVERSION STRUCTURE W/ 2 OVERFLOW WEIRS - NPDES 63,3990641,959087,786475,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,97.01,0,,2599 PERKINS LN W,,,39.4078392933438,97.0082503959684
1721,PNT,Point Representations,FCM,Flow Control MH,Other - Overflow Chamber,FLOW CONTROL MH - 016-078,4473694,690307,709787,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,276.07,0.01,,5249 40TH AVE NE,,,79.8757434086457,276.072454808363
1722,PNT,Point Representations,OF,Overflow MH,Structure - Overflow Chamber,WASTEWATER MAINTENANCE HOLE - 047-190,4477313,1413521,694021,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,219.53,0.01,,5228 SW ADMIRAL WAY,,,69.0117901369252,219.531808527638
1857,PNT,Point Representations,MST,Misc Structures,Structure - Regulator (Metro KC),,3992387,1438228,,ENDPT,Mainline End Point,KC,King County,C,Connected,PNT,223.27,0.01,,,,,59.8482231415492,223.270856727667
2070,PNT,Point Representations,MST,Misc Structures,Structure - Overflow/Flow Control,CONTROL CHAMBER - 076-367 - NPDES169 - CSO 3,3995036,1940015,786758,ENDPT,Mainline End Point,SPU,Seattle Public Utilities,C,Connected,PNT,189.24,0,,2201 SW HENDERSON ST,,,55.0322309595278,189.235899411378
2092,PNT,Point Representations,OF,Overflow MH,Structure - Overflow (Metro KC),WASTEWATER MAINTENANCE HOLE - 052-087,3992295,1408699,927903,ENDPT,Mainline End Point,,,C,Connected,PNT,371.3,0.01,,2377 RAINIER AVE S,,,102.201032610211,371.296066490085
