796.agency_name,REGENTS FOR HIGzHER EDUCATION,REGENTS FOR HIGHER EDUCATION
817.total_amount,$12112.53,$162112.53
73.class_description,Interagency Reimbursemen Fund,Interagency Reimbursement Fund
902.class_description,Ok Tax Comm Revloving Fund,Ok Tax Comm Revolving Fund
637.total_amount,$0.00***,$0.00
441.statutory_reference,"TITLE 60, SEC. 833","TITLE 60, SEC. 383"
904.class_description,OTC & cOSF Joint Computer Enhan,OTC & OSF Joint Computer Enhan
627.total_amount,$q32224.63,$32224.63
700.total_amount,$f2057850.54,$2057850.54
305.statutory_reference,"TITLE 7,4 SEC. 1524B","TITLE 74, SEC. 1524B"
196.statutory_reference,"TITLE 62, 34.48t, 34.9","TITLE 62, 34.48, 34.9"
157.statutory_reference,"TITLE 62, SwEC. 7.5","TITLE 62, SEC. 7.5"
856.class_description,Cairbon Sequestratrion Assess C,Carbon Sequestratrion Assess C
584.agency_name,CUNCIL ON LAW ENFC. ED. & TRNG.,COUNCIL ON LAW ENFC. ED. & TRNG.
737.statutory_reference,"TITLE 62, SEC. u34.48","TITLE 62, SEC. 34.48"
1032.agency_name,EMPLOYEES BENEFITS pCOUNCIL,EMPLOYEES BENEFITS COUNCIL
628.class_description,Comm-Based Substance Absue Rev,Comm-Based Substance Abuse Rev
495.total_amount,0$.00,$0.00
438.statutory_reference,"TITLE 74, SEC. 93","TITLE 74, SEC. 943"
305.total_amount,$40463.09,$40463.90
467.agency_name,DEPARMTENT OF WILDLIFE CONSERVATION,DEPARTMENT OF WILDLIFE CONSERVATION
251.class_description,Educ & Gen Operation Fund,Educ & Gen Operations Fund
850.agency_name,COMM. ON CONSUMER CREIDT,COMM. ON CONSUMER CREDIT
347.agency_name,BhOARD OF DENTISTRY,BOARD OF DENTISTRY
789.class_description,Offices of Accountability,Office of Accountability
847.agency_name,COMM. ON CNOSUMER CREDIT,COMM. ON CONSUMER CREDIT
274.agency_name,DEPARTMENT OF CORRECTONS,DEPARTMENT OF CORRECTIONS
526.total_amount,$20372364.20,$210372364.20
412.statutory_reference,"TITLE 70, SECTION 61-99","TITLE 70, SECTION 6-199"
215.class_description,OCIA 2002A Constructionl Fund,OCIA 2002A Construction Fund
129.agency_name,STATE ARTS bCOUNCIL,STATE ARTS COUNCIL
328.class_description,Corp. ommission Rev Fund,Corp. Commission Rev Fund
353.statutory_reference,"TITLE 21, SEC.n 142.20","TITLE 21, SEC. 142.20"
1037.total_amount,$6g.67,$6.67
103.agency_name,WESTERN OKLA. STATE COLLEEG,WESTERN OKLA. STATE COLLEGE
466.total_amount,$847313.17,$847313.71
61.total_amount,$44388.98,$443881.98
867.total_amount,$6996.65,$69936.65
205.total_amount,$0b.00,$0.00
618.class_description,Liuified Petroleum Gas Fund,Liquified Petroleum Gas Fund
133.statutory_reference,"TTLE 62, SEC 34.48, 34.9","TITLE 62, SEC 34.48, 34.9"
144.total_amount,$000,$0.00
759.total_amount,$6899.46,$6989.46
357.agency_name,DISTRICT ATTORNEYS COUNwCIL,DISTRICT ATTORNEYS COUNCIL
476.statutory_reference,"TTILE 63, SECTION 1-740.12","TITLE 63, SECTION 1-740.12"
275.agency_name,DEPARTMENT OF CRORECTIONS,DEPARTMENT OF CORRECTIONS
488.total_amount,$10400.0,$1040.00
342.statutory_reference,"TITLEf 74, SECTION 62.5","TITLE 74, SECTION 62.5"
381.statutory_reference,"TITLE 70, SEC. w3901","TITLE 70, SEC. 3901"
423.class_description,OESC Compute rFund,OESC Computer Fund
603.class_description,Criminal Cod eRevolving Fund,Criminal Code Revolving Fund
164.statutory_reference,"TITLE 62, SEC 34.48, 349.","TITLE 62, SEC 34.48, 34.9"
551.class_description,Energy Resorces Revolving Fun,Energy Resources Revolving Fun
863.statutory_reference,"TITLE 62, EC. 139.47","TITLE 62, SEC. 139.47"
530.total_amount,$20106403.8,$2010640.38
647.statutory_reference,"TITuLE 70, SEC. 3901","TITLE 70, SEC. 3901"
1082.total_amount,66710.07,$66710.07
313.statutory_reference,"TITLE 62 ,SEC. 34.9","TITLE 62, SEC. 34.9"
674.agency_name,NORTHEATSERN STATE UNIVERSITY,NORTHEASTERN STATE UNIVERSITY
770.class_description,Saleis Fund Surplus,Sales Fund Surplus
296.class_description,Minoity Bus Dev Program Fund,Minority Bus Dev Program Fund
693.statutory_reference,"TITLE 70, SrEC. 3904","TITLE 70, SEC. 3904"
731.class_description,Color Oklaohma Revolving Fund,Color Oklahoma Revolving Fund
194.agency_name,CAPITOL IMPROVEMENgT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
921.statutory_reference,"TITLlE 73, SEC. 177.1","TITLE 73, SEC. 177.1"
1000.agency_name,DEPARTMENT OF REHABILITATION SkERVICES,DEPARTMENT OF REHABILITATION SERVICES
160.total_amount,$1113407.04,$1113407.40
358.class_description,Federal Funds-Victims OfCrime,Federal Funds-Victims Of Crime
405.statutory_reference,"TITLE 70, SECTION -104 PARA. 10 & 11","TITLE 70, SECTION 3-104 PARA. 10 & 11"
595.class_description,ODF Rev Bonds Series 1999 A,ODFA Rev Bonds Series 1999 A
425.agency_name,EMPLOYMEN SECURITY COMMISSION,EMPLOYMENT SECURITY COMMISSION
14.total_amount,$8511m74.86,$851174.86
741.total_amount,$18897.531,$188975.31
482.class_description,Fire Extinguisher Ind Rev Funid,Fire Extinguisher Ind Rev Fund
