technologycenternames,address,city,statevalue,zip(long),phone_one,url,longitude(double precision),latitude(double precision),locationvalue
Autry Technology Center,1201 W. Willow,Enid,OK,73038.0,(580) 242-2750,http://www.autrytech.com/,-97.892394,35.117105,"(35.117105, -98.428839)"
Caddo-Kiowa Technology Center,100 Career Tech Road,Fort Cobb,OK,73038.0,(405) 643-5511,http://www.caddokiowa.com/,-98.428839,35.117105,"(35.117105, -98.428839)"
Canadian Valley Technology Center,6505 E. Hwy. 66,El Reno,OK,73038.0,(405) 422-2200,http://www.cvtech.org/,-97.883799,35.117105,"(35.117105, -98.428839)"
Canadian Valley Technology Center,6505 E. Hwy. 66,Chickasha,OK,73018.0,(405) 224-7220,http://www.cvtech.org/,-98.428839,35.117105,"(35.117105, -98.428839)"
Canadian Valley Technology Center,1701 S. Czech Hall Road,Yukon,OK,73038.0,(405) 262-2629,http://www.okktc.org,-98.428839,35.117105,"(35.448898, -97.742578)"
Central Tech,3 CT Circle,Drumright,OK,74030.0,(918) 352-2551,http://www.ctechok.org/,-96.571041,36.00309,"(36.00309, -96.571041)"
Central Tech,1720 S. Main,Sapulpa,OK,74066.0,(918) 224-9300,http://www.centraltech.edu/,-96.113753,35.979012,"(35.979012, -96.113753)"
Chisholm Trail Technology Center,RR 1 Box 60,Omega,OK,73764.0,(405) 729-8324,http://www.chisholmtrail.com/,-98.171597,35.84836,"(35.84836, -98.171597)"
Eastern Oklahoma County Technology Center,4601 N. Choctaw Rd.,Choctaw,OK,73020.0,(405) 390-9591,http://www.eoctech.org/,-97.265174,35.517194,"(35.517194, -97.265174)"
Francis Tuttle Technology Center,12777 N. Rockwell,Oklahoma City,OK,73142.0,(405) 717-7799,http://www.francistuttle.com,-97.638667,35.599434,"(35.599434, -97.638667)"
Francis Tuttle Technology Center,3500 NW 150th St.,Oklahoma City,OK,73134.0,(405) 717-7799,http://www.francistuttle.com/,-97.58115,35.62357,"(35.62357, -97.58115)"
Francis Tuttle Technology Center,7301 W. Reno,Oklahoma City,OK,73127.0,(405) 717-7799,http://www.francistuttle.com,-97.640252,35.464606,"(35.464606, -97.640252)"
Gordon Cooper Technology Center,One John C. Bruton Blvd.,Shawnee,OK,74804.0,(405) 273-7493,http://www.gctech.org/,-96.920281,35.376514,"(35.376514, -96.920281)"
Great Plains Technology Center,4500 S.W. Lee Blvd.,Lawton,OK,73505.0,(580) 355-6371,http://www.gptech.org/,-98.447609,34.594284,"(34.594284, -98.447609)"
Great Plains Technology Center,2001 E. Gladstone,Frederick,OK,73542.0,(580) 335-5525,http://www.gptech.org,-98.995197,34.392305,"(34.392305, -98.995197)"
Green Country Technology Center,1100 North Loop 56,Okmulgee,OK,74447.0,(918) 758-0840,http://www.gctcok.com/,-95.926562,35.609871,"(35.609871, -95.926562)"
High Plains Technology Center,3921 34th Street,Woodward,OK,73801.0,(580) 256-6618,http://www.hptc.net/,-99.425573,36.409878,"(36.409878, -99.425573)"
Indian Capital Technology Center,2403 N. 41st St. E.,Muskogee,OK,74403.0,(918) 686-7565,http://www.ictctech.com/,-95.310869,35.766006,"(35.766006, -95.310869)"
Indian Capital Technology Center,Route 6 Box 3320,Stilwell,OK,74960.0,(918) 696-3111,http://www.ictctech.com,-94.633749,35.817794,"(35.817794, -94.633749)"
Indian Capital Technology Center,401 Houser Rd,Sallisaw,OK,74955.0,(918) 775-9119,http://www.ictctech.com,-94.796993,35.445937,"(35.445937, -94.796993)"
Indian Capital Technology Center,240 Vo-Tech Road,Tahlequah,OK,74465.0,(918) 456-2594,http://www.ictctech.com,-94.972649,35.91136,"(35.91136, -94.972649)"
Kiamichi Technology Center,107 South 15th Street,Hugo,OK,74743.0,(580) 326-6491,http://www.okktc.org,-95.495312,34.009321,"(34.009321, -95.495312)"
Kiamichi Technology Center,1509 South McKenna,Poteau,OK,74953.0,(918) 647-4525,http://www.okktc.org,-94.63567,35.040784,"(35.040784, -94.63567)"
Kiamichi Technology Center,13739 SE 202 Road,Talihina,OK,74571.0,(918) 567-2264,http://www.okktc.org,-95.02504,34.751557,"(34.751557, -95.02504)"
Kiamichi Technology Center,405 SW O Street,Antlers,OK,74523.0,(405) 424-8324,http://www.okktc.org/,-95.640379,34.22933,"(34.22933, -95.640379)"
Kiamichi Technology Center,1301 West Liberty Road,Atoka,OK,74525.0,(580) 889-7321,http://www.okktc.org/,-96.144102,34.394311,"(34.394311, -96.144102)"
Kiamichi Technology Center,1410 Old Military Road,Stigler,OK,74462.0,(918) 967-2801,http://www.okktc.org,-95.114764,35.25107,"(35.25107, -95.114764)"
Kiamichi Technology Center,610 S.W. 3rd,Spiro,OK,74959.0,(918) 962-3722,http://www.okktc.org,-94.626687,35.23838,"(35.23838, -94.626687)"
Kiamichi Technology Center,810 Waldron,Durant,OK,74701.0,(580) 924-7081,http://www.okktc.org,-96.407939,33.945121,"(33.945121, -96.407939)"
Kiamichi Technology Center,3205 N.E. Lincoln Road,Idabel,OK,74745.0,(580) 286-7555,http://www.okktc.org,-94.773234,33.919683,"(33.919683, -94.773234)"
Kiamichi Technology Center,1004 Highway 2 N,Wilburton,OK,74578.0,(918) 465-2324,http://www.okktc.org/,-95.322552,34.92116,"(34.92116, -95.322552)"
Kiamichi Technology Center,301 Kiamichi Dr.,McAlester,OK,74501.0,(918) 426-0940,http://www.okktc.org,-95.743375,34.924122,"(34.924122, -95.743375)"
Meridian Technology Center,1312 S. Sangre Rd.,Stillwater,OK,74074.0,(405) 377-3333,http://www.meridian-technology.com/,-97.10515,36.107458,"(36.107458, -97.10515)"
Metro Technology Centers,5600 S. MacArthur,Oklahoma City,OK,73179.0,(405) 685-0008,http://www.metrotech.org,-97.618484,35.409964,"(35.409964, -97.618484)"
Metro Technology Centers,309 S. W. 59th,Oklahoma City,OK,73109.0,(405) 424-8324,http://www.metrotech.org,-97.517505,35.406263,"(35.406263, -97.517505)"
Metro Technology Centers,4901 S. Bryant,Oklahoma City,OK,73129.0,(405) 424-8324,http://www.metrotech.org,-97.459324,35.415865,"(35.415865, -97.459324)"
Metro Technology Centers,1900 Springlake Dr.,Oklahoma City,OK,73111.0,(405) 424-8324,http://www.metrotech.org,-97.478837,35.5139,"(35.5139, -97.478837)"
Metro Technology Centers,201 N.E. 48th,Oklahoma City,OK,73105.0,(405) 424-8324,http://www.metrotech.org,-97.507442,35.520594,"(35.520594, -97.507442)"
Mid-America Technology Center,27438 State Highway 59,Wayne,OK,73095.0,(405) 449-3391,http://www.matech.org/,-97.36468,34.913236,"(34.913236, -97.36468)"
Mid-Del Technology Center,1621 Maple Dr.,Midwest City,OK,73110.0,(405) 739-1707,http://www.mid-del.tec.ok.us/,-97.401106,35.454012,"(35.454012, -97.401106)"
Moore Norman Technology Center,13301 South Pennsylvania,Oklahoma City,OK,73170.0,(405) 364-5763,http://mntechnology.com/,-97.547754,35.336168,"(35.336168, -97.547754)"
Moore Norman Technology Center,4701 12th Ave NW,Norman,OK,73069.0,(405) 364-5763,http://mntechnology.com/,-97.458865,35.273933,"(35.273933, -97.458865)"
Northeast Technology Center,1901 N. Hwy 88,Claremore,OK,74017.0,(918) 342-2029,http://www.netech.edu/,-95.605255,36.298186,"(36.298186, -95.605255)"
Northeast Technology Center,19901 S. Hwy 69,Afton,OK,74331.0,(918) 257-8324,http://www.netech.edu/,-94.927519,36.73934,"(36.73934, -94.927519)"
Northeast Technology Center,10606 E. Aspen Drive,Claremore,OK,74019.0,(918) 342-8066,http://www.netech.edu/,-95.64067,36.274925,"(36.274925, -95.64067)"
Northeast Technology Center,450 N. Hwy 59,Kansas,OK,74347.0,(918) 868-3535,http://www.netech.edu/,-94.779492,36.209857,"(36.209857, -94.779492)"
Northeast Technology Center,483 Airport Rd.,Pryor,OK,74362.0,(918) 825-7040,http://www.netech.edu/,-95.332747,36.23317,"(36.23317, -95.332747)"
Northwest Technology Center,801 Vo-Tech Dr.,Fairview,OK,73737.0,(580) 227-3708,http://www.nwtechonline.com/,-98.49773,36.252715,"(36.252715, -98.49773)"
Northwest Technology Center,1801 S. 11th,Alva,OK,73717.0,(580) 327-0344,http://www.nwtechonline.com/,-98.675186,36.786031,"(36.786031, -98.675186)"
Pioneer Technology Center,2101 N. Ash,Ponca City,OK,74601.0,(580) 762-8336,http://www.pioneertech.org/,-97.094822,36.726664,"(36.726664, -97.094822)"
Pontotoc Technology Center,601 W. 33rd,Ada,OK,74820.0,(580) 310-2200,http://www.pontotoc.com,-96.697326,34.781932,"(34.781932, -96.697326)"
Red River Technology Center,3300 W. Bois D'Arc,Duncan,OK,73534.0,(580) 255-2903,http://www.redriver.tec.ok.us/,-97.957539,34.501865,"(34.501865, -97.957539)"
Southern Oklahoma Technology Center,2610 Sam Noble Pkwy.,Ardmore,OK,73401.0,(580) 223-2070,http://www.sotc.org/,-97.085179,34.187167,"(34.187167, -97.085179)"
Southwest Technology Center,711 W. Tamarack Rd.,Altus,OK,73521.0,(580) 477-2250,http://www.swtc.org,-99.342806,34.66691,"(34.66691, -99.342806)"
Tinker CareerTech Training Center,"Bldg. 1, D Ave.",Tinker AFB,OK,73145.0,(405) 734-7266,http://www.okktc.org,-97.406049,35.42857,"(35.42857, -97.406049)"
Tri County Technology Center,6101 S.E. Nowata Rd.,Bartlesville,OK,74006.0,(918) 333-2422,http://www.tctc.org/,-95.90482,36.727802,"(36.727802, -95.90482)"
Tulsa Technology Center,3420 S. Memorial,Tulsa,OK,74145.0,(918) 828-1000,http://www.tulsatech.com/,-95.88685,36.113168,"(36.113168, -95.88685)"
Tulsa Technology Center,4600 S. Olive,Broken Arrow,OK,74011.0,(918) 828-3000,http://www.tulsatech.com/,-95.833294,36.005151,"(36.005151, -95.833294)"
Tulsa Technology Center,3850 N. Peoria,Tulsa,OK,74106.0,(918) 828-2000,http://www.tulsatech.com/,-95.975724,36.210558,"(36.210558, -95.975724)"
Tulsa Technology Center,6111 East Skelly Drive,Tulsa,OK,74147.0,(918) 828-5000,http://www.tulsatech.edu,-95.907521,36.1065,"(36.1065, -95.907521)"
Tulsa Technology Center,801 East 91 Street,Tulsa,OK,74132.0,(918) 828-4000,http://www.tulsatech.com/,-95.978694,36.032123,"(36.032123, -95.978694)"
Western Technology Center,621 Sooner Drive,Burns Flat,OK,73624.0,(580) 562-3181,http://www.wtc.tec.ok.us/,-99.183428,35.352093,"(35.352093, -99.183428)"
Western Technology Center,1000 South Bailey,Hobart,OK,73651.0,(580) 726-8400,http://www.wtc.tec.ok.us,-99.102309,35.01564,"(35.01564, -99.102309)"
Western Technology Center,2002 Northeast Highway 66,Sayre,OK,73661.0,(580) 928-2097,http://www.wtc.tec.ok.us,-99.627059,35.31137,"(35.31137, -99.627059)"
Western Technology Center,2605 E Main,Weatherford,OK,73096.0,(580) 774-0224,http://www.wtc.tec.ok.us,-98.670783,35.537023,"(35.537023, -98.670783)"
Wes Watkins Technology Center,7892 Highway 9,Wetumka,OK,74883.0,(405) 452-5500,http://www.wwtech.org/,-96.265,35.232021,"(35.232021, -96.265)"
