69.namevalue,Cenuss Tract 3197.10,Census Tract 3197.10
35.namevalue,Census Tarct 3199.05,Census Tract 3199.05
27.city,Tvempe,Tempe
2.city,hPoenix,Phoenix
8.namevalue,Cenlsus Tract 1167.17,Census Tract 1167.17
18.namevalue,CensusTract 3191.01,Census Tract 3191.01
12.city,Socttsdale,Scottsdale
68.city,Tfempe,Tempe
40.namevalue,Cesnus Tract 3199.10,Census Tract 3199.10
67.city,bTempe,Tempe
39.city,Tempie,Tempe
51.namevalue,Census Trct 4222.12,Census Tract 4222.12
56.city,Chandlre,Chandler
43.city,jTempe,Tempe
22.city,Tmpe,Tempe
71.namevalue,ensus Tract 3198.02,Census Tract 3198.02
