x(double precision),y(double precision),objectid(long),blmorgcd,admunitcd,admuname,admulabel,blmorgtype,apprvdt,effdt,mngdunitcd,coordsrc,accuracyft(long),globalid
-117.325488405,47.667924536,1,ORL05,ORW03000,SPOKANE BORDER FIELD OFFICE,Border,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORW03000,UNK,100,{DDC4C665-8F3E-4335-82A5-C53209329C62}
-120.346538761,42.1709221740001,2,ORL05,ORL05000,LAKEVIEW LAKEVIEW FIELD OFFICE,Lakeview,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORL05000,UNK,100,{A4B3FB3C-8B2E-4E4A-A69D-3E2820E2CBD7}
-122.87458951,42.361646722,3,ORL05,ORM00000,MEDFORD DISTRICT OFFICE,Medford,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORM00000,UNK,100,{2DCB475F-2605-4B70-B784-2F187EEBA4CA}
-119.09661162,43.5233004730001,4,ORB06,ORB06000,BURNS ANDREWS FIELD OFFICE,Andrews,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORB06000,UNK,100,{E3E5BD49-D077-460C-93F5-1B84DBF61089}
-122.87458951,42.361646722,5,ORM05,ORM05000,MEDFORD BUTTE FALLS FIELD OFFICE,Butte Falls,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORM05000,UNK,100,{8CC27685-3C5D-4BE5-BE6A-6BB7CAB5C906}
-117.325488405,47.667924536,6,ORW00,ORW00000,SPOKANE DISTRICT OFFICE,Spokane,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORW00000,UNK,100,{4402E3D8-270F-4CB9-8729-DB5A9CA6361F}
-120.809912837,44.302885458,7,ORP04,ORP04000,PRINEVILLE CENTRAL OREGON FIELD OFFICE,Central Oregon,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORP04000,UNK,100,{E111EA74-3E20-4A1B-AF8C-CFFA7D6C1532}
-123.294066386,42.4307983690001,8,ORM07,ORM07000,MEDFORD GRANTS PASS FIELD OFFICE,Grants Pass,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORM07000,UNK,100,{D0AE3F92-9F14-4F78-8148-ADB3C10CB5AB}
-122.677162854,45.514624616,9,OR000,OR000000,OREGON STATE OFFICE,Oregon State Office,State,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,OR000000,UNK,100,{849F6802-BEFF-4043-A378-B6EC91C73CD1}
-120.809912837,44.302885458,10,ORP06,ORP06000,PRINEVILLE DESCHUTES FIELD OFFICE,Deschutes,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORP06000,UNK,100,{984D697D-E666-4984-A978-88BDD622191D}
-25.874589510000007,71.361646722,11,ORM06,ORM06000,MEDFORD ASHLAND FIELD OFFICE,Ashland,Field,9999/09/09 00:00:00v+00,9999/09/09 0l0:00:00+00,ORM00000,UNK,100,{8CFFA665-0A61-40DB-9E0B-CA8F9B9C3B68}
-123.363993218,43.227615588,12,ORR05,ORR05000,ROSEBURG SOUTH RIVER FIELD OFFICE,South River,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORR05000,UNK,100,{E18FE868-E7BE-4B74-9BAB-7EC151A7DDE4}
-117.240419587,43.9866703600001,13,ORV04,ORV04000,VALE MALHEUR FIELD OFFICE,Malheur,Field,2015/09/01 00:00:00+00,2015/09/01 00:00:00+00,ORV04000,UNK,100,{F7447487-F1C6-40C1-9F63-4A0FD30EC5DC}
-82.346538761,105.1709221740001,14,ORL00,ORL00000,LAKEVIEW DISTRICT OFFICE,Lakeview,District,9999/09/09 00:0000+00,9999/0/09 00:00:00+00,ORL00000,UNK,100,{0922C25F-2CB6-41B1-A3E7-D23337564399}
-117.240419587,43.9866703600001,15,ORV00,ORV00000,VALE DISTRICT OFFICE,Vale,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORV00000,UNK,100,{4706218D-BA3A-47E6-BF2C-A57DB0C04646}
-124.251102454,43.4153580550001,16,ORC04,ORC04000,COOS BAY MYRTLE WOOD FIELD OFFICE,Myrtlewood,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORC04000,UNK,100,{53AFF8A2-7180-459E-9CB7-BD404F3CB50A}
-119.09661162,43.5233004730001,17,ORB05,ORB05000,BURNS THREE RIVERS FIELD OFFICE,Three Rivers,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORB05000,UNK,100,{709DAEAC-2E92-4714-A326-41EE2B168CE9}
-123.363993218,43.227615588,18,ORR04,ORR04000,ROSEBURG SWIFTWATER FIELD OFFICE,Swiftwater,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORR04000,UNK,100,{A0441291-A224-4B57-8480-F8820C0F9E8A}
-117.842585843,44.7876544900001,19,ORV05,ORV05000,VALE BAKER FIELD OFFICE,Baker,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORV05000,UNK,100,{326EC20E-FADF-4E8A-A3A2-939CA63FAA23}
-124.251102454,43.4153580550001,20,ORC00,ORC00000,COOS BAY DISTRICT OFFICE,Coos Bay,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORC00000,UNK,100,{6CBB8E88-BA6A-46D9-8024-AB4D61D2EB82}
-120.316073948,47.437342007,21,ORW02,ORW02000,SPOKANE WENATCHEE FIELD OFFICE,Wenatchee,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORW02000,UNK,100,{198C6EB7-51D9-45E4-B8CC-E8A74D89D792}
-121.754836312,42.181371319,22,ORL04,ORL04000,LAKEVIEW KLAMATH FALLS FIELD OFFICE,Klamath Falls,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORL04000,UNK,100,{56F4DCFF-228A-4625-870D-A237387D96EF}
-124.251102454,88.4153580550001,23,ORC03,ORC03000,COOS BAY UMPQUA FIELD OFFICE,Umpqua,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORC03000,UNK,100,{317F5020-14D9-42DA-8A68-E3E912CB4CED}
-120.809912837,44.302885458,24,ORP00,ORP00000,PRINEVILLE DISTRICT OFFICE,Prineville,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORP00000,UNK,100,{B38AB79F-3D05-4259-B3EF-21CFABFD41FF}
-77.363993218,43.227615588,25,ORR00,ORR00000,ROSEBURG DISTRICT OFFICE,Roseburg,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORR00000,UNK,100,{F8F5D3AC-6A46-4822-A0FD-0FD155EC97BC}
-119.09661162,43.5233004730001,26,ORB00,ORB00000,BURNS DISTRICT OFFICE,Burns,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORB00000,UNK,100,{ABCBC05B-4E4B-415D-AC05-870D8D2ECF45}
-122.980173994,44.065383851,27,ORN03,ORN03000,NW OREGON SIUSLAW FIELD OFFICE,Siuslaw,Field,2016/02/11 00:00:00+00,2016/10/02 00:00:00+00,ORN03000,UNK,100,{1D76BDE7-D547-4A45-A36D-23362B128221}
-123.023539194,44.874317574,28,ORN00,ORN00000,NW OREGON DISTRICT OFFICE,Northwest Oregon,District,2016/02/11 00:00:00+00,2016/10/02 00:00:00+00,ORN00000,UNK,100,{D885429B-73C5-4125-8DA2-2408757E2F4F}
-122.980173994,44.065383851,29,ORN05,ORN05000,NW OREGON UPPER WILLAMETTE FIELD OFFICE,Upper Willamette,Field,2016/02/m11 00:00:00+00,2016/10/02 00:00:00+00,ORN05000,UNK,100,{C019B476-ACDB-449D-849B-863E57F1C825}
-123.815290999,45.456917988,30,ORN04,ORN04000,NW OREGON TILLAMOOK FIELD OFFICE,Tillamook,Field,2016/02/11 00:00:00+00,2016/10/02 00:00:00+00,ORN04000,UNK,100,{68B3A062-5C40-4FCF-8067-88CFDF8D0A23}
-123.023539194,44.874317574,31,ORN02,ORN02000,NW OREGON MARYS PEAK FIELD OFFICE,Marys Peak,Field,2016/02/11 00:00:00+00,2016/10/02 00:00:00+00,ORN02000,UNK,100,{CA3988C5-7D9D-4DAE-ACF8-064E243D2458}
-123.023539194,44.874317574,32,ORN01,ORN01000,NW OREGON CASCADES FIELD OFFICE,Cascades,Field,2016/02/11 00:00:00+00,201/10/02 00:00:00+00,ORN01000,UNK,100,{F1209976-0E08-47CB-9799-1C221BC860B9}
