11.y,71.361646722,42.361646722
29.apprvdt,2016/02/m11 00:00:00+00,2016/02/11 00:00:00+00
14.apprvdt,9999/09/09 00:0000+00,9999/09/09 00:00:00+00
1.blmorgcd,ORL05,ORW03
32.effdt,201/10/02 00:00:00+00,2016/10/02 00:00:00+00
3.blmorgcd,ORL05,ORM00
23.y,88.4153580550001,43.4153580550001
14.effdt,9999/0/09 00:00:00+00,9999/09/09 00:00:00+00
11.apprvdt,9999/09/09 00:00:00v+00,9999/09/09 00:00:00+00
11.effdt,9999/09/09 0l0:00:00+00,9999/09/09 00:00:00+00
11.x,-25.874589510000007,-122.87458951
25.x,-77.363993218,-123.363993218
14.y,105.1709221740001,42.1709221740001
14.x,-82.346538761,-120.346538761
