yearvalue(long),statevalue,hai,county,facilityid(long),facilityname,operativeprocedure,procedurecount(long),predictedinfectioncount(double precision),infectioncount(long)
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kings,630012960.0,Adventist Medical Center,Appendix surgery,16,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000122.0,Adventist Medical Center - Selma,Appendix surgery,12,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000002.0,AHMC Anaheim Regional Medical Center,Appendix surgery,6,0.02,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000005.0,Alhambra Hospital Medical Center,Appendix surgery,2,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000425.0,Alta Bates Summit Medical Center,Appendix surgery,2,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000012.0,Alta Bates Summit Medical Center - Alta Bates Campus,Appendix surgery,5,0.02,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000074.0,Anaheim Global Medical Center,Appendix surgery,4,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000008.0,Antelope Valley Hospital,Appendix surgery,73,0.24,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000100.0,Arrowhead Regional Medical Center,Appendix surgery,62,0.31,1
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,40000122.0,Bakersfield Memorial Hospital,Appendix surgery,180,0.61,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Lassen,40000122.0,Banner Lassen Medical Center,Appendix surgery,2,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,40000122.0,Barstow Community Hospital,Appendix surgery,6,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",El Dorado,60000074.0,Barton Memorial Hospital,Appendix surgery,3,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000012.0,Beverly Hospital,Appendix surgery,42,0.11,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Lols Angeles,930000002.0,California Hospital Medical Center - Los Angeles,Appendix surgery,106,0.37,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Francisco,930000012.0,California Pacific Medical Center - California West Campus Hospital,Appendix surgery,80,0.06,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000004.0,Cedars-Sinai Medical Center,Appendix surgery,52,0.2,1
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,140000425.0,Centinela Hospital Medical Center,Appendix surgery,3,0.05,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,40000122.0,Chapman Global Medical Center,Appendix surgery,3,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Almaeda,930000005.0,Children's Hospital & Research Center Oakland,Appendix surgery,196,0.32,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,40000122.0,Children's Hospital at Mission,Appendix surgery,109,0.09,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000034.0,Children's Hospital Los Angeles,Appendix surgery,404,1.45,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000074.0,Children's Hospital of Orange County,Appendix surgery,588,1.72,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,930000008.0,Chino Valley Medical Center,Appendix surgery,52,0.05,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000070.0,Citrus Valley Medical Center - IC Campus,Appendix surgery,4,0.02,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Anglees,930000070.0,Citrus Valley Medical Center - QV Campus,Appendix surgery,140,1.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,140000012.0,Clovis Community Medical Center,Appendix surgery,3,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000005.0,Coast Plaza Hospital,Appendix surgery,4,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000114.0,College Medical Center,Appendix surgery,2,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000082.0,Community Hospital Long Beach,Appendix surgery,2,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000040.0,Community Hospital of Huntington Park,Appendix surgery,4,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000082.0,Community Hospital of San Bernardino,Appendix surgery,76,0.25,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Monterey,240000100.0,Community Hospital of The Monterey Peninsula,Appendix surgery,17,0.06,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Ventura,930000012.0,Community Memorial Hospital - San Buenaventura,Appendix surgery,25,0.08,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Contra Cosat,930000002.0,Contra Costa Regional Medical Center,Appendix surgery,6,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Riverside,930000012.0,Corona Regional Medical Center,Appendix surgery,47,0.04,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Joaquin,30000117.0,Dameron Hospital,Appendix surgery,20,0.03,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,40000122.0,Delano Regional Medical Center,Appendix surgery,1,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Riverside,930000034.0,Desert Regional Medical Center,Appendix surgery,66,0.24,1
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,40000122.0,Desert Valley Hospital,Appendix surgery,3,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Joaquin,930000008.0,Doctors Hospital of Manteca,Appendix surgery,6,0.0,0
