1383.facilityname,Riverside Community Hosiptal,Riverside Community Hospital
1385.county,LosA ngeles,Los Angeles
1276.facilityname,Children's Hospital Lkos Angeles,Children's Hospital Los Angeles
682.county,Madear,Madera
1439.county,San iego,San Diego
352.facilityid,1.40000425E8,630012960
309.facilityid,2.400001E8,110000045
296.facilityid,9.30000114E8,240000024
1130.facilityname,LAC+USC eMdical Center,LAC+USC Medical Center
801.county,Los Angees,Los Angeles
473.county,Santa Clarza,Santa Clara
389.county,Los ngeles,Los Angeles
664.county,Santa lCara,Santa Clara
1209.county,Snta Clara,Santa Clara
1384.facilityname,Riverside University Helth System - Medical Center,Riverside University Health System - Medical Center
1255.county,Laos Angeles,Los Angeles
433.facilityid,6.3001296E8,930000095
751.facilityid,4.0000122E7,40000129
1140.facilityname,Marin Genewral Hospital,Marin General Hospital
401.county,Rverside,Riverside
879.facilityid,1.40000012E8,40000126
62.facilityid,7.0000139E7,930000093
192.county,Huboldt,Humboldt
668.facilityid,6.3001296E8,140000190
336.county,an Bernardino,San Bernardino
591.facilityid,3.0000122E7,930000125
853.county,Kcern,Kern
476.facilityid,9.30000008E8,250000049
349.county,Sacramenrto,Sacramento
783.county,San Bernadrino,San Bernardino
1235.county,Alameeda,Alameda
1294.facilityid,9.30000082E8,630013929
135.facilityid,9.30000082E8,50000009
77.facilityid,9.30000114E8,60000015
155.facilityid,1.40000012E8,930000096
421.facilityid,2.400001E8,630015029
373.county,Kenr,Kern
194.county,Yuoba,Yuba
1193.facilityid,9.30000012E8,80000149
861.facilityname,Oak Valley Hspital District,Oak Valley Hospital District
384.facilityid,1.40000012E8,230000005
1234.county,Los Ageles,Los Angeles
821.facilityid,3.0000122E7,80000144
211.facilityid,1.40000425E8,50000280
937.county,LosA ngeles,Los Angeles
761.county,Los Angees,Los Angeles
399.county,Ls Angeles,Los Angeles
1383.county,Rivesride,Riverside
565.facilityid,4.0000122E7,120000342
1032.facilityid,6.0000002E7,90000154
329.facilityid,1.40000425E8,40000101
558.facilityid,1.40000425E8,30001370
580.facilityid,4.0000122E7,230000014
706.facilityname,Regional edical Center of San Jose,Regional Medical Center of San Jose
1454.facilityname,Memorial Medical Cetner,Memorial Medical Center
1332.county,iverside,Riverside
96.facilityid,3.0000122E7,930000050
976.facilityname,Children's Hosptal & Research Center Oakland,Children's Hospital & Research Center Oakland
1104.facilityid,9.30000008E8,630013929
799.facilityid,2.400001E8,60000058
899.facilityid,9.30000012E8,60000067
380.facilityid,1.40000425E8,90000040
1100.facilityid,1.40000012E8,30000973
532.facilityid,9.30000012E8,930000002
308.facilityid,1.40000012E8,80000023
789.facilityname,Doctors Mdical Center,Doctors Medical Center
601.county,Santa lCara,Santa Clara
496.county,San Luis bispo,San Luis Obispo
1194.county,Sano Diego,San Diego
547.facilityid,6.0000074E7,60000011
1099.facilityid,6.0000002E7,930000072
79.facilityid,6.3001296E8,250000017
643.county,Santa Claar,Santa Clara
709.county,Riversied,Riverside
651.county,Lo Angeles,Los Angeles
1450.county,San Bernarudino,San Bernardino
16.facilityid,9.30000012E8,220000002
1299.facilityid,9.30000082E8,220000008
732.facilityid,9.30000004E8,250000344
1425.county,Ssanta Clara,Santa Clara
362.facilityid,4.0000122E7,930000012
1046.facilityname,Alhamlbra Hospital Medical Center,Alhambra Hospital Medical Center
543.county,Los Angees,Los Angeles
209.facilityid,1.20000409E8,220000007
267.facilityid,9.30000008E8,110000070
572.county,Mercde,Merced
892.facilityid,3.0000117E7,90000016
1413.county,Los Angles,Los Angeles
503.facilityid,9.30000004E8,110000058
1388.facilityname,Santa Moniac - UCLA Medical Center and Orthopaedic Hospital,Santa Monica - UCLA Medical Center and Orthopaedic Hospital
148.facilityname,Barstow Community Hospital,Mercy Hospital of Folsom
910.county,Tlare,Tulare
1331.county,San Diemgo,San Diego
51.county,Butet,Butte
492.facilityname,Adventist Medical Center,Scripps Mercy Hospital Chula Vista
451.county,Lo Angeles,Los Angeles
978.county,Lo sAngeles,Los Angeles
705.facilityname,Redwood MemorialH ospital,Redwood Memorial Hospital
789.county,Sanislaus,Stanislaus
1484.facilityname,Stanford ealth Care,Stanford Health Care
354.county,Oragne,Orange
980.facilityid,9.30000005E8,50000014
1297.county,acramento,Sacramento
1412.county,Osrange,Orange
1159.facilityid,2.40000082E8,230000014
874.county,Yua,Yuba
1317.county,Los Anglees,Los Angeles
1470.county,Oragne,Orange
396.county,Losu Angeles,Los Angeles
904.facilityname,Children's Hospital at Mission,Sutter Auburn Faith Hospital
569.facilityname,Lompoc Valley Medical enter,Lompoc Valley Medical Center
1007.facilityid,9.30000005E8,930000044
1476.county,Lods Angeles,Los Angeles
590.facilityid,9.3000004E8,240000053
1316.county,range,Orange
1300.county,Alamead,Alameda
1347.county,Aalmeda,Alameda
787.facilityid,2.40000082E8,30000117
1119.facilityname,"Kaiser Foundation Hospital, South SanFrancisco","Kaiser Foundation Hospital, South San Francisco"
429.county,Los ngeles,Los Angeles
836.county,Sawn Joaquin,San Joaquin
686.facilityid,6.3001296E8,30000127
602.county,Sacarmento,Sacramento
647.facilityid,1.40000183E8,60000015
551.county,Solno,Solano
997.county,San Dego,San Diego
156.facilityname,Beverly Hospital,Mills-Peninsula Medical Center
949.facilityname,Rady Chilren's Hospital - San Diego,Rady Children's Hospital - San Diego
1490.facilityname,University of California Irvine Meodical Center,University of California Irvine Medical Center
102.facilityid,9.30000012E8,220000008
539.facilityname,Citrus Valley Medical Center - QVk Campus,Citrus Valley Medical Center - QV Campus
445.facilityname,Mercy Medical enter,Mercy Medical Center
684.facilityid,9.3000004E8,30000123
695.facilityid,2.400001E8,70000146
888.facilityid,9.30000002E8,930000049
858.county,fSolano,Solano
625.county,Oarnge,Orange
1175.county,Rievrside,Riverside
793.facilityid,9.30000004E8,250000011
1118.county,Sacramneto,Sacramento
1419.facilityname,Doctors Medical Cetner,Doctors Medical Center
656.facilityid,4.0000122E7,140000188
298.facilityid,6.0000002E7,140000188
577.facilityid,1.40000012E8,70000146
904.facilityid,6.0000074E7,30000109
1137.facilityname,Children's Hospital Los Angeles,Mad River Community Hospital
819.county,Riversikde,Riverside
916.county,Los Angles,Los Angeles
10.facilityid,4.0000122E7,120000338
662.facilityid,2.40000082E8,80000144
842.facilityid,1.40000425E8,930000085
1240.facilityid,4.0000122E7,70000153
942.facilityname,Loma Linda Univegrsity Children's Hospital,Loma Linda University Children's Hospital
353.facilityid,6.3001296E8,40000124
653.facilityid,9.30000012E8,240000024
1373.facilityname,Long Bech Memorial Medical Center,Long Beach Memorial Medical Center
1218.facilityname,Beverly Hospital,Sutter Tracy Community Hospital
1187.facilityid,9.30000002E8,30000135
1396.county,acramento,Sacramento
1474.facilityname,Santa Barbara Cottage Hospitla,Santa Barbara Cottage Hospital
980.county,Venura,Ventura
