18.global_id,cba2f1e9-159a-4dbb-a4ae-9b90e2ed121e,cba2f1e9-159a-4dbb-a4ae-9b90e2ed12e1
132.county,Wayen,Wayne
83.funcstat_one_zero,,S
68.county_one_two,Wwayne,Wayne
5.global_id,fe86e94c-e388j-4121-9763-444ae8e5bf69,fe86e94c-e388-4121-9763-444ae8e5bf69
147.global_id,50947964-6ecd-458b-edc-3a4e7d971d80,50947964-6ecd-458b-bedc-3a4e7d971d80
46.partflg_one_zero_one,,N
66.county,Wyne,Wayne
96.funcstat_one_zero,sS,S
78.funcstat_one_zero,***,S
84.funcstat_one_zero,***,S
93.global_id,786761f7c152-4e6e-843f-7cfafa42d771,786761f7-c152-4e6e-843f-7cfafa42d771
111.county,Wayen,Wayne
117.county,Wane,Wayne
114.global_id,0fbccab9-6f83-488f-98fb-45a800u07361e,0fbccab9-6f83-488f-98fb-45a80007361e
109.partflg_one_zero_one,mN,N
108.global_id,10d4fvfc5-1666-4667-8776-e2093ed438a0,10d4ffc5-1666-4667-8776-e2093ed438a0
53.funcstat_one_zero,,S
20.county_one_two,Wanye,Wayne
26.global_id,02d02d68-69f7-4d9c-a2b5-e65f1fee2cee,02d02d68-697f-4d9c-a2b5-e65f1fee2cee
39.county,Wyne,Wayne
112.county,Wane,Wayne
166.partflg_one_zero_one,***,N
111.global_id,fad72334-x60ac-4536-add5-154e2b75d402,fad72334-60ac-4536-add5-154e2b75d402
87.funcstat_one_zero,***,S
171.partflg_one_zero_one,***,N
95.partflg_one_zero_one,***,N
141.global_id,8397301f-fe7ei-4185-8894-20d10f650a1f,8397301f-fe7e-4185-8894-20d10f650a1f
49.global_id,aeb38470-56ad-4250-80d2-8e3772184af9***,aeb38470-56ad-4250-80d2-8e3772184af9
56.funcstat_one_zero,***,S
30.partflg_one_zero_one,***,N
140.partflg_one_zero_one,,N
66.county_one_two,Wyne,Wayne
15.county,Waye,Wayne
86.county_one_two,Wanye,Wayne
51.county_one_two,Macmb,Macomb
111.county_one_two,Maomb,Macomb
119.global_id,a5250d5c-9f67-44dd-b8e7-e3de859i670e7,a5250d5c-9f67-44dd-b8e7-e3de859670e7
148.partflg_one_zero_one,***,N
37.county_one_two,Ooakland,Oakland
44.county_one_two,Wayen,Wayne
136.county,Wayen,Wayne
77.county_one_two,Oaland,Oakland
41.county_one_two,ayne,Wayne
98.global_id,c388f454-3a28-4869-8408-35f70f25c79f4,c388f454-3a28-4869-8408-35f70f2579f4
89.county_one_two,Oakladn,Oakland
40.partflg_one_zero_one,uN,N
43.funcstat_one_zero,***,S
133.global_id,9a96a1ac-f066-4993-9cdcf-1aeff332532,9a96a1ac-f066-4993-9cdc-f1aeff332532
67.partflg_one_zero_one,,N
136.partflg_one_zero_one,vN,N
159.county,Waynke,Wayne
118.county,Wayen,Wayne
69.county,Wyane,Wayne
141.county_one_two,akland,Oakland
105.global_id,07dc3957-2470-4bfa-b82e-5c83bf7fdb06,07dc3957-2470-4bfa-b82e-5c83fb7fdb06
121.global_id,61501f8e-5c58-4942-8aca-27c8db1ade64,61501fe8-5c58-4942-8aca-27c8db1ade64
171.county_one_two,Wane,Wayne
88.county,Wanye,Wayne
154.county_one_two,Macmb,Macomb
33.partflg_one_zero_one,fN,N
150.county,Waye,Wayne
70.county_one_two,Wanye,Wayne
162.global_id,6dc245e2-4e50-45m5b-a3d9-05c8daf4f8f2,6dc245e2-4e50-455b-a3d9-05c8daf4f8f2
170.partflg_one_zero_one,eN,N
45.partflg_one_zero_one,***,N
30.county,Wanye,Wayne
99.county,Wyane,Wayne
55.funcstat_one_zero,***,S
56.global_id,52557e5c-69cd-4816-afb3b123814e3ea6,52557e5c-69cd-4816-afb3-b123814e3ea6
157.funcstat_one_zero,pS,S
97.county_one_two,Oakand,Oakland
16.global_id,c58ac1df-2605-481c-bea9-cb310b5eceda,c58ac1df-2605-481c-bea9-cb310be5ceda
132.county_one_two,Waynke,Wayne
131.funcstat_one_zero,***,S
34.global_id,d2bcj0e88-4bab-4569-a76d-6d6b45510107,d2bc0e88-4bab-4569-a76d-6d6b45510107
135.funcstat_one_zero,***,S
142.global_id,250dc9ce-bc26-4f6b-8b5ew-a601213e3ebe,250dc9ce-bc26-4f6b-8b5e-a601213e3ebe
163.funcstat_one_zero,,S
75.county,Wayen,Wayne
9.county_one_two,Oaland,Oakland
29.funcstat_one_zero,***,S
152.funcstat_one_zero,,S
141.funcstat_one_zero,iS,S
53.global_id,aa5c010e-0009-4918-876c-117d29823a09,aa5c010e-0009-4918-876c-117d2982a309
169.county,Woayne,Wayne
4.county,Wane,Wayne
166.county,aWyne,Wayne
164.county,Wafyne,Wayne
26.partflg_one_zero_one,kN,N
49.county_one_two,xWayne,Wayne
123.county_one_two,akland,Oakland
135.partflg_one_zero_one,***,N
80.global_id,b7aced94-8d94-479e-b5fa-84f8d672v98c9,b7aced94-8d94-479e-b5fa-84f8d67298c9
98.funcstat_one_zero,,S
158.county,Waynue,Wayne
47.global_id,68e7e47-a307-4350-96a5-b4c4d79b7c3c,d68e7e47-a307-4350-96a5-b4c4d79b7c3c
33.county_one_two,Oakladn,Oakland
140.county,qWayne,Wayne
148.county,Watyne,Wayne
143.global_id,8f4fe533-de51-47fa-9fcd-bdc6ad67edd8f,8f4fe533-de51-47fa-9fcd-bdc6d67edd8f
60.partflg_one_zero_one,oN,N
118.partflg_one_zero_one,***,N
143.funcstat_one_zero,oS,S
157.partflg_one_zero_one,gN,N
93.funcstat_one_zero,yS,S
36.county,aWyne,Wayne
136.global_id,ba3b3bec-8c66-47f8-964-6abc51eb5c315,ba3b3bec-8c66-47f8-9646-abc51eb5c315
83.county,Waynxe,Wayne
62.partflg_one_zero_one,uN,N
32.funcstat_one_zero,,S
55.county_one_two,gMacomb,Macomb
16.partflg_one_zero_one,,N
90.global_id,d6406f3f-74cd-44bc-a818-32d36fbb839,d6406f3f-74cd-44bc-a818-323d36fbb839
52.funcstat_one_zero,***,S
160.funcstat_one_zero,***,S
105.funcstat_one_zero,***,S
159.funcstat_one_zero,mS,S
19.county_one_two,Waytne,Wayne
46.funcstat_one_zero,***,S
139.partflg_one_zero_one,aN,N
168.funcstat_one_zero,***,S
39.global_id,g2c46d041-7ebc-4460-8541-d50dc481cc27,2c46d041-7ebc-4460-8541-d50dc481cc27
18.funcstat_one_zero,zS,S
