HCPCS_Cd,RBCS_ID,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Assignment_Eff_Dt
0001A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,12/11/2020,12/31/9999,01/01/2017
0001M,TL001N,T,Test,TL,General Laboratory,001,Clinical Chemistry,N,01/01/2013,12/31/2018,01/01/2017
0001U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,02/01/2017,12/31/9999,01/01/2014
0001U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,02/01/2017,12/31/9999,01/01/2016
0002A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,12/11/2020,12/31/9999,01/01/2017
0002M,TL001N,T,Test,TL,General Laboratory,001,Clinical Chemistry,N,01/01/2013,12/31/9999,01/01/2017
0002U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,02/01/2017,12/31/9999,01/01/2016
0003A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,08/12/2021,12/31/9999,01/01/2017
0003M,TL001N,T,Test,TL,General Laboratory,001,Clinical Chemistry,N,01/01/2013,12/31/9999,01/01/2017
0003U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,02/01/2017,12/31/9999,01/01/2016
0004A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,09/22/2021,12/31/9999,01/01/2017
0004M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2013,12/31/9999,01/01/2017
0004U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,05/01/2017,12/31/2017,01/01/2016
0004U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,05/01/2017,12/31/2017,01/01/2014
0005U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,05/01/2017,12/31/9999,01/01/2016
0005U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,05/01/2017,12/31/9999,01/01/2014
0006M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2014,12/31/9999,01/01/2017
0006U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,08/01/2017,03/31/2020,01/01/2016
0006U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,08/01/2017,03/31/2020,01/01/2014
0007M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2014,12/31/9999,01/01/2017
0007U,TL005N,T,Test,TL,General Laboratory,005,Drug Tests,N,08/01/2017,12/31/9999,01/01/2017
0008M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2014,12/31/2017,01/01/2016
0008M,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,07/01/2014,12/31/2017,01/01/2015
0008U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,08/01/2017,12/31/9999,01/01/2014
0008U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,08/01/2017,12/31/9999,01/01/2016
0009M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,07/01/2015,12/31/2019,01/01/2017
0009U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,08/01/2017,12/31/9999,01/01/2016
0009U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,08/01/2017,12/31/9999,01/01/2015
00100,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00102,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
00103,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1994,12/31/9999,01/01/2014
00104,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01/01/1989,12/31/9999,01/01/2014
0010U,TM011N,T,Test,TM,Molecular Testing,011,Infectious Agent Detection by DNA/RNA,N,08/01/2017,12/31/9999,01/01/2015
0011A,RI035N,R,Treatment,RI,Injections and Infusions (nononcologic),035,COVID-19 Vaccine Administration,N,12/18/2020,12/31/9999,01/01/2017
0011M,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,01/01/2018,12/31/9999,01/01/2017
0011U,TM000N,T,Test,TM,Molecular Testing,000,No RBCS Family,N,08/01/2017,12/31/9999,01/01/2014
0011U,TM014N,T,Test,TM,Molecular Testing,014,Genetic Analysis,N,08/01/2017,12/31/9999,01/01/2016
