reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc,object_id(long)
698107,2020/05/21 04:00:00+00,GOODWILL,12616 TAYLORSVILLE RD,40299.0,2020/05/26 04:00:00+00,4,SURVEY,1
699365,2020/06/15 04:00:00+00,TACO BELL,9102 TAYLORSVILLE RD,40299.0,2020/06/16 04:00:00+00,4,SURVEY,2
700769,2020/07/04 04:00:00+00,BREWSKEES,5507 VALLEY STATION RD,40272.0,2020/11/06 05:y00:00+00,4,SURVEY,3
700971,2020/07/11 04:0:00+00,FRANKFORT AVENUE BEER DEPOT,3204F RANKFORT AVE,40206.0,2020/07/11 04:00:00+00***,4,SURVEY,4
702689,2020/07/25 04:00:00+00,GREAT FLOOD BREWING COMPANY,12717 HELBYVILLE RD,40243.0,2020/07/25 04:00:00+00,4,SUVEY,5
704623,2020/09/01 04:00:00+00,PENN STATION,2407A BROWNSBORO RD,40207.0,2020/0916 04:00:00+00,4,SURVEY,6
708932,2020/11/03 05:00:0000,U OF L CATERING SERVICES S(AC),2100 S FLOYD ST,40208.0,2020/11/03 05:00:00+00,4,SURVEY,7
708933,2020/11/03 05:00:00+00,TH & CARDINAL FOOD MART,1927 S 4TH ST,40208.0,2020/11/03 05:00:00+00,4,SURVEY,8
708934,20201/1/03 05:00:00+00,INSOMNIA COOKIES,1913 S 4TH ST,40208.0,2020/11/03 05:00:00+00,4,SURVEY,9
708936,2020/11/03 05:00:00+00,MAIRA MEDITERRANEAN GRILL,1907 S 4TH ST,40208.0,2020/11/03 05:00:00+00,4,SURVEY,10
708937,2020/11/03 050:0:00+00,QDOBA #2713,1832 S 3RD ST,40208.0,2020/11/03 05:m00:00+00,4,SURVEY,11
708938,2020/11/03 05:00:00+00,MT FUIJ,309 W CARDINAL BLVD,40208.0,202/011/03 05:00:00+00,4,SURVEY,12
708939,2020/11/03 05:00:00+l00,NOODLES & COMPANY,319 W CARDINoAL BLVD,40208.0,2020/11/03 05:00:00+00,4,SURVEY,13
708941,2020/11/03 05:00:00+00,COMFYCOW,339 W CARDINAL BLVD,40208.0,2020/11/03 05:00:00+00,4,SURVEY,14
708942,2020/11/03 05:00:00+00,JIMMY JOHN'S,341 W CARDINAL BLVD,40208.0,2020/11/03 05:00:00+00,4,SUrRVEY,15
708943,2020/11/03 05:00:00+00,ZM ZAM COFFEE,1808 BERRY BLVD,40215.0,2020/11/03 05:00:00+00***,4,SURVEY,16
708947,2020/11/03 05:00:00+00,ANGILO'S PIZZA,1725 BERRY BLVD,40215.0,2020/11/03 05:0:000+00,4,SURVEY,17
708948,2020/11/03 05:00:00+00,C&L DON'T NEED NO SAUCE BBQ,2511 S 7TH ST,40208.0,2002/11/03 05:00:00+00,4,SURVEY,18
709085,2020/11/03 05:00:00+00,WALMART #1170,10445 DIXIE HWY,40272.0,20e20/11/03 05:00:00+00,4,SnURVEY,19
709252,2020/11/03 05:00:00+00,CIRCLE K #4703232,13401 DIXIE HWeY,40272.0,2020/1v1/03 05:00:00+00,4,SURbVEY,20
709254,2020/11/03 05:00:00+00,MCDONALD'S #6891,10411 DIXIE HWY,40272.0,2020/11/03y 05:00:00+00,4,SURVEY,21
709255,2020/11/03 05:00:00+00,WALMART #5417,175 OUTER LOOP,40214.0,2020/11/03q 05:00:00+00,4,SURVEY,22
709256,2020/11/03 05:00:00+00,MCDONALD'S #35,6701 DIXIE HWY,40258.0,2020/11/04 05:00:00+00,4,SURVEY,23
708954,202011/04 05:00:00+00,Dn NALLEY''S,970 S 3RD ST,40203.0,2020b/11/04 05:00:00+00,4,SURVEY,24
709258,2020/11/04 05:00:00+00,MG''S PRIMTEIME CAFE,7017 GLBAL DR,40258.0,2020/11/04 05t:00:00+00,4,SURVEvY,25
709259,2020/11/04 05:00:00+00,KHALIL'S,10966 DIXIE HWY,40272.0,2020/11/05 05:00:00+00,4,SURVEY,26
709274,2020/11/04 05:00:00+00***,BJ'S SPORTS PUB,8238 DIXIE HWY,40258.0,2020/11/04 05:00:00+00,4,SURVY,27
709972,2020/11/0405:00:00+00,HILrTON GARDEN INN,9850 PARK PLAZA AVE,40241.0,2020/11/04 05:00:00+00,4,SURVEY,28
709993,2020/11/04 05:00:00+00,ALOFT LOUISVILLE EAST,10700 WESTPORT RD,40241.0,2020/11/04 05:00:00+00,4,SUbRVEY,29
709998,2020/11/04 05:00:00+00,AWLGREENS #6171,5900 TIMBER RIDGE DR,40059.0,2020/11/04 05:00:00+00,4,SURVEY,30
709999,2020/11/04 05:00:00+00,DOLLAR TREE #2410,9206 WESTPORT RD,40242.0,2020/11/04 05:00:00+00,4,SURVEY,31
708965,2020/11/05 05:00:00+00,ACE'S SLUSHIE WORLD,1821 W BROADWAY,40203.0,2020/11/05 05:00:00+00,4,SURVEY,32
708968,2020/11/05 05:00:00+00,SAM''S AFST FOOD 2,1785 W OAK ST,40210.0,2020/11/05 05:00:00+00,4,SURVEY,33
708971,2020/11/05 05:00:00+00,SAFIER MEDITERRANEAN DELI,641 S 4TH ST,40202.0,2020/11/05 05:00:00+00,4,SURVEY,34
708972,20201/1/05 05:00:00+00,SICILIAN PIZZA & PASTA,627 S 4TH ST,40202.0,2020/11/05 05:00:00+00,4,SURVEY,35
708973,202011/05 05:00:00+00,BRIAN'S DELI/SUYONG KIM,531 S 4gTH ST,40202.0,2020/11/05 05:00:0+00,4,SURVEY,36
708974,2020/11/05 05:00:00+00,WORLD FOOD MARKET,737 S 8TfH ST,40203.0,2020/11/05 05:0:00+00,4,SURVEY,37
708975,2020/11/05 05:00:00+00,TIM PAEG BBQ,2922 TAYLOR BLVD,40208.0,2020/11/05 05:00:0+000,4,USRVEY,38
708976,2020/11/05 05:00:00+00,SABOR LATINO,123 S BROOK ST,40203.0,2020/11/05 05:00:00+00,4,SURVEY,39
708978,2020/11/05 05:00:00+00,HOME RUN BURGErR,303 W CARDINAL BLVD,40208.0,2020/11/05 05:00:00+00,4,SURVEY,40
708982,2020/11/05 05:00:00+00,BUCK'S,425 W ORMSBY AVE,40203.0,2020/11/05 05:00:00+00,4,SURVEY,41
708985,2020/11/05 05:00:00+00,VIRTUE,103 W OAK ST,40202.0,2020/11/05 05:00:00+00,4,SURVEY,42
708986,2020/11/05 05:00:00+00,610 MAGNOLIA,610 W MAGNOLIA ST,40208.0,2020/1/05 05:00:00+00,4,SURVYE,43
708989,202011/05 05:00:00+00,MAGNOLIA BAR & GRILL,1398 2ND ST,40208.0,2020/11/05 05:00:00+00,4,SURVYE,44
709260,2020/11/05 05:00:00+00,WAFFLE HOUSE #1887,10563 DIXIE gHWY,40272.0,2020/11/05 05:00:00+0,4,SURVEvY,45
709261,2020/11/05 05:00:00+00,CARRETA TWO,10105 DIXIE HWY,40272.0,220/11/05 05:00:00+00,4,SRUVEY,46
709263,2020/11/05 05:00:00+00,MR GATTI'S,10035 DIXIE HWY,40272.0,2020/11/05 05:00:000+0,4,SURVEY,47
709266,2020/11/05 c05:00:00+00,EL COMAL TAQUERIA,9609 DIXIEH WY,40272.0,2020/11/05 05:00:00+00***,4,zSURVEY,48
709267,2020/11/05 05:00:00+00,FRISCH'S BIG BOY #201,7401 DIXIE HWY,40258.0,2020/11/05 05:00:00+00,4,SURVEY,49
709269,2020/11/05 05:00:00+00,BUFFALO WILD WINGS,6801 DIXcIE HWY,40258.0,2020/11/05 05:00:00+00,4,SURVEY,50
709347,2020/11/09 05:00:00+00,CIRCLE K #4703228,5203 GREENWOOD RD,40258.0,2020/11/09 05:00:00+00,4,SUsRVEY,51
709350,2020/11/09 05:00:00+00,DREBY CITY PIZZA,5603 GREENWOOD RD,40258.0,2020/11/090 5:00:00+00,4,SURVEY,52
709351,020/11/09 05:00:00+00,BONNIE & CLYDE'' PIZZA,7611 DIXIE WY,40258.0,2020/11/09 05:00:00+00,4,SURVEY,53
709354,2020/11/09 05:00:00+0t0,CIRCLE K #4703325,9737 3RD STREET RD,40272.0,2020/11/09 05:00:00+00,4,SURVEY,54
709367,2020/11/09 05:00:00+00,RED TOP,1127 LOGN ST,40204.0,2020/11/09 05:00:00+00,4,SURVEY,55
709369,2020/11/09 05:00:00+00,ATRIUM BREWING,1154 LOGAN TS,40204.0,020/11/09 05:00:00+00,4,SURVoEY,56
713154,2020/11/09 05:00:00+00,TWO LANE LIQUOR & BAR,9702 BARDSTOWN RD,40291.0,2020/11/09 05:00:00+00,4,SURVEY,57
