Citing Patent,Filing date,Publication date,Applicant,Title
US5870767 *,22 Nov 1996,9 Feb 1999,International Business Machines Corporation,Method and system for rendering hyper-link information in a printable medium from a graphical user interface
US5902353 *,10 Jul 1997,11 May 1999,"Motorola, Inc.","Method, system, and article of manufacture for navigating to a resource in an electronic network"
US5938726 *,17 Oct 1996,17 Aug 1999,"Motorola, Inc.",Apparatus for reading an electronic network navigation device and a peripheral for use therewith
US5963950 *,26 Jun 1996,5 Oct 1999,"Sun Microsystems, Inc.",Method and system for facilitating access to selectable elements on a graphical user interface
US5963964 *,5 Apr 1996,5 Oct 1999,"Sun Microsystems, Inc.","Method, apparatus and program product for updating visual bookmarks"
US5974124 *,21 Jan 1997,26 Oct 1999,Med Graph,Method and system aiding medical diagnosis and treatment
US5995105 *,4 Oct 1996,30 Nov 1999,"Motorola, Inc.",Methods and systems for providing a resource in an electronic network
US6108444 *,29 Sep 1997,22 Aug 2000,Xerox Corporation,Method of grouping handwritten word segments in handwritten document images
US6122351 *,8 Sep 1999,19 Sep 2000,"Med Graph, Inc.",Method and system aiding medical diagnosis and treatment
US6125383 *,11 Jun 1997,26 Sep 2000,Netgenics Corp.,Research system using multi-platform object oriented program language for providing objects at runtime for creating and manipulating biological or chemical data
US6199071 *,1 Apr 1997,6 Mar 2001,"Sun Microsystems, Inc.",Method and apparatus for archiving hypertext documents
US6249765,22 Dec 1998,19 Jun 2001,Xerox Corporation,System and method for extracting data from audio messages
US6285776,15 Apr 1999,4 Sep 2001,Digimarc Corporation,Methods for identifying equipment used in counterfeiting
US6321991,22 Feb 1999,27 Nov 2001,"Metrologic Instruments, Inc.",Web-based television system and method for enabling a viewer to access and display HTML-encoded documents located on the World Wide Web (WWW) by reading bar code symbols printed in a WWW-site guide using a wireless bar-code driven remote control device
US6332039 *,27 Mar 1998,18 Dec 2001,"Matsushita Graphic Communication Systems, Inc.",Structured document preparation apparatus and structured document preparation method
US6342901,22 Dec 1998,29 Jan 2002,Xerox Corporation,Interactive device for displaying information from multiple sources
US6345104,31 Jul 1998,5 Feb 2002,Digimarc Corporation,Digital watermarks and methods for security documents
US6345764,7 Jan 1999,12 Feb 2002,"Metrologic Instruments, Inc.",Hand-held WWW access device with GUI-based www browser program integrated with bar code symbol reader for automatically accessing and displaying HTML-encoded documents by reading bar code symbols
US6348970 *,29 Apr 1998,19 Feb 2002,"Qwest Communications Int'l., Inc.",Apparatus and method for interfacing a computer network to a facsimile machine
US6356923 *,21 Jul 1998,12 Mar 2002,"Ricoh Company, Ltd.",Document information management system
US6374259,30 Dec 1998,16 Apr 2002,"Onepin, Llc",Method and apparatus for storing and retreiving business contact information in computer system
US6375078,13 Jan 1999,23 Apr 2002,"Metrologic Instruments, Inc.",Universal transaction machine for carrying out information-related transactions using html-encoded documents embodying transaction-enabling java-applets automatically launched and executed in response to reading code symbols
US6386453,24 Nov 1997,14 May 2002,"Metrologic Instruments, Inc.",System and method for carrying out information-related transactions
US6396951,23 Dec 1998,28 May 2002,Xerox Corporation,Document-based query data for information retrieval
US6427020,15 Apr 1999,30 Jul 2002,Digimarc Corporation,Methods and devices for recognizing banknotes and responding accordingly
US6464139,14 Sep 2000,15 Oct 2002,"Metrologic Instruments, Inc.",Wireless hand-supportable internet-enabled access terminal for enabling information-related transactions over the internet
US6502614,23 May 2000,7 Jan 2003,Silverbrook Research Pty Ltd,Printed media transverse binder
US6505776,12 Sep 2000,14 Jan 2003,"Metrologic Instruments, Inc.","System for storing, accessing and displaying html-encoded documents relating to an object being worked upon in a work environment by a human operator wearing a wireless http-enabled client system equipped with a code symbol reader programmed to read a url-encoded symbol on the object, access said html-encoded documents from http-enabled information servers connected to an information network, and display same for review while working said object"
US6510997,15 Jan 1999,28 Jan 2003,"Metrologic Instruments, Inc.",Hand-supportable bar code symbol reading device having an integrated world wide web (www) browser command generator for automatically generating www browser program commands to initiate the execution of hyper-text transmission protocol (http) requests
US6537324 *,13 Feb 1998,25 Mar 2003,"Ricoh Company, Ltd.",Generating and storing a link correlation table in hypertext documents at the time of storage
US6546151 *,20 Jan 1999,8 Apr 2003,"Matsushita Electric Industrial Co., Ltd",Information processing apparatus and information equipment using the information processing apparatus
US6549935,23 May 2000,15 Apr 2003,Silverbrook Research Pty Ltd,Method of distributing documents having common components to a plurality of destinations
US6583888 *,26 Feb 1999,24 Jun 2003,Xerox Corporation,System for managing service access in a multifunctional printing system
US6587895,3 Aug 1999,1 Jul 2003,Xerox Corporation,Method for accepting a freeform input containing message with time reference thereupon providing an alert message according to the time reference
US6622917,18 Feb 2000,23 Sep 2003,"Metrologic Instruments, Inc.",System and method for composing sets of URL-encoded bar code symbols while using an internet browser program
US6622919,24 Nov 1997,23 Sep 2003,"Metrologic Instruments, Inc.",System and method for accessing internet-based information resources by scanning Java-Applet encoded bar code symbols
US6622999,23 May 2000,23 Sep 2003,Silverbrook Research Pty Ltd,Printed media binder
US6627870,20 Oct 2000,30 Sep 2003,Silverbrook Research Pty Ltd,Sensing device with interchangeable nibs
US6631357,25 Jun 1999,7 Oct 2003,"Ipf, Inc.",Method of and system for finding consumer product related information on the internet using automatic registration solicitation techniques to help create upn/tm/pd/url data links stored in an internet-based relational database server
US6644642,23 May 2000,11 Nov 2003,Silverbrook Research Pty Ltd,Printed media parallel binder
US6654768,16 Apr 2002,25 Nov 2003,"Onepin, Llc",Method and apparatus for storing and retrieving business contact information in a computer system
US6669385,23 May 2000,30 Dec 2003,Silverbrook Research Pty Ltd,Printer having a document transfer device
US6671684 *,1 Sep 2000,30 Dec 2003,"Ricoh Co., Ltd.",Method and apparatus for simultaneous highlighting of a physical version of a document and an electronic version of a document
US6675356 *,22 Dec 1998,6 Jan 2004,Xerox Corporation,Distributed document-based calendaring system
US6678499,30 Jun 2000,13 Jan 2004,Silverbrook Research Pty Ltd,Method and system for examinations
US6681045,23 May 2000,20 Jan 2004,Silverbrook Research Pty Ltd,Method and system for note taking
US6694043,8 Apr 2002,17 Feb 2004,Digimarc Corporation,Method of monitoring print data for text associated with a hyperlink
US6720985,15 Sep 2000,13 Apr 2004,Silverbrook Research Pty Ltd,Method and system for object selection
US6724374,20 Oct 2000,20 Apr 2004,Silverbrook Research Pty Ltd,Sensing device for coded electronic ink surface
US6727996,23 May 2000,27 Apr 2004,Silverbrook Research Pty Ltd,Interactive printer
US6728000,23 May 2000,27 Apr 2004,Silverbrook Research Pty Ltd,Method and system for printing a document
US6737591,23 May 2000,18 May 2004,Silverbrook Research Pty Ltd,Orientation sensing device
US6741871,25 Nov 2000,25 May 2004,Silverbrook Research Pty Ltd,Mobile phone with interactive printer
US6766942,30 Jun 2000,27 Jul 2004,Silverbrook Research Pty Ltd,Method and system for collaborative document markup
US6771796,3 Jul 2001,3 Aug 2004,Digimarc Corporation,Methods for identifying equipment used in counterfeiting
US6788293,25 Nov 2000,7 Sep 2004,Silverbrook Research Pty Ltd,Viewer with code sensor
US6788982,25 Nov 2000,7 Sep 2004,Silverbrook Research Pty. Ltd.,Audio player with code sensor
US6789191,23 May 2000,7 Sep 2004,Silverbrook Research Pty Ltd,Interactive device network registration protocol
US6789194,23 May 2000,7 Sep 2004,Silverbrook Research Pty Ltd,Network publishing authorization protocol
US6792165,25 Nov 2000,14 Sep 2004,Silverbrook Research Pty Ltd,Sensing device
US6813039,23 May 2000,2 Nov 2004,Silverbrook Research Pty Ltd,Method and system for accessing the internet
US6813558,20 Oct 2000,2 Nov 2004,Silverbrook Research Pty Ltd,Method and system for route planning
US6816274,23 May 2000,9 Nov 2004,Silverbrook Research Pty Ltd,Method and system for composition and delivery of electronic mail
US6822639,23 May 2000,23 Nov 2004,Silverbrook Research Pty Ltd,System for data transfer
US6823341 *,6 Dec 1999,23 Nov 2004,International Business Machines Corporation,"Method, system and program for providing indexed web page contents to a search engine database"
US6824044,30 Jun 2000,30 Nov 2004,Silverbrook Research Pty Ltd,Method and system for obtaining a video-related document
US6825945,23 May 2000,30 Nov 2004,Silverbrook Research Pty Ltd,Method and system for delivery of a brochure
US6827273,17 Apr 2002,7 Dec 2004,"Metrologic Instruments, Inc.",Mobile bar code driven information access terminal for remotely accessing package delivery instructions from an internet information server
US6829387,12 Nov 2002,7 Dec 2004,Silverbrook Research Pty Ltd,Method and system for note taking using processing sensor
US6830196,23 May 2000,14 Dec 2004,Silverbrook Research Pty Ltd,Identity-coded surface region
US6832717,23 May 2000,21 Dec 2004,Silverbrook Research Pty Ltd,Computer system interface surface
US6847883,20 Oct 2000,25 Jan 2005,Silverbrook Research Pty Ltd,Method and system for map and globe navigation
US6854008 *,24 Oct 2000,8 Feb 2005,Canon Kabushiki Kaisha,Automatically uploading and organizing documents in a document server
US6870966,23 May 2000,22 Mar 2005,Silverbrook Research Pty Ltd,Sensing device
US6880124 *,4 Jun 1999,12 Apr 2005,"Hewlett-Packard Development Company, L.P.","Methods of storing and retrieving information, and methods of document retrieval"
US6889896,26 May 2004,10 May 2005,Silverbrook Research Pty Ltd,Computer system for collaborative document markup
US6900819,16 Sep 2002,31 May 2005,"Fuji Xerox Co., Ltd.",Systems and methods for automatic emphasis of freeform annotations
US6903838 *,20 Dec 1999,7 Jun 2005,"Hewlett-Packard Development Company, L.P.",Automatically specifying address where document is to be sent
US6914593,12 Nov 2002,5 Jul 2005,Silverbrook Research Pty Ltd,Computer system control with user data via interface surface and processing sensor
US6922779,30 Jun 2000,26 Jul 2005,Silverbrook Research Pty Ltd,Method and system for sensing device registration
US6927871,25 Nov 2000,9 Aug 2005,Silverbrook Research Pty Ltd,Apparatus for interaction with a network computer system
