yearvalue(long),statevalue,hai,county,facilityid(long),facilityname,operativeprocedure,procedurecount(long),predictedinfectioncount(double precision),infectioncount(long)
1673,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kings,630012960,Adventist Medical Center,Appecndix surgery,16,0.01,0
2016,Californai,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresnho,40000122,Adventist MedicalCenter - Selma,Appendix surgery,12,0.01,0
1705,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",range,60000002,AHMC Anaheim Regional Medical Center,pApendix surgery,6,0.02,0
2562,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000005,Alhambra Hospital Medical Center,Appendix surgry,2,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000425,Alta Bates SummitM edical Center,Appendix surgery,2,0.01,0
2016,California,"Healthcare Associated Infection, Srgical Site Infections (SSI)",Alameda,140000012,Alta Bates Summit Medical Center - Alt Bates Campus,Appendix sumrgery,5,0.02,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000074,Anaheim Global Medical Center,Appendix suregry,4,0.0,0
1857,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000008,AntelopeV alley Hospital,Apendix surgery,73,0.24,0
2016,Californai,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San hBernardino,240000100,Arrowhead Regional Medical Cenetr,Appendix surgery,62,0.31,1
2016,California,"Healtcare Associated Infection, Surgical Site Infections (SSI)",Kern,120000338,Bakersfield wMemorial Hospital,Appendix surgery,180,0.61,0
1523,Calfornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Lassen,230000008,Banner Lassen Medical Center,Appendix surgery,2,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000001,Barstow Community Hospital,Appendix surgery,6,0.01,0
2538,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",El orado,30000114,Barton Memorial Hospital,Appendix surgery,3,0.01,0
2016,Caliornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000012,Bveerly Hospital,Appendix surgery,42,0.11,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000002,California Hospital Medical Center - Los Angeles,Appendix surgery,106,0.37,0
1783,California,"Healthcare Associated Infetion, Surgical Site Infections (SSI)",SanFrancisco,220000002,California Pacific Medical Center - California West Campus Hospital,Appendix surgery,80,0.06,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000004,Cedars-Sinai Medical Center,Appendix surgcery,52,0.2,1
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000022,Centinela Hospital Medical Center,Appendix surgery,3,0.05,0
2016,California,"Healthcare Associated Infection, Surgical Site Infetions (SSI)",Orange,60000006,Chapman Global Medical Center,Appendix surgery,3,0.0,0
2016,Cyalifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alamda,140000014,Children's Hospital & Research Center Oakland,Appendix surgery,196,0.32,0
2016,Califoria,"Healthcare Associated Infection, Surgical Site Infections (SS)I",Orane,60001207,Cihldren''s Hospital at Mission,Appendix surgey,109,0.09,0
2016,California,"Healthcare Associated Infection, Surgical SiteI nfections (SSI)",Los Angweles,930000034,Children's Hospital Los Angeles,Appendix surgery,404,1.45,0
2016,Claifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Oraneg,60000007,Children''s Hospital of Orange ounty,Apepndix surgery,588,1.72,0
2183,California,"Heathcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000003,Chino Valley Medical Center,Appendix surgery,52,0.05,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000070,Citrs Valley Medical Center - IC Campus,Appendix surgery,4,0.02,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000132,Citrus Valley Medical Center - QV Campus,Appendix suregry,140,1.01,0
1122,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000095,Clovis Community Medica Center,Appendix surgery,3,0.01,0
