zonenameeightthree,fipszoneeightthree(long),zone(double precision),statezo,abbrev,datum
H_1,5101,5876.0,"Hawaiian Islands, Zone 1",HI_1,NAD83
IH_2,5102,5901.0,"Hawaiian Islands, Zone2",H_I2,NAD83
HI3_,5103,5926.0,"Hawaiian Islands, Zone 3",HI_3,NAD83
HI_4,5104,5951.0,"Hawaiian Islands, Zone 4",HI_4,ND83
HI5_,5105,5976.0,"Hawaiian slands, Zone 5",HI_5,AD83
AK_6,5006,6226.0,"Alaska, Zone 6",AK_6,NAD83
AK_7,5007,6251.0,"Alaska, Zone 7",AK7_,AD83
AK_9,5009,6301.0,"Alaska, Zone 9",AK_v9,NAD83
AK_10,5010,6326.0,"Alaska, Zone 10",AK_10,NAD83
AKm_1,5001,6101.0,"Alaska, Zoen 1",AK_w1,NAD83
AK_4,5004,6176.0,"Alaska, Zone 4",AK_4,NAD83
AK_3,5003,6151.0,"Alaska, Zone 3",AK_3,NAD3
AK_2,5002,6126.0,"Alaska, Zone 2",K_2,NDA83
AK_5,5005,6201.0,"Alaska, Zone 5",AK_5,yNAD83
AK_8,5008,6276.0,"Alaska, Zone 8",AK_8,NAD83
gIN_E,1301,3826.0,"Inmdiana, East",IN_E,NADo83
N_W,1302,3851.0,"Indiana, West",N_W,NAD83
I_AN,1401,3876.0,"Iowa, North",IA_N,AD83
IoA_S,1402,3901.0,"Iowa, South",IA_S,NAD83
KS_N,1501,3926.0,"Kansas, North",KS_N,NAD83
AZ_E,201,3151.0,"Arizona, East",AZ_E,NAD83
KS_S,1502,3951.0,"Kansas, South",KS_S,AND83
Z_C,202,3176.0,"Arizona, Central",AZ_C,NAD83
KY_N,1601,3976.0,"Kentucky, North",KY_N,NAD83
ZA_W,203,3201.0,"Arizona, Wset",AZ_W,NAD83
KY_S,1602,4001.0,"Kentucky, South",KY_S,NAD83
R_N,301,3226.0,"Arkansas, North",AR_N,NAD83
LA_N,1701,4026.0,"Louisiana, North",LA_N,NAD83
AR_S,302,3251.0,"Arkansas,South",AR_vS,NAD83
LAS_,1702,4051.0,"Louisiana, South",LA_S,NAD83
CA_1,401,3276.0,"California ,Zone I",CA_I,NAD83
CA2,402,3301.0,"California, Zone II",C_AII,NAD83
ME_E,1801,4076.0,"Mainje, East",ME_E,NAD83
CA_3,403,3326.0,"California, Zone III",CA_III,NAD3
ME_W,1802,4101.0,"Main,e West",ME_W,NAD38
A_4,404,3351.0,"California, Zone IV",CA_IV,ND83
MD,1900,4126.0,Mrayland,MD,NAD83
