114.namevalue,Holbrook oPnd (Hebron),Holbrook Pond (Hebron)
176.id_three_zero_five_b,CT6914-09-1-L2_e01,CT6914-09-1-L2_01
112.namevalue,Mill Pond (Newnigton),Mill Pond (Newington)
113.fishconsumption,Fully Shupporting,Fully Supporting
16.recreation,Notk Supporting,Not Supporting
148.recreation,Not Supoprting,Not Supporting
118.drinkingwatersupply,Watery Not Classified For Drinking Supply,Water Not Classified For Drinking Supply
12.namevalue,"Whitney, ake (Hamden)","Whitney, Lake (Hamden)"
20.locationvalue,Straddlse Ashford - Union line and is split by Rte 84.,Straddles Ashford - Union line and is split by Rte 84.
124.locationvalue,"South of Randolph Road, Middlhetown.","South of Randolph Road, Middletown."
142.drinkingwatersupply,Water Not Classified oFr Drinking Supply,Water Not Classified For Drinking Supply
61.locationvalue,"From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Soutbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah)."
97.drinkingwatersupply,Water Not Classified Fo rDrinking Supply,Water Not Classified For Drinking Supply
162.aquaticlife,Not Ahssessed,Not Assessed
11.fishconsumption,Fully Shupporting,Fully Supporting
169.drinkingwatersupply,No Assessed,Not Assessed
29.recreation,Fully Supporlting,Fully Supporting
35.recreation,Fully Suqpporting,Fully Supporting
89.fishconsumption,Fully Supproting,Fully Supporting
57.recreation,Fully Supproting,Fully Supporting
143.aquaticlife,oNt Assessed,Not Assessed
56.fishconsumption,Fully Supportiyng,Fully Supporting
75.aquaticlife,Fully Supportig,Fully Supporting
36.fishconsumption,Flly Supporting,Fully Supporting
129.aquaticlife,Full Supporting,Fully Supporting
165.id_three_zero_five_b,CT6301-0-1-L1_01,CT6301-08-1-L1_01
144.drinkingwatersupply,Watre Not Classified For Drinking Supply,Water Not Classified For Drinking Supply
56.namevalue,Anderson Pond (North Stonzington),Anderson Pond (North Stonington)
42.fishconsumption,Fully Supporting***,Fully Supporting
1.locationvalue,"Just upstream of Yellow Mill Channel, US side of RailRoad cossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)","Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)"
17.fishconsumption,Fully Supporitng,Fully Supporting
137.fishconsumption,Not upporting,Not Supporting
55.aquaticlife,Fuwlly Supporting,Fully Supporting
154.id_three_zero_five_b,C3T805-00-3-L5_01,CT3805-00-3-L5_01
112.locationvalue,Municipal park in Newington;  of Rt 175 near intersection of Rts 175 and 176,Municipal park in Newington; S of Rt 175 near intersection of Rts 175 and 176
103.aquaticlife,Fully Suppoxrting,Fully Supporting
50.namevalue,Fitchville Pond (Bozarh),Fitchville Pond (Bozrah)
168.fishconsumption,Not Asisessed,Not Assessed
94.locationvalue,Central Nwetown.,Central Newtown.
114.recreation,Not Asscessed,Not Assessed
90.drinkingwatersupply,Water Not Classified For Drinking kSupply,Water Not Classified For Drinking Supply
110.recreation,Not Supporting***,Not Supporting
180.id_three_zero_five_b,CT400-00-4-L2_01,CT4200-00-4-L2_01
104.id_three_zero_five_b,CT4500-001--L1_01,CT4500-00-1-L1_01
87.namevalue,Long MeadowP ond (Bethlehem/Morris),Long Meadow Pond (Bethlehem/Morris)
130.namevalue,Pattaconk Reservouir (Chester),Pattaconk Reservoir (Chester)
4.namevalue,"Forest, Lake (Brigeport)","Forest, Lake (Bridgeport)"
72.namevalue,Mudge Pond (Sharn),Mudge Pond (Sharon)
102.aquaticlife,Fully Supportign,Fully Supporting
130.locationvalue,"1.25 miles north of Rt c148, Cockaponset State Forest, Chester.","1.25 miles north of Rt 148, Cockaponset State Forest, Chester."
77.fishconsumption,Fully Supportng,Fully Supporting
171.drinkingwatersupply,ot Assessed,Not Assessed
13.id_three_zero_five_b,CT5105-00-2L2_01,CT5105-00-2-L2_01
125.id_three_zero_five_b,CT4g607-10-1-L1_01,CT4607-10-1-L1_01
135.aquaticlife,Fulily Supporting,Fully Supporting
46.fishconsumption,Fully Suporting,Fully Supporting
84.fishconsumption,FullySupporting,Fully Supporting
70.aquaticlife,Fluly Supporting,Fully Supporting
12.fishconsumption,Fully Suporting,Fully Supporting
139.drinkingwatersupply,Water Not Classiied For Drinking Supply,Water Not Classified For Drinking Supply
163.drinkingwatersupply,ot Assessed,Not Assessed
59.aquaticlife,Fullye Supporting,Fully Supporting
132.id_three_zero_five_b,CT48001-0-1-L1_01,CT4800-10-1-L1_01
81.locationvalue,Litchfield Morris,"Litchfield, Morris"
96.locationvalue,"From Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (divisiozn of lower Lake Zoar and upper Lake Housatonic) Oxford/Monroe. First major impoundment of Housatonic River.","From Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division of lower Lake Zoar and upper Lake Housatonic) Oxford/Monroe. First major impoundment of Housatonic River."
176.locationvalue,"Near western border of Wolcott, north side of Lyman Road, west of Rouyte 69.","Near western border of Wolcott, north side of Lyman Road, west of Route 69."
73.aquaticlife,Fully upporting,Fully Supporting
9.drinkingwatersupply,Water Not Classified Fo Drinking Supply,Water Not Classified For Drinking Supply
180.fishconsumption,Nto Assessed,Not Assessed
50.locationvalue,"Split by Rte 2 in Bozrah, impoundment f Yantic River.","Split by Rte 2 in Bozrah, impoundment of Yantic River."
34.namevalue,Roseland Laket (Woodstock),Roseland Lake (Woodstock)
154.recreation,Not Asesssed,Not Assessed
107.fishconsumption,Feully Supporting,Fully Supporting
122.id_three_zero_five_b,CT4710-06q-1-L1_01,CT4710-06-1-L1_01
181.fishconsumption,Not Aissessed,Not Assessed
83.recreation,Not Astsessed,Not Assessed
179.id_three_zero_five_b,CT2107-00-1-L1_10,CT2107-00-1-L1_01
