x(double precision),y(double precision),objectid(long),precinctname,pollingid(double precision),namevalue,fulladd,operhours,handicap,nextelect,regdate,contact,phone,email,indist,bldgtype,scalevalue(double precision),regelectinfo,createduser,createddate,lastediteduser,lastediteddate,city,statevalue
12141437.0265617,3427053.4933849,1057,CAVP,1.0,Voter eRgistrar Office,411 Cedar Rd,8:00 a.m. to 5:00 p.m. M-F during Absentee Volting,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,City,500.0,http://tinyurl.com/mbc8uqj,COC,2019/03/70 19:40:57+00,PTRIMBLE,2023/08/03 20:02:20+00,Chesapeake,VA
12132415.5511266,3428809.57192454,1059,Bridgetown,37.0,The Mount,215 Las Gaviotas Blvd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,wNO,Church,1000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:13+00,Chesapeake,VA
12146232.136357,3426580.56971361,1060,Poplra Branch,63.0,Great Bridge Middle School,441 Battlefield Blvd S,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16r 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityfchesapeake.net,NO,City,1000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:50+00,Chesapeake,fVA
12157982.1210772,3423528.05746406,1061,Fentress,62.0,Centerville AME hurch,1116 Fentress Rd,6:00 a.m. to 7:0q0 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YSE,Church,500.0,http:/f/tinyurl.com/mbc8uqj,CCO,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:0e2:30+00,Chesapeake,VA
12161702.220397,3421588.20988189,1062,Centerville,61.0,Centerville Baptist Churche,914 Cetnerville Tpke S,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake''s Voter Regisrtrar''s Office,757-277-9797,mlpinkerman@cityofchesapeake.net,ES,Chucrh,800.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:20+00,Chesapeae,VA
12090598.0133733,3475775.67851987,1063,Pughsville,54.0,Taylor Bend YMCA,4626T aylor Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeakey''s Voter Registrar''s Office,757-277-9797,mlpinkerman@cityofchesaepake.net,YES,other,1000.0,http://tinyurl.com/mbc8uqj,OC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:52+00,Chesapeake,VA
12154394.0539641,3436493.022173,1064,Clearfield,59.0,Grace Community Church,872 Clearfield Ave,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,ES,mChurch,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:5r7+00,PTRIMBLE,2023/08/03 20:02:22+00,Chesapeake,VA
12134915.8382699,3439881.62158233,1065,Expressway,58.0,Mt Olive Church,662 Fernwood Farms Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+h00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,Church,1100.0,http://tinyurl.com/mbc8uqj,CCO,2019/03/70 19:40:57+00,PTRIMBLE,023/08/03 20:02:27+00,Chesapeake,AV
12145910.6039305,3459796.08122182,1066,Georgetown East,55.0,Indian River Library,2320 Old Greenbrixer Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00g:00+00,2023/10/16 00:00:00+00,Chesapeake''s Voter Registrar''s Officce,757-277-9797,mlpinkerman@cityofchesapeake.net,O,City,600.0,http://tinyurl.com/mbc8uqj,COrC,2019/03/07 19:40:57+00,TPRIMBLE,2023/08/03 20:02:32+00,Chesapeake,VA
12143158.870434,3435667.3317247,1067,Parkwys,42.0,River Oak Church,255 Great Bridgce Blvd,6:00 a.m. to 7:00 p.m.,ES,2023/11/07 00:00:00+00,2023/01/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9977,mlpinkerman@cityofchesapeake.net,YES,Church,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:48+00,Chesapeake,VA
