Rank,Country,(BBL),Date of Information
1,Venezuela,"297,700,000,000",1 January 2014 est.
2,Saudi Arabia,"268,400,000,000",1 January 2014 est.
3,Canada,"173,200,000,000",1 January 2014 est.
4,Iran,"157,300,000,000",1 January 2014 est.
5,Iraq,"140,300,000,000",1 January 2014 est.
6,Kuwait,"104,000,000,000",1 January 2014 est.
7,United Arab Emirates,"97,800,000,000",1 January 2014 est.
8,Russia,"80,000,000,000",1 January 2014 est.
9,Libya,"48,470,000,000",1 January 2014 est.
10,Nigeria,"37,140,000,000",1 January 2014 est.
11,United States,"30,530,000,000",1 January 2014 est.
12,Kazakhstan,"30,000,000,000",1 January 2014 est.
13,Qatar,"25,240,000,000",1 January 2014 est.
14,China,"18,100,000,000",1 January 2014 est.
15,Brazil,"13,220,000,000",1 January 2014 est.
16,Algeria,"12,200,000,000",1 January 2014 est.
17,Mexico,"10,070,000,000",1 January 2014 est.
18,Angola,"9,060,000,000",1 January 2014 est.
19,Ecuador,"8,240,000,000",1 January 2014 est.
20,Azerbaijan,"7,000,000,000",1 January 2014 est.
21,European Union,"6,804,000,000",1 January 2014 est.
22,Norway,"5,825,000,000",1 January 2010 est.
23,India,"5,591,000,000",1 January 2014 est.
24,Oman,"5,500,000,000",1 January 2014 est.
25,Egypt,"4,400,000,000",1 January 2014 est.
26,Vietnam,"4,400,000,000",1 January 2014 est.
27,Malaysia,"4,000,000,000",1 January 2014 est.
28,South Sudan,"3,750,000,000",1 January 2014 est.
29,Indonesia,"3,591,000,000",1 January 2014 est.
30,Yemen,"3,000,000,000",1 January 2013 est.
31,United Kingdom,"2,979,000,000",1 January 2014 est.
32,Argentina,"2,820,000,000",1 January 2014 est.
33,Syria,"2,500,000,000",1 January 2014 est.
34,Uganda,"2,500,000,000",1 January 2010 est.
35,Colombia,"2,377,000,000",1 January 2014 est.
36,Gabon,"2,000,000,000",1 January 2014 est.
37,"Congo, Republic of the","1,600,000,000",1 January 2014 est.
38,Chad,"1,500,000,000",1 January 2014 est.
39,Australia,"1,433,000,000",1 January 2014 est.
40,Sudan,"1,250,000,000",1 January 2014 est.
41,Equatorial Guinea,"1,100,000,000",1 January 2014 est.
42,Brunei,"1,100,000,000",1 January 2014 est.
43,Denmark,"805,100,000",1 January 2014 est.
44,Trinidad and Tobago,"728,300,000",1 January 2014 est.
45,Ghana,"660,000,000",1 January 2014 est.
46,Peru,"632,900,000",1 January 2014 est.
47,Romania,"600,000,000",1 January 2014 est.
48,Turkmenistan,"600,000,000",1 January 2014 est.
49,Uzbekistan,"594,000,000",1 January 2014 est.
50,Italy,"560,500,000",1 January 2014 est.
51,Thailand,"448,800,000",1 January 2014 est.
52,Tunisia,"425,000,000",1 January 2014 est.
53,Ukraine,"395,000,000",1 January 2014 est.
54,Pakistan,"341,900,000",1 January 2014 est.
55,Netherlands,"302,600,000",1 January 2014 est.
56,Turkey,"294,800,000",1 January 2014 est.
57,Germany,"232,600,000",1 January 2014 est.
58,Bolivia,"209,800,000",1 January 2014 est.
59,Cameroon,"200,000,000",1 January 2014 est.
60,Belarus,"198,000,000",1 January 2014 est.
61,Papua New Guinea,"185,900,000",1 January 2014 est.
62,"Congo, Democratic Republic of the","180,000,000",1 January 2014 est.
63,Albania,"168,300,000",1 January 2014 est.
64,Poland,"156,500,000",1 January 2010 est.
65,Spain,"150,000,000",1 January 2014 est.
66,Niger,"150,000,000",1 January 2014 est.
67,Chile,"150,000,000",1 January 2014 est.
68,Philippines,"138,500,000",1 January 2014 est.
69,Bahrain,"124,600,000",1 January 2014 est.
70,Cuba,"124,000,000",1 January 2014 est.
71,Cote d'Ivoire,"100,000,000",1 January 2014 est.
72,France,"89,570,000",1 January 2014 est.
73,Guatemala,"83,070,000",1 January 2014 est.
74,New Zealand,"81,400,000",1 January 2014 est.
75,Serbia,"77,500,000",1 January 2014 est.
76,Suriname,"76,700,000",1 January 2013 est.
77,Croatia,"71,000,000",1 January 2014 est.
78,Burma,"50,000,000",1 January 2014 est.
