yearvalue(long),statevalue,hai,facilityid(double precision),facilityname,county,hospitalcategoryriskadjustment,hospitaltype,infectionsreported(double precision),infectionspredicted(double precision),patientdays(double precision),sir(double precision),sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),comparison,mettwozerotwozerogoal,months(double precision),sirtwozeroonefive(double precision),notes
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,Marshall Medical Center,Los Angeles,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Pediatric,892.0,889.7,15251367.0,1.0,0.94,1.07,Same,No,12.0,0.97,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,Alta Bates Summit Medical Center,Los Angeles,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,79.0,73.71,427735.0,1.07,0.85,1.33,Same,No,12.0,1.59,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,"Good Samaritan Hospital, Bakersfield",Los Angeles,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Major Teaching,3.0,2.37,113694.0,1.27,0.32,3.45,Same,No,12.0,0.47,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,"Kaiser Foundation Hospital, Oakland/Richmond",Los Angeles,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,4.0,10.46,549982.0,0.38,0.12,0.92,Better,Yes,12.0,0.85,¥ See Data Dictionary
2021,Califrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011.0,Community Regional Medical Center,Alameda,Acute Care Hospital,Critical Access,2.0,0.54,11727.0,3.71,0.45,13.4,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,Alta Bates Summit Medical Center,Alameda,Rehabilitation Hospital or Unit,"Community, <125 Beds",0.0,0.25,13143.0,0.0,0.0,14.76,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,"John Muir Medical Center, Walnut Creek Campus",Alameda,Acute Care Hospital,Critical Access,3.0,3.43,49882.0,0.88,0.22,2.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012.0,Alta Bates Summit Medical Center,Alameda,Acute Care Hospital,Critical Access,3.0,3.33,61573.0,0.9,0.23,2.45,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183.0,Alta Bates Summit Medical Center,Alameda,Acute Care Hospital,Critical Access,1.0,1.64,39926.0,0.61,0.03,3.01,Same,No,12.0,2.19,¥ See Data Dictionary
2709,Califfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034.0,Stanford Health Care - ValleyCare,Alameda,Acute Care Hospital,Critical Access,6.0,2.44,44759.0,2.46,1.0,5.12,Same,No,12.0,0.74,¥ See Data Dictionary
