yearvalue,statevalue,hai,facilityid,facilityname,county,hospitalcategoryriskadjustment,hospitaltype,infectionsreported,infectionspredicted,patientdays,sir,sircininefivelowerlimit,sircininefiveupperlimit,comparison,mettwozerotwozerogoal,months,sirtwozeroonefive,notes
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Los Angeles,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,892.0,889.7,15251367.0,1.0,0.94,1.07,Same,No,12.0,0.97,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospital,Los Angeles,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,79.0,73.71,427735.0,1.07,0.85,1.33,Same,No,12.0,1.59,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Los Angeles,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,3.0,2.37,113694.0,1.27,0.32,3.45,Same,No,12.0,0.47,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or U,Los Angeles,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,4.0,10.46,549982.0,0.38,0.12,0.92,Better,Yes,12.0,0.85,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011.0,Alameda Hospital,Alameda,Acute Care Hospital,"Community, <125 Beds",2.0,0.54,11727.0,3.71,0.45,13.4,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,Alta Bates Summit Medical Center,Alameda,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.25,13143.0,0.0,0.0,14.76,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,Alta Bates Summit Medical Center,Alameda,Acute Care Hospital,Major Teaching,3.0,3.43,49882.0,0.88,0.22,2.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012.0,"Alta Bates Summit Medical Center, Alta Bates Campus",Alameda,Acute Care Hospital,Major Teaching,3.0,3.33,61573.0,0.9,0.23,2.45,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183.0,Eden Medical Center,Alameda,Acute Care Hospital,"Community, 125-250 Beds",1.0,1.64,39926.0,0.61,0.03,3.01,Same,No,12.0,2.19,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034.0,Highland Hospital,Alameda,Acute Care Hospital,Major Teaching,6.0,2.44,44759.0,2.46,1.0,5.12,Same,No,12.0,0.74,¥ See Data Dictionary
