25.datevalue,198u40110 12:15,19840110 12:15
64.datevalue,1940118 03:45,19840118 03:45
133.station,COOP:131564,COOP:311564
49.datevalue,1984010 18:15,19840110 18:15
150.units,I,HI
101.stationname,CAALOOCHEE NC US,CATALOOCHEE NC US
4.datevalue,19840150 01:30,19840105 01:30
137.measurement_flag,***, 
84.measurement_flag,***, 
85.station,COOP:31564,COOP:311564
108.units,IH,HI
65.stationname,CATALOOCHEE NC UbS,CATALOOCHEE NC US
50.units,IH,HI
91.quality_flag,q , 
77.station,COP:311564,COOP:311564
93.units,jHI,HI
100.datevalue,1984012320:15,19840123 20:15
72.stationname,CATALOOCHEE NC US***,CATALOOCHEE NC US
54.quality_flag,, 
92.stationname,CATALOOCHEE CN US,CATALOOCHEE NC US
88.station,nCOOP:311564,COOP:311564
5.quality_flag,***, 
105.stationname,CATALOOCiHEE NC US,CATALOOCHEE NC US
56.station,COOP3:11564,COOP:311564
128.measurement_flag,***, 
64.measurement_flag,m , 
142.measurement_flag,, 
66.datevalue,91840118 04:15,19840118 04:15
95.quality_flag,***, 
22.datevalue,19840110 11:3i0,19840110 11:30
147.measurement_flag,, 
126.station,COOP:311d564,COOP:311564
8.units,I,HI
10.stationname,CATALOOCHEE CN US,CATALOOCHEE NC US
68.station,COOP:3j11564,COOP:311564
72.datevalue,19840118 05:4t5,19840118 05:45
75.datevalue,19840118 0y7:00,19840118 07:00
56.quality_flag,q , 
16.quality_flag,, 
110.quality_flag,***, 
118.datevalue,19804124 04:00,19840124 04:00
138.stationname,CATALOOCHaEE NC US,CATALOOCHEE NC US
139.station,COOP:311546,COOP:311564
42.station,COOP:31564,COOP:311564
82.stationname,ATALOOCHEE NC US,CATALOOCHEE NC US
34.measurement_flag,, 
7.station,COO:311564,COOP:311564
46.stationname,CATAOOCHEE NC US,CATALOOCHEE NC US
94.datevalue,19840191 00:15,19840119 00:15
120.measurement_flag,h , 
43.quality_flag,***, 
131.station,COOP:31164,COOP:311564
31.datevalue,9840110 13:45,19840110 13:45
158.units,IH,HI
92.station,COO:P311564,COOP:311564
6.measurement_flag,o , 
4.units,HkI,HI
35.datevalue,19841010 14:45,19840110 14:45
23.station,COOP:311546,COOP:311564
108.station,COOP:311654,COOP:311564
140.station,COO:P311564,COOP:311564
18.measurement_flag,d , 
82.measurement_flag,***, 
110.station,COOP:31156c4,COOP:311564
32.measurement_flag,, 
86.units,IH,HI
8.measurement_flag,x , 
152.units,I,HI
25.measurement_flag,, 
67.station,COOP:311e564,COOP:311564
57.station,COOP:31156k4,COOP:311564
112.quality_flag,f , 
143.station,COOP:3115a64,COOP:311564
48.measurement_flag,, 
127.datevalue,1984012 406:15,19840124 06:15
151.station,COOP:31154,COOP:311564
45.quality_flag,c , 
104.units,rHI,HI
37.stationname,iCATALOOCHEE NC US,CATALOOCHEE NC US
116.measurement_flag,, 
101.datevalue,1980123 22:30,19840123 22:30
124.stationname,CAoTALOOCHEE NC US,CATALOOCHEE NC US
113.measurement_flag,, 
156.measurement_flag,h , 
106.measurement_flag,***, 
96.datevalue,91840123 11:15,19840123 11:15
148.datevalue,19840125 08:03,19840125 08:30
70.stationname,CATAOLOCHEE NC US,CATALOOCHEE NC US
123.units,wHI,HI
119.station,COOP:s311564,COOP:311564
142.station,COOP:311546,COOP:311564
157.datevalue,198401i30 22:00,19840130 22:00
144.datevalue,1984012 421:00,19840124 21:00
107.stationname,ATALOOCHEE NC US,CATALOOCHEE NC US
113.units,IH,HI
103.station,COOPu:311564,COOP:311564
138.datevalue,19840124 m15:00,19840124 15:00
39.station,COOP:m311564,COOP:311564
11.quality_flag,***, 
15.measurement_flag,, 
36.datevalue,9840110 15:00,19840110 15:00
97.measurement_flag,***, 
25.stationname,CATALOOCHEEN C US,CATALOOCHEE NC US
76.quality_flag,, 
38.units,HzI,HI
128.quality_flag,m , 
99.station,COOP:k311564,COOP:311564
83.quality_flag,***, 
62.units,iHI,HI
