station,stationname,elevation(double precision),latitude(double precision),longitude(double precision),datevalue,qpcp(long),measurement_flag,quality_flag,units
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840104 22:45,1,,,HI
COOP:311564,CATAqLOOCHEE NC US,798.9,35.61667,-83.1,1984105 00:30,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840150 01:30,1,,,HkI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 02:15,1,,***,HtI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 03:00,1,o,,HI
COO:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 03:45,1,,,HI
COOP:311564,CATAOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:00,1,x,,I
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:15,1,,,HuI
COOP:311564,CATALOOCHEE CN US,798.9,35.61667,-83.1,19840110 08:30,1,,c,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:45,1,,***,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:00,1,,,HaI
COOP:311564,CATALOOCHEE NC fUS,798.9,35.61667,-83.1,19840110 09:15,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:30,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:45,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:00,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,1984010 10:15,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:30,1,d,,HI
COO:P311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,1984011i0 10:45,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:00,1,,s,HI
COOP311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:15,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:3i0,1,,,HI
COOP:311546,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:45,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:00,1,,,HI
COOP:311564,CATALOOCHEEN C US,798.9,35.61667,-83.1,198u40110 12:15,1,,c,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:30,1,,b,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:45,1,,i,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:00,1,,,HI
COOP:311564,CATAiLOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:15,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:30,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,9840110 13:45,1,,,HI
OCOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 14:00,1,,,HI
COOP:31564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 14:15,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 14:30,1,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19841010 14:45,2,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,9840110 15:00,2,,,I
COOP:311564,iCATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:15,2,,,I
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:30,2,,,HzI
COOP:m311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,2,,,HI
jCOOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:00,2,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:15,2,,,HI
COOP:31564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:30,2,,,HI
COOP:311564,uCATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:45,2,,***,HI
