objectid(long),nlcsid,nlcsname,casefileno,wsarcmnd,adminst,roddate,global_id,wsacod_eca,flpmase_cca(long),modifyby,modifydate,gisacres(double precision),fauid(long),smaid(long),shape_area(double precision),shape_length(double precision)
2,NLCS000239,Bitterbrush Wilderness Study Area,CA-010-105,No recommendation,CA,1979/01/01 08:00:00+00,{7E0A5F33-D930-4DC3-833F-D742B45B3B46},CA-040-309,603,bpoconnor,2016/08/23 18:43:40+00,647.18593401,300.0,2,2603739.48952631,6457.73896894575
3,NLCS000240,Bitterbrush Wilderness Study Area,C-A010-105,No recommendation,CA,1979/01/01 08:00:00+00,{7E0A5F33-D930-4DC3-833F-D742B45B3B46},CA-040-309,603,bpcoonnor,2016/08/23 18:43:40+00,1512.61848725,300.0,2,2603739.48952631,15306.4636668285
5,NLCS000242,Merced River Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{7E0A5F33-D930-4DC3-833F-D742B45B3B46},CA-040-309,603,bpoconnor,2016/08/23 18:43:40+00,1512.61848725,300.0,2,2603739.48952631,71772.6719833947
6,NLCS000243,Bitterbrush Wilderness Study Area,CA-030-501,Non-suitable,CA,1993/07/27 08:00:00+00,{01A12349-83EC-4A9D-AA85-606DD15F836D},CA-040-309,202,fevanisk,2015/12/02 18:26:02+00,647.18593401,3938.0,2,2396983.1588428,6200.82439117804
7,NLCS000244,Bitterbrush Wilderness Study Area,CA-010-105,No recommendation,CA,1979/01/01 08:00:00+00,{01A12349-83EC-4A9D-AA85-606DD15F836D},CA-040-309,202,bpoconnor,2016/08/23 18:43:40+00,1512.61848725,315.0,2,652490.664690565,3231.22545612526
8,NLCS000245,Scodie Wilderness Study Area,CA-010-105,No recommendation,CA,1979/01/01 08:00:00+00,{49D284B5-ED07-4E54-8FAF-AE8DFF6B38CE},CA-010-030,202,bpoconnor,2016/08/23 18:43:40+00,370.32976391,3190.0,2,1395149.39393612,10892.8009619247
9,NLCS000246,Timbered Crater Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{77A70B9A-9B5D-44EB-A05B-CCC22E59A3FB},CA-030-201,603,bpoconnor,2016/08/23 18:43:40+00,18084.6611163,3536.0,2,73203014.6355793,79883.2722671687
10,NLCS000247,Wall Canyon Wilderness Study Area,A-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{25994ED6-E53D-44B5-ABB4-1AAFD3DFECE2},CA-020-805,603,bpoconnor,2016/08/23 18:43:40+00,47567.38344656,3746.0,2,191857075.730986,123095.008718174
12,NLCS000249,Twin Peaks Wilderness Study Area,CA-00-105,No recommendation,CA,197/01/01 08:00:00+00,{7F2ECD3B-AF1D-4329-BABA-9E30DD77F386},CA-020-619A,603,bpoconnor,2016/08/23 18:43:40+00,92131.33873118,3632.0,2,373517405.788739,117539.276696303
13,NLCS000250,Five Springs Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{CE976EC8-7E37-4F28-B842-4ABF46B1CF2E},CA-020-609,603,bpoconnor,2016/08/23 18:43:40+00,50345.20867603,1108.0,2,204915703.420951,108935.447982593
14,NLCS000251,Dry Valley Rim Wilderness Study Area,CA-010-105,Suitable,CA,1979/01/01 08:00:00+00,{176B6648-012B-4D70-BE51-50492FC49DCB},CA-020-615,603,bpoconnor,2016/08/23 18:43:40+00,94530.10534715,960.0,2,384876441.804871,128746.550562088
15,NLCS000252,Rocky Creek/Cache Creek Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{21FD5D9D-525F-46B5-885C-0A58F1D2BAA0},CA-050-317,603,bpoconnor,2016/08/23 18:43:40+00,6814.73305813,2993.0,2,27071377.0530975,38374.9579228799
17,NLCS000254,Symmes Creek Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{BBFC212F-9BAD-4CD2-A17C-415DC7EC4944},CA-010-064,603,bpoconnor,2016/08/23 18:43:40+00,8747.75496375,3466.0,2,35659279.8290993,36480.2291629668
18,NLCS000255,Independence Creek Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{182FC325-075A-470B-A37B-F6192FF4B979},CA-010-057,603,bpoconnor,2016/08/23 18:43:40+00,6480.4473219,1625.0,2,26400139.6205404,22528.5846091214
19,NLCS000256,Moses Wilderness Study Area,CA-010-105,No recommendation,CA,1979/01/01 08:00:00+00,{E7384A1B-7786-494B-B170-6CB143852E22},CA-010-025,202,bpoconnor,2016/08/23 18:43:40+00,452.18541834,2260.0,2,1829841.05059236,7376.09790086701
20,NLCS000257,Rockhouse A Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{E758C077-CF3E-4159-BC55-A95E83B10788},CA-010-029A,202,bpoconnor,2016/08/23 18:43:40+00,121.69632594,2988.0,2,471782.552050415,2811.63934388623
21,NLCS000258,Bear Canyon Wilderness Study Area,CA-010-105,No recommendation,CA,1979/01/01 08:00:00+00,{065E52D1-0F5B-46B5-8122-10211C3AF2C2},CA-040-305C,202,bpoconnor,2016/08/23 18:43:40+00,332.4711768,203.0,2,1392570.85729235,4900.98548867202
26,NLCS000263,Table Mountain Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{64FC4CAD-3D78-4399-ADF9-F50109B99A60},CA-060-026,202,bpoconnor,2016/08/23 18:43:40+00,990.31642894,3471.0,2,4054512.54352609,8858.35491670423
27,NLCS000264,San Ysidro Mountain Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{D231332A-9D96-47E0-889C-1ECB8214E7FF},CA-060-022,202,bpoconnor,2016/08/23 18:43:40+00,2129.92338976,3124.0,2,8619735.91477874,18183.7999236369
28,NLCS000265,Hauser Mountain Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{2EFF8DBC-DDC0-4F34-9CB0-8E232C029C55},CA-060-027C,603,bpoconnor,2016/08/23 18:43:40+00,5455.8885677,1488.0,2,22045418.8547774,32311.1523136026
29,NLCS000266,Garcia Mountain Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{05253B75-12D4-4AA4-AAFF-50020FCA3D05},CA-010-012,202,bpoconnor,2016/08/23 18:43:40+00,78.49642785,1290.0,2,318418.48274408,3192.74322669822
30,NLCS000267,Machesna Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{DAD6DA68-7200-4721-9109-2A0F567B33F0},CA-010-108,202,bpoconnor,2016/08/23 18:43:40+00,81.06423127,2042.0,2,328037.186071565,2421.84623022817
31,NLCS000268,San Felipe Hills Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{E6BADB20-B4DC-45F9-B0A3-0717A320212D},CA-060-023,603,bpoconnor,2016/08/23 18:43:40+00,5279.01895588,3096.0,2,21363516.0239859,30729.9532107075
32,NLCS000269,Sawtooth Mountains A Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{79D7EAFC-9441-4543-AB9C-0FE5FFF17552},CA-060-024A,202,bpoconnor,2016/08/23 18:43:40+00,3965.64962401,3177.0,2,16423799.7617792,24431.7496030629
34,NLCS000271,Slinkard Wilderness Study Area,CA-010-105,Non-suitable,CA,1979/01/01 08:00:00+00,{5A2D09FF-D17F-4EED-9A42-A9888F455FBC},CA-010-105,603,bfaylor,2017/06/23 21:15:56+00,3830.35051736,3314.0,2,15339713.7424636,25837.8416572815
35,NLCS000272,Sacatar Meadows Wilderness Study Area,CA-010-105,Suitable,CA,1979/01/01 08:00:00+00,{6B176972-A4F7-4C0A-995F-6BC2714B6B69},CA-101-027,603,bpoconnor,2016/08/23 18:43:40+00,299.63343775,3035.0,2,1240495.84584085,10651.3044097605
