characteristic,sex,raceethnicity,familystructure,year,percentage,marginoferror
Total,NULL,NULL,Two parents,2001,NULL,NULL
Total,NULL,NULL,Two parents,2002,NULL,NULL
Total,NULL,NULL,Two parents,2003,NULL,NULL
Total,NULL,NULL,Two parents,2004,NULL,NULL
Total,NULL,NULL,Two parents,2005,NULL,NULL
Total,NULL,NULL,Two parents,2006,NULL,NULL
Total,NULL,NULL,Two parents,2007,70.7%,0.4%
Total,NULL,NULL,Two parents,2008,69.9%,0.5%
Total,NULL,NULL,Two parents,2009,69.8%,0.5%
Total,NULL,NULL,Two parents,2010,69.4%,0.5%
Total,NULL,NULL,Two parents,2011,68.9%,0.5%
Total,NULL,NULL,Two parents,2012,68.099999999999994%,0.5%
Total,NULL,NULL,Two parents,2013,68.5%,0.5%
Total,NULL,NULL,Two married parents,2001,69%,0.5%
Total,NULL,NULL,Two married parents,2002,69%,0.5%
Total,NULL,NULL,Two married parents,2003,68.4%,0.5%
Total,NULL,NULL,Two married parents,2004,67.8%,0.5%
Total,NULL,NULL,Two married parents,2005,67.3%,0.5%
Total,NULL,NULL,Two married parents,2006,67.4%,0.5%
Total,NULL,NULL,Two married parents,2007,67.8%,0.5%
Total,NULL,NULL,Two married parents,2008,66.7%,0.5%
Total,NULL,NULL,Two married parents,2009,66.8%,0.5%
Total,NULL,NULL,Two married parents,2010,65.7%,0.5%
Total,NULL,NULL,Two married parents,2011,65%,0.5%
Total,NULL,NULL,Two married parents,2012,64.1%,0.5%
Total,NULL,NULL,Two married parents,2013,64.4%,0.5%
Total,NULL,NULL,Mother only,2001,22%,0.4%
Total,NULL,NULL,Mother only,2002,23%,0.4%
Total,NULL,NULL,Mother only,2003,23%,0.4%
Total,NULL,NULL,Mother only,2004,23.3%,0.4%
Total,NULL,NULL,Mother only,2005,23.4%,0.4%
Total,NULL,NULL,Mother only,2006,23.3%,0.4%
Total,NULL,NULL,Mother only,2007,22.6%,0.4%
Total,NULL,NULL,Mother only,2008,22.8%,0.4%
Total,NULL,NULL,Mother only,2009,22.8%,0.4%
Total,NULL,NULL,Mother only,2010,23.1%,0.4%
Total,NULL,NULL,Mother only,2011,23.6%,0.4%
Total,NULL,NULL,Mother only,2012,24.4%,0.4%
Total,NULL,NULL,Mother only,2013,23.7%,0.4%
Total,NULL,NULL,Father only,2001,4%,0.2%
Total,NULL,NULL,Father only,2002,5%,0.2%
Total,NULL,NULL,Father only,2003,4.6%,0.2%
Total,NULL,NULL,Father only,2004,4.6%,0.2%
Total,NULL,NULL,Father only,2005,4.8%,0.2%
Total,NULL,NULL,Father only,2006,4.7%,0.2%
Total,NULL,NULL,Father only,2007,3.2%,0.2%
Total,NULL,NULL,Father only,2008,3.5%,0.2%
Total,NULL,NULL,Father only,2009,3.4%,0.2%
Total,NULL,NULL,Father only,2010,3.4%,0.2%
Total,NULL,NULL,Father only,2011,3.5%,0.2%
Total,NULL,NULL,Father only,2012,4%,0.2%
Total,NULL,NULL,Father only,2013,4.1%,0.2%
Total,NULL,NULL,No parent,2001,4%,0.2%
Total,NULL,NULL,No parent,2002,4%,0.2%
Total,NULL,NULL,No parent,2003,4.1%,0.2%
Total,NULL,NULL,No parent,2004,4.3%,0.2%
Total,NULL,NULL,No parent,2005,4.5%,0.2%
Total,NULL,NULL,No parent,2006,4.6%,0.2%
Total,NULL,NULL,No parent,2007,3.5%,0.2%
Total,NULL,NULL,No parent,2008,3.8%,0.2%
Total,NULL,NULL,No parent,2009,4%,0.2%
Total,NULL,NULL,No parent,2010,4.1%,0.2%
Total,NULL,NULL,No parent,2011,3.9%,0.2%
Total,NULL,NULL,No parent,2012,3.6%,0.2%
Total,NULL,NULL,No parent,2013,3.7%,0.2%
Total - Male,Male,NULL,Two parents,2001,NULL,NULL
Total - Male,Male,NULL,Two parents,2002,NULL,NULL
Total - Male,Male,NULL,Two parents,2003,NULL,NULL
Total - Male,Male,NULL,Two parents,2004,NULL,NULL
Total - Male,Male,NULL,Two parents,2005,NULL,NULL
Total - Male,Male,NULL,Two parents,2006,NULL,NULL
Total - Male,Male,NULL,Two parents,2007,70.9%,0.6%
Total - Male,Male,NULL,Two parents,2008,70.2%,0.6%
Total - Male,Male,NULL,Two parents,2009,69.9%,0.6%
Total - Male,Male,NULL,Two parents,2010,69.4%,0.6%
Total - Male,Male,NULL,Two parents,2011,68.8%,0.6%
Total - Male,Male,NULL,Two parents,2012,68.4%,0.6%
Total - Male,Male,NULL,Two parents,2013,68.5%,0.6%
Total - Male,Male,NULL,Two married parents,2001,69.2%,0.6%
Total - Male,Male,NULL,Two married parents,2002,68.6%,0.6%
Total - Male,Male,NULL,Two married parents,2003,68.3%,0.6%
Total - Male,Male,NULL,Two married parents,2004,67.9%,0.6%
Total - Male,Male,NULL,Two married parents,2005,67.5%,0.6%
Total - Male,Male,NULL,Two married parents,2006,67.6%,0.6%
Total - Male,Male,NULL,Two married parents,2007,68%,0.6%
Total - Male,Male,NULL,Two married parents,2008,67.1%,0.6%
Total - Male,Male,NULL,Two married parents,2009,66.9%,0.6%
Total - Male,Male,NULL,Two married parents,2010,65.8%,0.7%
Total - Male,Male,NULL,Two married parents,2011,64.7%,0.7%
Total - Male,Male,NULL,Two married parents,2012,64.3%,0.7%
Total - Male,Male,NULL,Two married parents,2013,64.3%,0.7%
