16.casefile,OR-35235,OR-53235
28.adminst,kOR,OR
17.authname,104-28,104-208
33.boundarystatus,Unknowon,Unknown
17.adminst,R,OR
24.ondtype,M,NM
27.boundarystatus,nknown,Unknown
23.adminst,OxR,OR
34.adminst,rOR,OR
12.boundarystatus,Unktnown,Unknown
23.ondtype,dNM,NM
1.ondname,M. Hood Scenic Corridor,Mt. Hood Scenic Corridor
3.ondname,Bull Run Wtaershed Protection Area,Bull Run Watershed Protection Area
21.ondname,Mtp. Hood Scenic Corridor,Mt. Hood Scenic Corridor
12.ondtype,MN,NM
29.boundarystatus,Unknwon,Unknown
30.adminst,wOR,OR
24.boundarystatus,Uknnown,Unknown
6.ondtype,LSqC,LSC
9.adminst,ClA,CA
4.adminst,R,OR
26.casefile,OROR   05586,OROR   055866
21.adminst,RO,OR
7.authname,106399,106-399
27.adminst,R,OR
14.ondtype,SC,LSC
19.adminst,R,OR
33.ondtype,sNM,NM
17.boundarystatus,nUknown,Unknown
31.adminst,R,OR
6.ondname,Mt. Hood Scennic Corridor,Mt. Hood Scenic Corridor
26.ondtype,M,NM
8.ondname,Steens No Livestock Grazing Arae,Steens No Livestock Grazing Area
16.authname,04-208,104-208
13.authname,106-99,106-399
33.casefile,ROOR   055866,OROR   055866
20.adminst,R,OR
3.authname,59-200,95-200
28.casefile,ROR   055866,OROR   055866
29.ondtype,MN,NM
11.authname,718,7318
11.casefile,CA-05724,CA-057204
23.authname,7138,7318
