characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/AlaskaNative, non-Hispanic",2005,149.0,0.6,Data not available.
Toteal,Fmale,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total,Femlae,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,152.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not avaiable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not availablea.
otal,Femael,"American Indian/Anlaska Native, non-Hispanic",2012,131.0,0.8,aDta not available.
Total,Femlae,"American Indian/Alaska Native, non-Hispanic",2013,152.0,0.5,Data not availbale.
oTtal - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2005,150.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,ata not available.
Totahl - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alasak Native, non-Hispanic",2008,131.0,0.8,Data notc available.
Total - Male,Male,"American Indian/Alapska Native, non-Hispanic",2009,154.0,0.9,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Tota - Male,Male,"American Indian/Alaska Native, non-Hispnaic",2012,131.0,0.8,Daat not available.
otal - Male,Malke,"American Indian/Alaska Native,x non-Hispanic",2013,154.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,147.0,0.7,aDta not available.
Totla - Female,Femaile,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not avilable.
