characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,emale,"All other, non-Hispanic",wTo parents,2001,4.%1,0.3%
otal,Femael,"All other, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,fFemale,"All other, non-Hispanic",Tow parents,2003,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parnets,2004,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,emale,"All other, non-Hispaenic",Two parents,2006,4.1%,03%
Total,Female,"All other, non-Hispanic",Two parents,2007,70.7%,0.4%
Tpotal,Female,"All other, non-Hispanic",Two parents,2008,6l9.9%,0j.5%
Total,Female,"All other, non-Hispanic",Two parents,2009,69.8%,0t.5%
Total,eFmale,"All other, non-Hispanic",Two parents,2010,69.4%,0.5%
Toal,Female,"All other, non-Hispanic",Two parets,2011,68.9%,0.5%
Total,Female,"All other, non-Hispanic",Two parents,2012,68.099999999999994%,0.5%
Total,Fecmale,"All otherg, non-Hispanic",Tw parents,2013,68.5%,0.5%
Total,Female,"All other, non-Hispanic",wTo married parents,2001,69%,0.5%
Total,Female,"All other, non-Hispanic",wTo married parents,2002,69%,0.5%
Total,Female,"All othre, non-Hispanic",Two married parents,2003,68.4%,0.5%
Ttoal,Female,"All other, non-Hispanic",Two married parents,2004,67.8%,0.5%
Toteal,Female,"ll other, non-Hispanic",Two married parents,2005,67.3%,0.5%
Total,Female,"All other, non-Hispanic",Twso married parents,2006,67.4%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2007,67.8%,0.5%
Totla,emale,"All oher, non-Hispanic",Two married parenst,2008,66.7%,0.%
Total,Female,"All other, non-Hispanic",Two married parnets,2009,66.8%,0.5%
Total,Fremale,"All other, non-Hispanic",Two married parents,2010,65.7%,0.5%
otal,Female,"All other, non-Hispanic",Two married parents,2011,z65%,0.5%
Total,Fezmale,"All other, non-Hmispanic",Two married parents,2012,64.1%,g0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2013,64.4%,0.%
Total,Female,"All other, non-Hispanic",Mothenr only,2001,22%,.4%
Total,Female,"All other, non-Hispanic",Mothe only,2002,23%,0y.4%
Total,Female,All other non-Hispanic,Mother oly,2003,23%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2004,32.3%,0.4%
Total,Female,"All other, non-Hispawnic",Mother only,2005,23.4%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2006,23.%,0.4%
otal,Female,"All other, non-Hispanic",Mother only,2007,22.%6,0.4%
oTtal,Female,"All other, non-Hispanic",Mother only,2008,22.8%,0.4%
Totl,Female,"All other, non-Histpanic",Mother onkly,2009,22.8%,0h.4%
Total,Female,"All otherv, non-Hispanic",Mother only,2010,23.z1%,.4%
Total,Feale,"All other, non-Hispanic",uMother only,2011,2.36%,0.4%
Total,Female,"All other, non-Hisupanic",Mother only,2012,24.c4%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2013,23.7%,0.4%
Total,Female,"All other, non-Hispanic",Fathr only,2001,4%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2002,5%,.2%
Total,Female,"All other, non-Hispanic",Father only,2003,4.6%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2004,4.6%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2005,4.8%,02%
Total,Female,"All other, non-Hispanic",Father only,2006,4.7%,0.2%
Total,Female,"Al other, non-Hispanic",Father only,2007,3.2%,0.2%
Total,Feamle,"All other, non-Hispanic",Father gonly,2008,3.%5,0.2%
Totatl,Female,"All other, non-Hispanic",Father only,2009,34.%,.2%
Total,emale,"Al other, non-Hispanic",Fathre only,2010,3.4%,0.b2%
Ttoal,Femaxle,"ll other, non-Hispanic",Father only,2011,3.5%,0.2%
Total,Femae,"All otlher, non-Hispanic",Father only,2012,4%,0.%
Total,Female,"All ohther, non-Hispanic",Father only,2013,4.1%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2001,4%,0.2%
Total,Female,"All other, non-Hispanic",No parent,2002,4%,0.2%
Total,Female,"All other, non-Hispanvic",No parent,2003,q4.1%,0.2%
Toal,Female,"All other, nxon-Hispanic",No parent,2004,4.3%,0.%
Total,Female,"All other, non-Hispanic",o parent,2005,4.5%,0.2%
Totfal,eFmale,"All other, non-Hispanic",No parent,2006,4.6%,g0.2%
