Unnamed: 0,Chamber/Committee,Motion,Date,Result
select this vote,Senate,On Cloture on the Motion to Proceed S. 3240,6/07/2012,This motion PASSED the Senate 90 voted YES 8 voted NO 2 voted present/not voting
currently selected,Senate,On the Motion to Table S.Amdt. 2393 to S.Amdt. 2392 to S.Amdt. 2391 to S. 3240,6/13/2012,This amendment PASSED the Senate 50 voted YES 46 voted NO 4 voted present/not voting
select this vote,Senate,"On the Motion to Table S.Amdt. 2392 to S.Amdt. 2391 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/13/2012,This amendment PASSED the Senate 65 voted YES 33 voted NO 2 voted present/not voting
select this vote,Senate,Amendment SA 2187 agreed to in Senate by Voice Vote.,6/19/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2199 agreed to in Senate by Voice Vote.,6/19/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2243 agreed to in Senate by Voice Vote.,6/19/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2262 agreed to in Senate by Voice Vote.,6/19/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2321 agreed to in Senate by Voice Vote.,6/19/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2366 agreed to in Senate by Voice Vote.,6/19/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2389 agreed to in Senate by Unanimous Consent.,6/19/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2396 agreed to in Senate by Voice Vote.,6/19/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2422 agreed to in Senate by Voice Vote.,6/19/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2426 agreed to in Senate by Voice Vote.,6/19/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2429 agreed to in Senate by Voice Vote.,6/19/2012,PASSED by voice vote
select this vote,Senate,Amendment SA 2440 agreed to in Senate by Voice Vote.,6/19/2012,PASSED by voice vote
select this vote,Senate,"On the Amendment S.Amdt. 2192 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment DID NOT PASS the Senate 38 voted YES 61 voted NO 1 voted present/not voting
select this vote,Senate,"On the Amendment S.Amdt. 2190 to S. 3240 (Agriculture Reform, Food, and Jobs Act of 2012)",6/19/2012,This amendment PASSED the Senate 66 voted YES 33 voted NO 1 voted present/not voting
