Code,Site,Date,Tournament
,,0000-00-00,
10S087R,USAS0274,2010-05-01,Champion Lake International Spring Slalom
10MEX01,MEX001,2010-05-01,Mexican 1st National 2010
10S160R,USAS0275,2010-05-02,Swiss Spring Open
10S114R,USAS0288,2010-05-08,Mother's Day Slalom and Trick
10GBR01,GBRprinc,2010-05-09,Princes 3 Round Trick 2010
10S162,USAS0001,2010-05-16,Ski Fluid Classic
10S084R,USAS0364,2010-05-16,Okeeheelee Record Slalom
10S127R,USAS0276,2010-05-16,Florida Inboards Open
10S162R,USAS0001,2010-05-16,Ski Fluid Classic
10W181R,USAW0420,2010-05-21,Pre Collegiate All Stars
10U062L,USAW0420,2010-05-22,2010 NCWSA ALL STARS
10C050R,USAC0004,2010-05-22,Ski Ranch May Record 1
10S145R,USAS0355,2010-05-23,Sunset Cup and Masters Last Chance Qualifier
10C051R,USAC0004,2010-05-23,Ski Ranch Spring #2
10C086R,USAC0071,2010-05-23,Tri-Lakes Record
10S132R,USAS0286,2010-05-23,Miami Nautique International Championships
10BRA01,BRA003,2010-05-24,L.A.S.T. Brazil
10S144R,USAS0284,2010-05-30,Senior Masters and Jax Open Slalom
10S109P,USAS0328,2010-05-30,Masters Waterski and Wakeboard
10BEL03,BELHPS,2010-06-04,"Slalom Special ""Lac du Prince"""
10C085R,USAC0071,2010-06-05,LA Night Jam III
10SWE04,SWE0209,2010-06-05,Sola Challange
10CZE01,CZEOLEKS,2010-06-05,Moravia Cup 2010
10GBR02,GBRTALLI,2010-06-05,British Youth Trials
10FRA08,FRA3002,2010-06-06,Trophee Camargue Paradise
10C079R,USAC0074,2010-06-06,2010 Junior U S Open
10SUI01,SUIEURO,2010-06-06,Lena Cup 10
10FRA27,FRA7708,2010-06-12,Troph� du Gatinais
10FRA35,FRA1603,2010-06-12,Chpts de Ligue POC
10POL01,POLJAW1,2010-06-12,Silesia Cup 2010
10C052R,USAC0004,2010-06-12,Ski Ranch Summer Tour #1
10FRA09,FRA0001,2010-06-12,South spirit cup
10S170R,USAS0298,2010-06-12,Isles Record Slalom
10c053R,USAC0004,2010-06-13,Ski Ranch Summer Tour #2
10AUT01,AUTTWWUT,2010-06-18,WWUT SLALOM JUMP CUP 2010
10C076R,USAC0007,2010-06-19,Bullneck Record
10M061L,USAM0159,2010-06-19,Sawmill Spring Record
10CZE02,CZEKOUJI,2010-06-19,Kostelec Cup
10FRA11,FRA3303,2010-06-19,coupe de Pitrot
10S067R,USAS0276,2010-06-20,Cory Pickos Superstars
10S147L,USAS0355,2010-06-23,Lelani Gales Wednesday # 2
10FRA10,FRA7710,2010-06-25,Aqua Challenge -
10FRA29,FRA3308,2010-06-26,arcachon ski tour
10NOR02,NORSLA,2010-06-26,Sl�stad Open 2010
10CAN13,CAN7866,2010-06-26,summerski Season Opener
10AUT02,AUTTTULL,2010-06-26,Silesia Cup 2010
10ITA002,ITA0701,2010-06-26,Segrate International 2010
10BEL01,BELGRIM,2010-06-26,Golden Tricks
10BEL02,BELRNV,2010-06-27,Three Round Tricks
10M170R,USAM0232,2010-06-27,AWSA Junior and 17-20 Team Trials
10C055R,USAC0070,2010-06-27,Big Dawg Qualifier and Katy Ski Jam
10RUS01,RUSMSCW,2010-06-27,Yury Gagarin Prix
10M158P,USAM0649,2010-06-27,Global Invitational
10M156R,USAM0197,2010-06-27,Center City Record
10S143R,USAS0301,2010-06-27,Stillwater Lakes June Record
10RUS02,RUSMSCW,2010-07-02,Nosachev Masters 2010
10GER001,GERBREM,2010-07-02,International Bremerhaven 2010
10SWE17,SWE0304,2010-07-02,Stockholmsracet
10M083L,USAM0160,2010-07-03,Hawthorn Mid Summer Record
10SWE19,SWE0303,2010-07-03,Stockholmsracet
10CAN01,CAN7867,2010-07-03,Canada's Capital Slalom Challenge
10FRA13,FRA7708,2010-07-03,Championnats de Ligue IDF
10CAN26,CAN0725,2010-07-03,WizardWorld Cup
10BLR05,BLRMINSK,2010-07-03,International Competition Belarus - Poland - Latvia
10CZE03,CZEKONLA,2010-07-03,Shadow of Whales Cup 2010
10S076R,USAS0301,2010-07-03,Space Coast Slalom Challenge
10FRA12,FRA3303,2010-07-03,Championnat Ligue Aquitaine Memorial Naudinat
10CYP01,CYPPOLEM,2010-07-03,7th International Cyprus Cup
10C093R,USAC0028,2010-07-04,Cedar Ridge Record 1
10S183R,USAS0320,2010-07-04,Lake Louis Summer Festival
10ITA003,ITA00011,2010-07-04,5th San Gervasio B.no 2010
10SWE21,SWE0314,2010-07-04,Stockholmsracet
10S182R,USAS0276,2010-07-04,Emerald Coast International Cup
10CAN02,CAN7867,2010-07-04,Canada's Capital Slalom Challenge II
10C094R,USAC0028,2010-07-05,Cedar Ridge Record 2
10S148R,USAS0355,2010-07-07,Lelani Gales Wednesday Nght 3
10S185R,USAS0001,2010-07-08,Fluid X
10fra14,FRA8705,2010-07-09,Coupe de Meuzac
10ITA004,ITAFISN1,2010-07-09,Recetto Overall trofeo II� Trofeo sergio Zanardi
10W116L,USAW0479,2010-07-09,North West Can-Am
10E&A08,ITA0701,2010-07-09,E&A Over 35 Championships
10SWE25,SWE0214,2010-07-10,KWA Open
10FRA17,FRA2701,2010-07-10,Ezy Pro AM 2010
10FRA38,FRA3310,2010-07-10,Aquitaine Seniors Trophy 2010
10E085R,USAE0110,2010-07-10,Twin Lakes Record Slalom 2
10GER02,GERAMBE,2010-07-10,Internationaler Slalomcup Amberg
10W152R,USAW0395,2010-07-10,Adobe Ranch Regional Prep
10CAN23,CAN8232,2010-07-10,2010 SAFARI LAKE CLASSIC
10W126R,USAW0439,2010-07-11,Liquid Zone Record
10S116R,USAS0288,2010-07-11,Florida State Championships
10SWE26,SWE0214,2010-07-11,Varberg Open
10M057L,USAM0188,2010-07-11,West Michigan Record
10SWE29,SWE0101,2010-07-13,Ivetofta Sparbanken Cup
10FRA02,FRA3312,2010-07-15,CHAPIONAT FERANCE CADET- JUNIOR
10FRA03,FRA3312,2010-07-15,CHAPIONAT FERANCE SENIOR
10E070L,USAE0111,2010-07-15,Hiddenpass Record # 3
10SWE30,SWE0407,2010-07-16,QEM Cup
10C056L,USAC0074,2010-07-17,Buxton Marine Handicap
10SUI03,SUIEURO,2010-07-17,ALIZEE CUP
10CAN22,CAN 2874,2010-07-17,ONTARIO CHAMPIONSHIPS
10FIN01,FINNIIHA,2010-07-17,Tampere-St.Petersburg Open 2010
10ITA13,ITA00012,2010-07-18,Sperlonga International 2010
10M087L,USAM0158,2010-07-18,2010 Angola Record
10AUT03,AUTTMYCN,2010-07-18,Austrian nationals
10CZE04,CZEKRENE,2010-07-18,Nominacni z�vod WSN 2010
10E072L,USAE0111,2010-07-18,Hiddenpass Pre Regionals
10GRE05,GREAGRIN,2010-07-22,Greek Youth Nationals 2010
10FRA04,FRA3310,2010-07-23,Champts de France Open
10FRA05,FRA3310,2010-07-23,Championnat de France Benjamin Minimes
10SWE31,SWE0211,2010-07-23,Ungdom & Junior SM (Junior&Youth Nationals)
10POR01,POR_CIBO,2010-07-24,Campeonatos Nationale Vertice 2010
10GRE07,GREAGRIN,2010-07-24,Greek Open & Senior Nationals 2010
10W074B,USAW0463,2010-07-24,Western Regionals
10HUN01,HUNLPT,2010-07-24,Hungarian Slalom Cup Special
10GBR05,GBRSOUTH,2010-07-24,British Youth Nationals 2010
10CAN36,CAN7866,2010-07-24,2010 Eastern Canadian Water Ski Championships
10GRE06,GREAGRIN,2010-07-24,Greek Open & Senior Nationals 2010
10S163R,USAS0001,2010-07-24,Polk City Open
10ita006,ITA00010,2010-07-24,Trofeo Cava di Moncalieri
10ESP02,ESPCERRO,2010-07-24,1st Madrid International Jump
10NED07,NEDMAU,2010-07-25,Nederlands Kampioenschap 2010
10S069R,USAS0276,2010-07-25,Santa Rosa Beach International Cup
10BEL04,BELRYCSM,2010-07-25,Coupe de la ville de Namur 2010
10C091R,USAC0002,2010-07-25,Arkansas State and Cedar Creek Record
10SUI04,SUIEURO,2010-07-25,Swiss Championships 2010
10ITA007,ITAFISN2,2010-07-26,Campionati Italiani di Categoria
10GBR06,GBRHAZEL,2010-07-30,British Nationals 2010
10ESP01,ESPCERRO,2010-07-30,CAMPEONATO ESPA�A 2010
10ITA009,ITAFISN2,2010-07-30,Campionati Italiani assoluti
10SWE33,SWE0305,2010-07-30,Svenska M�sterskapen f�r Seniorer (Swedish Nationals)
10FRA18,FRA1901,2010-07-31,Grand Prix de Marcillac
10W161R,USAW0395,2010-07-31,Adobe Record Trick
10CAN27,CAN0725,2010-07-31,Western Canadian Championship
10SVK02,SVKBLATN,2010-07-31,Pohar Interu 2010
10GER05,GERSASB,2010-07-31,Internationaler Breisgaupokal Sasbach am Kaiserstuhl
10M050B,USAM0156,2010-08-01,Midwest Regionals
10S072B,USAS0355,2010-08-01,Jack Travers Southern Regional Championships
10C077B,USAC0050,2010-08-01,South Central Regional Championships
10E076B,USAE0111,2010-08-01,Eastern Regional Championships
10BEL05,BELEHN,2010-08-02,Belgian Nationals 2010
10ESP03,ESPSESEN,2010-08-07,Sesena Summer Slalom
10M159P,USAM0709,2010-08-08,2010 Malibu Open
10IWWF01,ITA00011,2010-08-08,Junior World Championship
10E&A01,FRA8705,2010-08-13,E & A championships -21
10GBR07,GBRSOUTH,2010-08-13,Warm-Up Slalom
10SWE36,SWE0202,2010-08-14,Kr�ftcupen
10FRA37,FRA3312,2010-08-14,Troph�e des Terres Blanches
10GBR08,GBRSOUTH,2010-08-14,British Senior Championships 2010
10HUN02,HUNBUDAP,2010-08-14,10HUN02
10M999A,USAM0156,2010-08-14,2010 Goode AWSA National Championships
10CAN38,CAN3925,2010-08-17,Canadian Championships
10EAME03,GBRTHORP,2010-08-18,2010 Europe & Africa Team Championships
10FRA21,FRA7710,2010-08-21,AQUACUP Gravons
11M053L,USAM0188,2010-08-21,Lawton Invitational
10FRA20,FRA2110,2010-08-21,Chpts de Ligue de Bourgogne
10GBR10,GBRLIQUI,2010-08-21,Night Jump 2010
10ITA020,ITA00011,2010-08-21,6th San Gervasio Bresciano Trophy 2010
10FRA19,FRA8705,2010-08-21,Troph�e de Meuzac - Senior Tour
10EAME04,GBRTHORP,2010-08-22,2010 Europe & Africa OPEN Championships
10CZE05,CZEKRENE,2010-08-22,Czech Junior and Senior Championship
10GBR11,GBRHAZEL,2010-08-24,Cray Valley Jump
10EAME05,AUTTWWUT,2010-08-25,European and Africa Youth Championships 2010
10FRA15,FRA4706,2010-08-28,Coupe des Avirmes
10GBR12,GBRPRINC,2010-08-28,Princes Pro Am
11M046R,USAM0160,2010-08-28,Disabled Nationals 3 event
10BEL08,BELSWK,2010-08-29,SWK Cup 2010
11M026L,USAM0172,2010-08-29,Silent Shores Mid-Summer 3rd 2 ev
10FRA40,FRA2501,2010-08-29,championnats de ligue FCA
11W024L,USAW0460,2010-08-29,Laku Slalom 2 and Big Dawg Qualifier
11E029L,USAE0126,2010-08-29,Ken Mead Memorial
10KOR01,KOR001,2010-08-29,World Cup Chun Cheon Korea
10GBR13,GBRTHREE,2010-09-01,Three Sisters Pro-Am
10ESP04,ESPTERRA,2010-09-03,OPEN CATALUNYA ARA LLEIDA 2010
10FRA62,FRA3109,2010-09-04,Championnats de Ligue MPY
11C015R,USAC0004,2010-09-04,Ski Ranch Labor Day 1
11S037R,USAS0360,2010-09-04,Trophy Lakes 6 Shooter
10CRO01,CROSTAR,2010-09-04,"Blue Ski International 2010 - Lake Staro Cice, Zagreb"
10FRA22,FRA3303,2010-09-04,Pitrot Seniors Trophy
10BEL10,BELMWK,2010-09-04,MWK cup
11S038R,USAS0360,2010-09-05,Trophy Lakes 6 Shooter 2
11W037R,USAW0473,2010-09-05,Shortline Lakes Record 2010
10ITA011,ITA1001,2010-09-05,Trofeo Topolino Internazionale
10ITA010,ITA1001,2010-09-05,Trofeo Topolino Nazionale
11C016R,USAC0004,2010-09-06,Ski Ranch Labor Day 2
10IWWF02,ITA0701,2010-09-07,IWWF OVER 35 CHAMPIONSHIPS
10CZE07,CZEKRENE,2010-09-11,Majstrovstv� �R a SR 2010
11M027L,USAM0172,2010-09-11,Silent Shores Fall 3 rd 2 evt
10FRA32,FRA5103,2010-09-11,Championnats de Ligue CHA
10FRA23,SUIBOURG,2010-09-11,Exo Cup
10FRA28,FRA7708,2010-09-11,Mastercraft Slalom Cup
10SWE48,SWE0305,2010-09-11,Scandic Cup
10GBR14,GBRPRINC,2010-09-11,McCann Memorial
10ESP05,ESPVENTA,2010-09-11,CAMPIONAT DE CATALUNYA 2010
11S039R,USAS0301,2010-09-12,John Meyer Memorial
11S032R,USAS0276,2010-09-12,Shortline Pan Am Challenge
10BEL11,BELHPS,2010-09-12,Slalom HPS Lac du Prince 2010
10UKR10,UKRSENTO,2010-09-12,Ukraine Open
11M047R,USAM0553,2010-09-12,Can-Am Team Invitational
10POL03,POLSZTO,2010-09-12,Polish National Championships 2010
11W065R,USAW0385,2010-09-12,Crystal Point 3 Event Record
11S079R,USAS0320,2010-09-12,Lake Louis the Second
10SUI06,SUIEURO,2010-09-18,Geneva Champs 2010
10POR02,PORSCQG,2010-09-18,Vertice Slalom
10FRA30,FRA3308,2010-09-18,Arcachon senior tour
10FRA63,FRA3106,2010-09-18,Challenge D�partemental Haute Garonne
10ESP06,ESPCANAL,2010-09-18,OPEN CANAL OLIMPIC
11M015L,USAM0159,2010-09-18,Sawmill Fall Record
10NED08,NEDROO,2010-09-18,benelux chmpionship
11W038R,USAW0406,2010-09-19,Diablo Shores Pro Am
11S033R,USAS0265,2010-09-19,Lymanland All American
11S019R,USAS0364,2010-09-19,Okeeheelee Slalom Jamboree
11C035L,USAC0002,2010-09-19,Cedar Creek Fall Record
10ITA012,ITAFISN1,2010-09-24,Trofeo Tomassini
10GRE08,GREPHELI,2010-09-25,Porto Heli Slalom Cup 2010
10SRB01,SRBBGADA,2010-09-25,Memorijal Mladen Parun
11S064R,USAS0378,2010-09-25,Hancock Team Tournament
10FRA24,FRA3804,2010-09-25,Championats de ligue R�h�ne Alpes
10FRA25,FRA3002,2010-09-25,Troph�e des Vendanges
10CZE08,CZEKRENE,2010-09-25,SPOLANA CUP 2010
10GRE09,GREPHELI,2010-09-25,Porto Heli Ververode Cup
11W053R,USAW0404,2010-09-26,Bell Acqua Record
11S031R,USAS0378,2010-09-26,OBrien Nautique Big Dawg
10ITA014,ITA00008,2010-10-01,Kli Trophy 2010
10FRA07,FRA0001,2010-10-01,Chpts de France Interligues
10FRA26,FRA4706,2010-10-02,Sport Center Slalom Cup
10ESP07,ESPVENTA,2010-10-02,Nice & Easy
10GRE11,GREPOROS,2010-10-02,Poros Cup 2010
10GRE10,GREPOROS,2010-10-02,Poros Cup Open 2010
11S047R,USAS0355,2010-10-03,Sunset Lakes Fall Classic
10MEX10,MEXGDLS1,2010-10-03,Mexico Nationals
10INA01,INA2010,2010-10-06,2010 IWWF AAO Championshps
ind01,ind2010,2010-10-06,2010 IWWF AAO Championships
10ITA016,ITA00012,2010-10-09,Senior Tour Final 2010
11S040R,USAS0360,2010-10-09,Fall Swerve
10ESP08,ESPSESEN,2010-10-09,Sesena International Slalom
11RSA01,RSA00010,2010-10-09,Piketberg Last Chance Open
10GRE13,GREALIAR,2010-10-09,3rd Greek Masters
11S048,USAS0001,2010-10-09,Rocketman Jump & Trick
11S048R,USAS0001,2010-10-10,Splasheye Rocketman Record
11C031R,USAC0071,2010-10-10,Tri-Lakes October Record
11S054R,USAS0275,2010-10-10,Swiss Fall Classic
11S023R,USAS0274,2010-10-10,Champions Lake International Fall Slalom
11S057,USAS0001,2010-10-16,Holy Cow Cup
10FRA45,FRA3310,2010-10-16,PDB Stars and Friends 2010
10FRA33,FRA0001,2010-10-16,Championnats de Ligue PACA
10ITA017,ITA00031,2010-10-16,Sicily International
11S057R,USAS0001,2010-10-17,Holy Cow Cup
11S083R,USAS0275,2010-10-17,Swiss Last Call
11S062R,USAS0306,2010-10-24,McCormick's October Fall Classic
11S085R,USAS0276,2010-10-24,Red Bar Belgian Cup
11W061R,USAW0395,2010-10-24,Adobe Ranch Fall Festival
11S086R,USAS0320,2010-10-24,Eddie Green Open
11S088,USAS0378,2010-10-25,Trick Jam 1
11S088R,USAS0378,2010-10-25,Trick Jam 1
11S089,USAS0378,2010-10-26,Trick Jam 2
11S089R,USAS0378,2010-10-26,Trick Jam 2
11S087,USAS0355,2010-10-28,Poochtacular 3
11S087R,USAS0355,2010-10-28,Poochtacular 3
11S015R,USAS0301,2010-10-30,Stillwater Lakes Year End Record
