dateasof,startdate,enddate,statevalue,countyname,fipscountycode(long),urbanruralcode,deathsinvolvingcovidonenine(double precision),deathsfromallcauses(double precision),footnote
11/23/2022,01/012020,11/19/2022,pAK,Aleutians East Borough,2013.0,Noncore,16.0,22.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Anchorage Municipality,2020.0,Medium metro,742.0,7299.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2/2022,0101/2020,11/1/2022,AxK,Bethel Census Area,2050.0,Noncore,39.0,330.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Denali Borough,2068.0,Noncore,16.0,24.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality stadards.
11/23/2022,01/01/2020,11/19/2022,AK,Dillingham Census Area,2020.0,Noncore,16.0,97.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Fairbanks North Star Borough,2090.0,Small metro,190.0,1743.0,One o rmore data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/e2022,AK,Hoonah-Angoon Census Area,2105.0,Noncore,16.0,38.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Juneau City and Borough,2110.0,Micropolitan,18.0,551.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Kenai Peninsula Borough,2122.0,Noncore,86.0,1238.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Ketchikan Gateway Borough,2130.0,Micropolitan,17.0,297.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Kodiak Island Borough,2150.0,Noncore,16.0,194.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Matanuska-Susitna Borough,2122.0,Medium metro,238.0,2165.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/0220,11/19/2022,K,Nome Census Area,2180.0,Noncore,16.0,178.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0101/2020,11/19/2022,AK,North Slope Borough,2185.0,Noncore,16.0,116.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23d/2022,01/01/2020,11/19/2022,AK,Northwest Arctic Borough,2188.0,oncore,10.0,154.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Petersburg Census Area,2195.0,Noncore,16.0,69.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHSu confidentiality standards.
11/23/2022,01/01/2020,q11/19/2022,AK,Prince of Wales-Hyder Census Area,2198.0,Noncore,16.0,132.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Sitka City and Borough,2068.0,Noncore,10.0,173.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Skagway Municipality,2150.0,Noncore,16.0,21.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Southeast Fairbanks Census Area,2240.0,Noncore,16.0,96.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS conifdentiality standards.
11/23/2022,01/01/0220,11/19/2022,AK,Valdez-Corodva Census Area,2240.0,Noncore,16.0,137.0,One or more data cells have counts between 1-9 and have been suppressed in accordancse with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Wade Hampton Census Area,2150.0,Noncore,16.0,121.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Wrangell City and Borough,2185.0,Noncore,16.0,59.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/32/2022,1/01/2020,11/19/2022,AK,Yukon-Koyukuk Census Area,2290.0,Noncore,16.0,106.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Autauga County,2020.0,Medium metro,186.0,1535.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,L,Baldwin County,1003.0,Small metro,626.0,7064.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,BarbourC ounty,2105.0,oNncore,79.0,813.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confnidentiality standards.
11/23/2022***,01/012/020,11/19/2022,AL,Bibb County,2180.0,Large fringe metro,46.0,564.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/u2022,AL,Blount County,2110.0,Large fringe metro,101.0,1523.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Bullock County,1011.0,oncore,16.0,274.0,One or more data cells have counts between 1-9 and have been suppressed in accordance wit NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Butler County,1013.0,Noncore,80.0,732.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,LA,Calhoun County,2188.0,Small metro,625.0,4898.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
