score_recent(long),date_recent,score_two(long),date_two,score_three(long),date_three,permitnumber(long),facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,premisename,premiseaddress,premisecity,premisestate,premisezip(long),openingdate,object_id(long)
90,2023/08/08 04:00:00+00,92,2023/06/02 00:00:00,92,2022/08/05 00:00:00,78411,467,SWIMMING AREA,191,SWIMMING POOL,WILLOWGATE,1311 BLACKTHORN RD,LOUISVILLE,KY,40299,2007/06/12 00:00:00,1
80,2023/09/18 04:00:00+00,67,2023/02/02 00:00:00,87,2022/12/14 00:00:00,78634,695,SWIMMING AREA,191,SWIMMING POOL,SPRING HILL SUITES LOU AIRPORT,820 PHILLIPS LANE,LOUISVILLE,KY,40209,2007/07/24 00:00:00,2
86,2023/07/25 04:00:00+00,90,2023/06/15 00:00:00,88,2022/08/09 00:00:00,99463,695,SWIMMING AREA,199,WADING POOL,LITTLE SPRING FARM,11600 VISTA CLUB DR,LOUISVILLE,KY,40291,2016/03/22 00:00:00,3
93,2023/08/22 04:00:00+00,94,2023/06/20 00:00:00,93,2022/08/04 00:00:00,78639,695,SWIMMING AREA,191,SWIMMING POOL,PARK LAKE APARTMENTS,7100 LEISURE LANE,LOUISVILLE,KY,40229,2007/07/24 00:00:00,4
94,2023/05/11 04:00:00+00,89,2022/05/05 00:00:00,97,2020/06/29 00:00:00,78766,363,SWIMMING AREA,191,SWIMMING POOL,HILTON GARDEN INN,9850 PARK PLAZA AVE,LOUISVILLE,KY,40241,2007/08/02 00:00:00,5
70,2023/01/25 05:00:00+00,89,2022/12/28 00:00:00,97,2022/04/25 00:00:00,78826,695,SWIMMING AREA,191,SWIMMING POOL,HOLIDAY INN LOU. AIRPORT SOUTH,6551 PARAMOUNT PARK,LOUISVILLE,KY,40213,2007/08/22 00:00:00,6
95,2023/06/16 04:00:00+00,94,2023/04/13 00:00:00,84,2023/03/13 00:00:00,93920,695,SWIMMING AREA,197,SPA,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,2013/09/25 00:00:00,7
91,2023/09/26 04:00:00+00,85,2023/02/01 00:00:00,86,2022/10/04 00:00:00,78986,648,SWIMMING AREA,191,SWIMMING POOL,HOLIDAY INN,447 FARMINGTON AVE,LOUISVILLE,KY,40209,2007/09/12 00:00:00,8
100,2023/08/04 04:00:00+00,93,2023/06/22 00:00:00,100,2022/08/29 00:00:00,99474,695,SWIMMING AREA,191,SWIMMING POOL,THE GROVE AT LYNDON,7716 SUNDANCE DR,LOUISVILLE,KY,40222,2007/08/31 00:00:00,9
95,2023/06/16 04:00:00+00,79,2023/04/13 00:00:00,82,2023/03/13 00:00:00,93922,695,SWIMMING AREA,191,SWIMMING POOL,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,2013/09/25 00:00:00,10
