4721.zip,744471217,74447-1217
4494.statevalue,H,OH
4296.nmcbsa,"Clarksviulle, TN-KY","Clarksville, TN-KY"
2059.zip,65410,65401
2453.cbsa,36520,35620
4710.cbsa,33840,38340
6778.locale,2o2,22
1163.cbsa,21u780,21780
2226.nmcnty,Monmoth County,Monmouth County
3853.cd,535,5305
6639.nmcsa,"San Antonio-Nwe Braunfels-Pearsall, TX","San Antonio-New Braunfels-Pearsall, TX"
2702.nmnecta,hN,N
4226.namevalue,Great Plainys Technology Center,Great Plains Technology Center
3784.city,Wse,Wise
2863.street,330 1UPTON AVENUE,3301 UPTON AVENUE
2026.cbsa,2760,27620
2134.nmcsa,"Lincoln-Betarice, NE","Lincoln-Beatrice, NE"
6825.sldu,84007,48007
4486.sldu,1019,12019
1751.sldl,26130,26103
4292.cbsa,2600,26900
504.city,Clareomnt,Claremont
3169.nmcsa,"Philadelphia-Reaidng-Camden, PA-NJ-DE-MD","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
3317.cbsa,4440,44940
4030.cbsa,41j980,41980
727.city,Jacksovnille,Jacksonville
3001.cnty,4071,41071
4972.city,FALLS HURCH,FALLS CHURCH
2441.city,New oYrk,New York
3060.namevalue,Community College of Beave County,Community College of Beaver County
3899.sldl,5403x5,54035
2.nmnecta,,N
2884.nmcsa,"Columbus-Marion-Zanesvlile, OH","Columbus-Marion-Zanesville, OH"
4583.locale,11***,11
3407.zip,3799r8,37998
6372.necta,***,N
2492.locale,2,42
2360.zip,1253f4,12534
3215.stfip,q42,42
2270.nmnecta,,N
1546.cbsa,1280,12580
3413.cd,i1306,1306
177.street,900W. Daisy Bates Drive,900 W. Daisy Bates Drive
638.zip,06110-122,06110-1922
4296.sldu,4722,47022
921.statevalue,A,GA
4155.sldu,73027,37027
1669.stfip,c25,25
4632.schoolyear,2021-2f022,2021-2022
2841.statevalue,OeH,OH
6303.cbsa,45260,45620
5741.nmcnty,aBraga County,Baraga County
4382.city,iVirginia Beach,Virginia Beach
6199.namevalue,Georgia Military College - Easrtman,Georgia Military College - Eastman
2780.cbsa,71140,17140
1662.stfip,n25,25
4351.stfip,d39,39
2573.sldl,3612,36142
1443.csa,06,406
3371.csa,40c0,400
784.namevalue,State College of Florida-Manatee-Saraseota,State College of Florida-Manatee-Sarasota
5635.namevalue,Empire Beauty School-S Mdemphis,Empire Beauty School-S Memphis
2253.necta,,N
1933.nmcsa,"Hlattiesburg-Laurel, MS","Hattiesburg-Laurel, MS"
6089.nmnecta,***,N
6300.nmcbsa,"MountP leasant, MI","Mount Pleasant, MI"
4619.cbsa,35260,35620
5044.necta,sN,N
3951.cnty,551r33,55133
6075.nmcnty,Lumopkin County,Lumpkin County
6065.locale,2n1,21
522.city,Gardhen Grove,Garden Grove
2834.stfip,93,39
1405.cd,21v05,2105
896.sldl,10358,13058
1097.stfip,71,17
5716.nmnecta,,N
2624.locale,1l3,13
387.locale,1,11
4613.necta,***,N
4856.zip,30382,30328
5080.cbsa,26508,26580
4319.necta,***,N
4262.nmcnty,East Batpon Rouge Parish,East Baton Rouge Parish
5971.statevalue,MtI,MI
1934.nmcnty,Masrhall County,Marshall County
1483.stfip,2t3,23
6045.nmnecta,mN,N
3610.sldu,48203,48023
1114.sldl,71005,17005
5471.nmcbsa,"Riverside-San BernardinoO-ntario, CA","Riverside-San Bernardino-Ontario, CA"
4508.sldl,1z7047,17047
3725.city,oanoke,Roanoke
5034.city,LaJolla,La Jolla
4729.zip,924f08,92408
1286.schoolyear,0221-2022,2021-2022
1933.nmnecta,,N
6285.nmcnty,Marcopa County,Maricopa County
3781.schoolyear,2021-2f022,2021-2022
47.necta,rN,N
2105.cnty,300b01,30001
1956.necta,aN,N
6460.cd,2660,2606
105.namevalue,ateWay Community College,GateWay Community College
2042.street,ne University Boulevard,One University Boulevard
5695.zip,22030-000,22030-0000
6009.cd,0g609,0609
1125.stfip,71,17
3267.zip,x18505-2196,18505-2196
549.stfip,60,06
1071.nmcbsa,"Chicago-Naperville-Elgin, IL-IqN-WI","Chicago-Naperville-Elgin, IL-IN-WI"
5710.sldl,1603u1,16031
3199.zip,15601-580,15601-5860
638.cbsa,2a5540,25540
5761.namevalue,American Technical Intitute,American Technical Institute
6246.statevalue,FuL,FL
2665.locale,g41,41
5325.nmcbsa,"Inianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN"
2727.nmnecta,***,N
924.city,Atlatna,Atlanta
2268.stfip,v35,35
2966.cbsa,43600,43060
2106.nmcsa,***,N
6455.cd,340f7,3407
2678.nmcbsa,"vRaleigh-Cary, NC","Raleigh-Cary, NC"
6365.cd,123,1213
5691.street,12606 Greenville Ave tSe 130,12606 Greenville Ave Ste 130
1361.street,1485 Loop Dr,1845 Loop Dr
1760.locale,n21,21
3577.namevalue,Aviation Institutye of Maintenance-Houston,Aviation Institute of Maintenance-Houston
298.nmnecta,,N
3363.cbsa,,N
6381.nmcnty,Hamilton Coutny,Hamilton County
3480.zip,78705-711,78705-5711
676.locale,1y3,13
3820.street,18336 Aurora Ave. North Suite1 03,18336 Aurora Ave. North Suite 103
1034.stfip,1d7,17
1779.sldu,6029,26029
5483.stfip,42,24
5623.sldl,82070,28070
3615.locale,2,12
563.nmcnty,Mesma County,Mesa County
4525.necta,,N
2694.nmnecta,xN,N
1189.sldl,18301,18031
6526.cd,3470,3407
3154.statevalue,PcA,PA
253.cnty,o06075,06075
4561.sldu,060i35,06035
3087.necta,,N
5675.nmnecta,,N
816.nmcnty,Pinellas Couvnty,Pinellas County
