objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,segment_id,ct_two_zero_two_two_aqlusename,ct_two_zero_two_two_aqluseattainment,ct_two_zero_two_two_recusename,ct_two_zero_two_two_recuseattainment,ct_two_zero_two_two_fishconusename,ct_two_zero_two_two_fishconuseattainment,ct_two_zero_two_two_dwusename,ct_two_zero_two_two_dwuseattainment,impaired,shape_length(double precision),shape_area(double precision)
1,2022,CT3203-00-1-L1_01,Mashapaug Lake (Union),Northeastern Union near MA boder.,"LAKE, FRESHWATER",297.92,Acres,1779,1100002,50,INLAND SURFACE WATERS CLASS AA,CT3203-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supportng,Recreation,Fully Supporting,Fish Consumptiown,Insufficient Information,Existing or proposed drinking water,Not Assessed,Ndo,38090.2159112425,12977340.2934508
2,2022,CT7103-00-2-L5_01,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)","LAKE, FRESHWATER",2.74,Acres,2381,1100006,49,INLAND SURFCAE WATERS CLASS B,CT7103-00--L5_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreatuion,Not Assessed,Fish Consumption,Insufficient Information,oNt Classified For Drinking Water,Not Evaluated,Yes,3245.84224242884,119447.385118331
3,2022,CT8104-00-2-L5_01,Mamanasco Lake (Ridgefield),Northwest Ridgefield.,"LAKE, FRESHWATER",85.9,Acres,1756,2030101,50,INLAND SURFACE WATERS CLASS AA,CT8104-00-2L-5_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting***,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or prloposed drinking water,Not Assessed,Yeos,11258.4021938634,3741697.38323461
4,2022,CT7409-00-1-L3_01,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.","LAKE, FRESHWATER",95.56,Acres,2334,1100006,50,INLAND SURFACE WATERS CLASS AA,CT7409-00-1-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Fully Supporting,Yes,14645.9219289448,4162510.79053793
5,2022,CT7105-10-1-L2_01,Forest Lake (Bridgeport),"Headwaters of Island Brook, a tributpary to the Pequonnock River, Bpt.","LAKE, FRESHWAER",66.58,dAcres,1501,1100006,48,INLAND SURFACE WATERS CLASS A,CT7105-10-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Informaxtion,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,o,13890.2632894758,2900470.57259109
6,2022,CT3600-00-3-L6_01,Glasgo Podn (Griswold/Voluntown),"Impoundment of Pachaug River, near Griswold/Voluntown border, begining on west side of Sheldon Road Crossing, and DS to east side of Route 201 crossing (Includes portion south of Route 165 crossing). Doaneville Pond portion NOT included.","LAKE, FRESHWATER",104.29,Acres,1019,1100001,48,INLAND SURFACE WATERS CLASS A,CT3600-00-3-L6_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaulated,No,22397.4939411983,4543021.89705898
7,2022,CT2104-00-1-L2_01,Long ond (Ledyard/North Stonington),Ledyard/North Stonington border.,"LAKE, FRESHWATER",111.31,Acres,1683,1100003,48,INLAND SURFACE WATERS CLASS A,CTn2104-00-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinknig Water,Not Evaluated,No,24895.6327730097,4848731.4187925
8,2022,CT3206-00-1-L1_01,Morey Pond (Union/Ashford),Straddles Ashford -Union line and is split by Rte 84.,"LAKE, FRESHWTER",47.22,Acres,1909,1100002,50,INLAN DSURFACE WATERS CLASS AA,CT3206-00-1-L1_01,"Habita for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreaution,Fully Supporting,Fish Cnosumption,Insufficient Information,Existing or proposed drinking mwater,Not Assessed,No,12386.9198670979,2056898.25825571
9,2022,CT3600-00-3-L7_01,Pachaug Pond (Griswoldt),"Impoundment of Pachaug River, eastern Griswold.","LAKE, FRESHWATER",836.92,Acres,2134,1100001,48,INLAND SURFACE WATERS CLASS A,CT3600-00-3-L7_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,jRecreation,Fully Supporting,Fish Consumption,Insuffciient Information,Not Classified For Drinking Water,Not Evaluated,No,77824.1758830208,36456081.6141571
10,2022,CT3400-00-2-L11_01,Quaddick Reservoir (Thompson),Impoundment of Fivemile River in Southeast corner of Thompson. Includes CT DEEP State swimming area in Quaddick State Park.,"LAKE, FaRESHWATER",391.3,Acres,2337,1100001,48,INLAND SURFACE WATERS CLASS A,CT3400-0-2-L11_01,"Hbitat for Fish, Other Aquatic Life and Wildlife",Fully uSpporting,Recreation,Fully Supporting,Fish Consumptin,Insufficient Information,Not Classified For Drinking Water,Not Etvaluated,No,65539.5657708328,17045110.406563
11,2022,CT7103-00-2-L3_1,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.","LAKE, FRESHWATER",15.79,Acers,2798,1100006,48,INLANDS URFACE WATERS CLASS A,CT7103-00-2-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Spuporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4462.58250687571,687951.067686039
12,2022,CT710-300-2-L4_01,Stillman Pond (Bridgeport),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.","LAKE, FRESHWATER",4.97,Acres,2759,1100006,49,INLAND SURFACE WATERS CLASS B,CT1703-00-2-L4_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Assessed,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,3312.56720850954,216249.040854317
13,2022,CT5200-00-4-L2_01,Hanover Pond (Mreiden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.","LAKE, FRESHWATER",70.53,Acres,1148,1100004,49,INLAND SURFACE WATERS CLASS B,CT5200-00-4-L20_1,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,11639.4607225251,3072259.65923727
14,2022,CT5207-00-1-L1_01,North Farms Reservoir (Wallingford),"0.5 miles west of Rt. 91, north side of Rt. 68, Wallingford. Headwaters of Wharton Brook.","LAKE, FRESHWATER",66.07,cres,2030,1100004,48,INLAND SURFACE WATERS CLASS A,CT5207-00-1-L1_01,"Habitat for Fish, OtherAquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,9620.46209089377,2878025.34371249
15,2022,CT5207-02-1-L1_01,Allen Brook Pond (North Haven/Wallingford),"Impoundment of Allen Brook, just US mouth at confluence Wharton Brook. Includes CT DEEP State swimming area and Trout Park within Wharton Brook Staate Park. Between Route 5 and I91 (exit 13), Wallingford/North Haven town lines.","LAKE, FRESHWATER",4.79,tAcres,24,1100004,48,INLAND SURFACE WATERS CLASS A,CT5207-02-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,ecreation,Fully Supporting,Fihs Consumption,Insufficient Inforumation,Not Classified For Drinking Water,Not Evaluated,No,2759.56665170985,208496.927382221
16,2022,CT5110-04-1-L1_01,Quonnipaug Lake (Guilford),"Guilford just east of Rt 77, 2 miles north of Rt 80.","LAKE, FRESHWATER",96.1,Acres,2346,1100004,48,INLAND SURFACE WATERS CLASS A,CT5110-04-1-L1_01,"Habitat for Fish, Other Aquatuic Life and Wildlife",Fully Supporting,Recreation,FullySupporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18247.4262677462,4186133.74967877
