Unnamed: 0,Tuition,URL,ZIP
Academy of Radio Broadcasting-Phoenix,,www.arbradio.com,85008
American Indian College of the Assemblies ...,$5515,www.aicag.edu,85021
American Institute of Technology,,www.ait-schools.com,85043
Apollo College-Phoenix Inc,,www.apollocollege.edu,85051
Apollo College-Westside,,www.apollocollege.edu,85017
Argosy University-Phoenix Campus,,www.argosyu.edu,85086
Arizona Board of Regents,,www.abor.asu.edu,85004
Artistic Beauty Colleges-Glendale,,,85051
Clinton Technical Institute-Motorcycle Mec...,,uticorp.com,85027
DeVry University-Arizona,$11200,www.devry.edu,85021
Everest College,$11205,www.everest.edu,85021
Gateway Community College,$5290,www.gwc.maricopa.edu,85034
Grand Canyon University,$14500,www.gcu.edu,85017
High-Tech Institute-Phoenix,,www.hightechschools.com,85014
International Institute of the Americas,,www.iia.edu,85019
International Institute of the Americas,,www.iia.edu,85033
Long Technical College,,www.longtechnicalcollege.com,85029
Long Technical College-East Valley,,www.lontechnicalcollege.com/,85006
Maricopa Skill Center,,www.gatewaycc.edu,85034
Metropolitan College,$6534,,85008
Mundus Institute,,www.mundusinstitute.com,85015
Ottawa University-Phoenix,,www.ottawa.edu,85021
Paradise Valley Community College,$5290,www.pvc.maricopa.edu,85032
Phoenix College,$5290,www.pc.maricopa.edu,85013
Refrigeration School Inc,,refrigerationschool.com,85034
Roberto-Venn School of Luthiery,$8500,www.roberto-venn.com,85040
South Mountain Community College,$5290,www.smc.maricopa.edu,85040
Southwestern Conservative Baptist Bible Co...,$11140,www.swcaz.edu,85032
The Art Institute of Phoenix,$17136,www.aipx.aii.edu,85021
The Bryman School,,www.thebrymanschool.edu,85029
University of Phoenix-Online Campus,$13200,online.uophx.edu,85034
University of Phoenix-Phoenix Campus,$9090,www.phoenix.edu/,85040
Western International University,,www.wintu.edu,85021
