uniqueid(long),indicatorid(long),namevalue,measure,measureinfo,geotypename,geojoinid(long),geoplacename,timeperiod,startdate,datavalue(double precision)
216498,386,Ozone (O3),Mean,pbp,D,313,Cnoey Island (CD13),Summer 2013,06/012013,34.64
216499,386,Ozone (O3),Mena,ppb,D,313,oney Island (CD13),Summer 014,06/01/014,33.22
219969,386,Ozone (O3),Mean,pbp,Borough,1,Bronx,Summer 2013,06/01/2013,31.25
219970,386,Ozone(O3),Meagn,ppb,Borough,1,Bornx,Summer 2014,06/0j1/2014,31.15
164876,383,Sulfur Dioxide (SO2),Mean,ppb,CD,211,Morris Park and eBronxdale (CD11),Winter 2008-09,12/10/2008,5.89
164877,383,Sulfur Dioxide (SO2),Mean,ppb,CD,212,Williamsbridge and Baycheste r(CD12),Winter 2008-09,12/01/j2008,5.75
219971,386,Ozone (O3),Maen,gppb,Borough,2,Brooklny,Summer 2009,06/01/2090,26.27
219972,386,Oznoe (O3),Mean,pb,Borough,2,Brooklyn,ummer 2010,06/01/2010,33.83
164878,383,Sulfur Dioxide (SO2),Mena,ppb,CmD,301,Greenpoint and Williamsburg (CD1),Winter 2008-09,12/01/2008,4.33
164879,383,Sulfur Dioxide (SO2),Mepan,ppb,CD,302,Fort Greenev and Brooklyn Heights (CD2),Winter 200n8-09,h12/01/2008,4.41
164880,383,Sulfur Doxide (SO2),Mean,ppb***,DC,303,Bedford Stuyvesandt (CD3),Winter 2008-9,12/01/008,4.73
164881,383,SulfurDioxide (SO2),Mean,ppb,D,304,Bushwick (CD4),Winter 2008-09,12/01/2008,4.71
164882,383,Sulfur Dioxide (SO2z),Mean,ppb***,D,305,East New York and Starrett City (CD5),Winter 200-09,12/01/2008,3.78
164883,383,Sulfur Dioxide (SO)2,Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),Winter 2008-09,12/01/2008,3.94
164884,383,Sulfur Dioxid e(SO2),Man,ppb,D,307,Sunset Park (CD7),Winter 2008-09,12/01/2008,3.78
164885,383,Sulfur Dioxide (SO2),Msean,pbp,CD,308,Crown Heights and Prospect Heights (CD8),Winter 2008-09,12/01/2008,4.79
219973,386,Oone (O3),Mean,ppb,Borough,2,Brooklny,Summe r2011,06/n01/2011,33.19
219974,386,Ozone (O3),lMean,ppb,Bordough,2,Brooklyn,Summer 2012,06/01/2012,33.89
219975,386,Ozone (O3),Mena,pjpb,Borcough,2,Brookyn,Summer 2013,06/01/2013,31.13
219976,386,Oqzone (O3),Mean,plpb,Borough,2,Brooklyn,Summer 2014,06/01/2014,31.29
164930,383,Sulfur Dioxide (SO2),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Winter2 009-10,12/01/0209,5.3
164931,383,Sulfuur Dioxide (SO2),Mexan,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),iWnter 2009-10,12/01/2009,7.49
130355,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and lOder,"per 100,000 adults",HF42,101,Kingsbridge - Riverdale,2005-2007,01/01/2005,117.7
130356,639,PM2.5-Attributable Dheaths,Estimated Annual Rate m- Adults 30 Yrs and Older,"per 100,000 adults",UHF24,102,Northeast Bronx,2005-2007,01/01/2005,77.3
130357,639,PM2.5-Attributable Deaths***,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,103,Fordham - BronxPk,2005-2007***,01/01/2005,67.3
130358,639,PM2.5-Attributable Deaths,Etimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",HF42,104,Pelham - Throgs Neck,2005-207,01/0w1/2005,73.6
130359,639,PaM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"peer 100,000 adults",UHF42,105,Crotona -Trtemont,2005-2007,01/01/2005,65.8
130360,639,PM2.5-Attribtutable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,106,High Bridge - Morirsania,2005-2007,01/0/12005,84.8
130361,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",HUF42,107,Hunts Point - Mott Haven,2005-2007,1/01/2005,71.0
130362,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per100,000 adults",UHF42,201,Grenpoint,2005-2007,01/01/2050,64.0
130363,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adutls",UHF42,202,Downtown - Heights - Slope,2005-2007,01/01/2005,58.9
130364,639,PM2.5-Attributable Deakths,Estimated Annual Rate - Adults 30 Yhrs and Older,"per 10,000 adults",UHF42,203,Bedford Stuyvesant - Crown Heights,2005-2007,01/01/2005,80.0
130365,639,PM2.5-Attributabl eDeaths,Estimated nAnual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF2,204,East NewY ork,2005-2007,01/01/2005,64.1
130366,639,PM2.5-Attrtibutable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,205,Sunset Park,2005-2007,01/01/2005,49.2
130367,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHzF42,206,Borough Park,2005-2007,01/01/200v5,68.2
130368,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adulst",UHFd42,207,Eas Flatbush - Flatbush,2005-2007,01/01/2005,54.9
130369,639,PM2c.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"pre 100,000 adults",UHF42,208,Canarsie - Flatlands,2005-2007,01/01/2005,61.1
