datevalue,department,total
Jan-18,Ambulatory Surgery,182872.0
Feb-18,Ambulatory Surgery,170523.0
Mar-18,Ambulatory Surgery,191088.0
Apr-18,Ambulatory Surgery,183092.0
May-18,Ambulatory Surgery,191622.0
Jun-18,Ambulatory Surgery,182260.0
Jul-18,Ambulatory Surgery,181135.0
Aug-18,Ambulatory Surgery,197343.0
Sep-18,Ambulatory Surgery,166815.0
Oct-18,Ambulatory Surgery,199588.0
Nov-18,Ambulatory Surgery,181177.0
Dec-18,Ambulatory Surgery,164379.0
Jan-19,Ambulatory Surgery,186419.0
Feb-19,Ambulatory Surgery,171492.0
Mar-19,Ambulatory Surgery,184998.0
Apr-19,Ambulatory Surgery,193346.0
May-19,Ambulatory Surgery,194723.0
Jun-19,Ambulatory Surgery,176536.0
Jul-19,Ambulatory Surgery,192843.0
Aug-19,Ambulatory Surgery,196047.0
Sep-19,Ambulatory Surgery,178476.0
Oct-19,Ambulatory Surgery,202492.0
Nov-19,Ambulatory Surgery,176948.0
Dec-19,Ambulatory Surgery,176842.0
Jan-20,Ambulatory Surgery,189291.0
Feb-20,Ambulatory Surgery,176073.0
Mar-20,Ambulatory Surgery,131156.0
Apr-20,Ambulatory Surgery,55854.0
May-20,Ambulatory Surgery,109270.0
Jun-20,Ambulatory Surgery,164010.0
Jul-20,Ambulatory Surgery,173875.0
Aug-20,Ambulatory Surgery,167474.0
Sep-20,Ambulatory Surgery,178119.0
Oct-20,Ambulatory Surgery,192317.0
Nov-20,Ambulatory Surgery,168939.0
Dec-20,Ambulatory Surgery,155273.0
Jan-18,Discharges,336996.0
Feb-18,Discharges,301755.0
Mar-18,Discharges,337566.0
Apr-18,Discharges,310311.0
May-18,Discharges,319590.0
Jun-18,Discharges,310443.0
Jul-18,Discharges,318073.0
Aug-18,Discharges,328431.0
Sep-18,Discharges,309142.0
Oct-18,Discharges,319460.0
Nov-18,Discharges,309704.0
Dec-18,Discharges,317910.0
Jan-19,Discharges,327529.0
Feb-19,Discharges,301957.0
Mar-19,Discharges,338073.0
Apr-19,Discharges,315874.0
May-19,Discharges,324415.0
Jun-19,Discharges,310427.0
Jul-19,Discharges,320186.0
Aug-19,Discharges,326496.0
Sep-19,Discharges,311873.0
Oct-19,Discharges,326412.0
Nov-19,Discharges,308328.0
Dec-19,Discharges,315630.0
Jan-20,Discharges,330611.0
Feb-20,Discharges,309389.0
Mar-20,Discharges,290152.0
Apr-20,Discharges,228516.0
May-20,Discharges,264281.0
Jun-20,Discharges,277627.0
Jul-20,Discharges,293871.0
Aug-20,Discharges,291716.0
Sep-20,Discharges,287515.0
Oct-20,Discharges,298643.0
Nov-20,Discharges,281171.0
Dec-20,Discharges,291039.0
Jan-18,Emergency Dept,1180891.0
Feb-18,Emergency Dept,1041630.0
Mar-18,Emergency Dept,1105322.0
Apr-18,Emergency Dept,1041583.0
May-18,Emergency Dept,1066387.0
Jun-18,Emergency Dept,1003970.0
Jul-18,Emergency Dept,1051312.0
Aug-18,Emergency Dept,1052114.0
Sep-18,Emergency Dept,1026492.0
Oct-18,Emergency Dept,1036292.0
Nov-18,Emergency Dept,1009629.0
Dec-18,Emergency Dept,1044811.0
Jan-19,Emergency Dept,1087469.0
Feb-19,Emergency Dept,1012950.0
Mar-19,Emergency Dept,1166923.0
Apr-19,Emergency Dept,1074056.0
May-19,Emergency Dept,1076205.0
Jun-19,Emergency Dept,1031541.0
Jul-19,Emergency Dept,1067222.0
Aug-19,Emergency Dept,1071170.0
Sep-19,Emergency Dept,1064621.0
Oct-19,Emergency Dept,1066254.0
Nov-19,Emergency Dept,1036662.0
Dec-19,Emergency Dept,1092237.0
Jan-20,Emergency Dept,1181001.0
Feb-20,Emergency Dept,1091040.0
Mar-20,Emergency Dept,878670.0
Apr-20,Emergency Dept,542142.0
May-20,Emergency Dept,681007.0
Jun-20,Emergency Dept,766684.0
Jul-20,Emergency Dept,845359.0
Aug-20,Emergency Dept,814071.0
Sep-20,Emergency Dept,800010.0
Oct-20,Emergency Dept,830640.0
Nov-20,Emergency Dept,792383.0
Dec-20,Emergency Dept,800844.0
