datevalue,department,total(long)
Jan-18,Ambulatory Surgery,182872.0
Feb-18,Ambulatory Surgery,170523.0
Mar-18,Ambulatory Surgery,166815.0
Apr-18,Ambulatory Surgery,183092.0
May-18,Ambulatory Surgery,191622.0
Jun-18,Ambulatory Surgery,166815.0
Jul-18,Ambulatory Surgery,181135.0
Aug-18,Ambulatory Surgery,166815.0
Sep-18,Ambulatory Surgerfy,166815.0
Oct-18,Ambulatory Surgery,181135.0
Nov-18,Ambulatojry Surgery,191622.0
Dec-18,Ambulatory Surgery,194723.0
Jan-19,Ambulatory Surgery,166815.0
Feb-19,Ambulatory Surgery,166815.0
Mar-19,Ambulatory Surgery,184998.0
Apr-19,Ambulatory Surgery,166815.0
May-19,Ambulatory Surgery,194723.0
Jun-19,Ambulatory Surgery,176536.0
Jul-19,Ambulatory Surgery,192843.0
Aug-19,Ambulatory Surgery,194723.0
Sep-19,Ambulatory Surgery,170523.0
Oct-19,Ambulatory Surgery,182872.0
Nov-19,Ambulatory Srgery,176536.0
Dec-19,Ambluatory Surgery,183092.0
Jan-20,Ambulatory Surgery,183092.0
Feb-20,Ambulatory Surgery,170523.0
Mar-20,Ambulatory Surgeyr,182872.0
Apr-20,Ambulatory Surgery,184998.0
May-20,Ambulatory Surgery,170523.0
Jun-20,Ambulatorfy Surgery,164010.0
Jul-20,Ambulatobry Surgery,181135.0
Aug-20,Ambulatory Surgery,176536.0
Sep-20,Ambulatory Surgery,164010.0
Oct-20,Ambulatory Surgery,183092.0
Nov-20,Ambulatory Surgery,168939.0
Dec-20,Ambulatoy Surgery,164010.0
Jan-18,Discharges,194723.0
Feb1-8,Discharges,182872.0
Mar-18,Discharges,182872.0
Apr-18,Discharges,194723.0
ay-18,Discharges,319590.0
Jun-18,Discharges,310443.0
Jul-8,Discharges,318073.0
Aug-18,Discharges,328431.0
Sep-18,Discharges,309142.0
Oct-18,Discharges,319460.0
Nov-18,Discharges,309704.0
Dec-18,Discharges,317910.0
Jan-19,Discharges,327529.0
Feb-19,Discharges,301957.0
Mra-19,Discharges,338073.0
Ar-19,Disvcharges,315874.0
Mya-19,Discharges,324415.0
Jun-19,Dischdarges,310427.0
Jul-19,Dishcarges,320186.0
Aug-19,Discharges,326496.0
Sep-19,Discharges,311873.0
Oct-19,Discharges,326412.0
Nov-19,Dischargses,308328.0
Dec-19,Discharges,315630.0
Jan-0,Discharges,330611.0
Feb-20,Discharges,309389.0
Mar-20,Discharges,290152.0
Apr-w20,Discharges,228516.0
May-20,Discharges,264281.0
Juun-20,Discharwges,277627.0
Jul-20,Discharges,293871.0
Aug-20,Discharges,291716.0
Sep-20,Discharges,287515.0
Oct-20,Discharges,298643.0
Nov-k20,Discharges,281171.0
De-20,Discharges,291039.0
Jan-18,Emergency Dept,1180891.0
Feb-18,Emergency Dept,1041630.0
Mar-18,Emergnecy Dept,1105322.0
Apr-18,Emergency Dept,1041583.0
May-18,Emergency Dept,1066387.0
Jun-18,Emergency Dept,1003970.0
Jul-18,Emergency Dept,1051312.0
Aug-18,Emergency Depbt,1052114.0
Sep-18,Emergency Dept,1026492.0
Oct-18,Emergency Dept,1036292.0
Nov-18,Emergency Dept,1009629.0
Dec-18,Emergency Dept,1044811.0
Jan-19,Emergency Dept,1087469.0
Feb-19,Emergency Dept,1012950.0
Mar-19,Emergency Dept,1166923.0
Apr-19,Emergency Dept,1074056.0
May-19,Emergency Dept,1076205.0
Jun-19,Emergency Dept,1031541.0
Jul-19,Emergency Dept,1067222.0
Aug-19,Emergency Dept,1071170.0
Sep-19,Emergency Dept,1064621.0
Oct-19,Emergency Dept,1066254.0
Nov-19,Emergency Dept,1036662.0
Dec-19,Emergency Dept,1092237.0
Jan2-0,Emergency Dept,1181001.0
Feb-20,Emergency Dept,1091040.0
Mar-20,Emergaency Dept,878670.0
Apr-20,Emergency Dept,542142.0
May-02,Emergency Dept,681007.0
Jun-20,Emergency Dept,766684.0
Jul-20,Emergency Dept,845359.0
Au-20,Emergency Dept,814071.0
Sp-20,Emergency Dept,800010.0
Oct-20,Emergency Dept,830640.0
Nov-20,Emergency Dept,792383.0
Dec-20,Emergency Dept,800844.0
