0,1,2
ERKEK,KADIN,GENEL
Medicana * 40 Yaş Altı Erkek Check-up,Medicana * 40 Yaş Altı Kadın Check-up,Medicana * Ekonomik Check-up
Check-up Muayene,Check-up Muayene,Check-up Muayene
Açlık Kan Şekeri,Kadın Hastalıklar Muayene,Açlık Kan Şekeri
Albumin,Açlık Kan Şekeri,ALT (SGPT)
Alkalen fosfataz (ALP),Albumin,HDL- Kolesterol
ALT (SGPT),Alkalen fosfataz (ALP),Kan sayımı
Anti-HBs,ALT (SGPT),Kreatinin
Anti-HCV,Anti-HBs,LDL-Kolesterol
AST(SGOT),Anti-HCV,Sedimentasyon 1h
CRP,AST(SGOT),Tam idrar analizi
Gamma-Glutamyl Transferaz (GGT),CRP,Total Kolesterol
HBs Ag,Gamma-Glutamyl Transferaz (GGT),Akciğer grafisi P.A. (tek yön)
HDL- Kolesterol,HBs Ag,Elektrokardiyogram (EKG)
HIV Ag/Ab Combo,HDL- Kolesterol,
Kan sayımı,HIV Ag/Ab Combo,
Kreatinin,Kan saym,Medicana * Standart Check-up
LDH,Kreatinin,Check-up Muayene
LDL-Kolesterol,LDH,Açlık Kan Şekeri
Sedimentasyon 1h,LDL-Kolesterol,Alkalen fosfataz (ALP)
Tam idrar analizi,Sedimentasyon 1h,ALT (SGPT)
Total Kolesterol,Tam idrar analizi,Anti-HBs
Trigliserid,Total Kolesterol,AST(SGOT)
TSH,Trigliserid,HBs Ag
Üre,TSH,HDL- Kolesterol
Ürik asit,Üre,Kan sayımı
Elektrokardiyogram (EKG),Ürik asit,Kreatinin
Akciğer grafisi P.A. (tek yön),Servikal veya vajinal sitoloji yayma preparatlar (PAP smear) ile,LDL-Kolesterol
Tüm abdomen US,Akciğer grafisi P.A. (tek yön),Sedimentasyon 1h
,Elektrokardiyogram (EKG),Serbest T4 (FT4)
,Tüm abdomen US,Tam idrar analizi
Medicana * Yönetici Erkek Check-up,,Total Kolesterol
Check-up Muayene,,Trigliserid
Üroloji Muayene,Medicana * Yönetici Kadın Check-up,TSH
Göz Muayene,Check-up Muayene,Üre
Kardiyoloji Muayene,Kadın Hastalıklar Muayene,Ürik asit
Açlık Kan Şekeri,Kardiyoloji Muayene,Akciğer grafisi P.A. (tek yön)
Albumin,Göz Muayene,Elektrokardiyogram (EKG)
Alkalen fosfataz (ALP),Açlık Kan Şekeri,Tüm abdomen US
ALT (SGPT),Albumin,
Anti-HBs,Alkalen fosfataz (ALP),
Anti-HCV,ALT (SGPT),
AST(SGOT),Anti-HBs,
Gamma-Glutamyl Transferaz (GGT),Anti-HCV,Medicana * Okul Çağı Sağlık Taraması (Junior Check-up)
HbA1C,AST(SGOT),Poliklinik muayene (Çocuk Hastalıkları)
HBs Ag,Ferritin,Poliklinik muayene (Göz Hastalıkları)
HDL- Kolesterol,Gamma-Glutamyl Transferaz (GGT),Poliklinik muayene (KBB)
HIV Ag/Ab Combo,HbA1C,Poliklinik muayene (Diş ve Ağız Sağlığı)
Kan sayımı,HBs Ag,Poliklinik muayene (Çocuk Kardiyolojisi)
Kreatinin,HDL- Kolesterol,Kan sayımı
LDH,HIV Ag/Ab Combo,Açlık Kan Şekeri
LDL-Kolesterol,Kalsiyum (Total),Üre
PSA serbest,Kalsiyum (Total),Kreatinin
PSA total,Kan saym,ALT
Sedimentasyon 1h,Kreatinin,AST
Serbest T3 (FT3),LDH,Potasyum
Serbest T4 (FT4),LDL-Kolesterol,Na
Tam idrar analizi,Serbest T3 (FT3),Ca
Total Kolesterol,Serbest T4 (FT4),İdrar Kültürü
Trigliserid,Tam idrar analizi,Gaitada Parazit Aranmas
TSH,Total Kolesterol,Tam idrar analizi
Üre,Trigliserid,Transtorasik Ekokardiyografi
Ürik asit,TSH,Tüm abdomen US
Akciğer grafisi P.A. (tek yön),Üre,
Elektrokardiyogram (EKG),Ürik asit,Medicana * Kardiyoloji Check-up
Transtorasik Ekokardiyografi,Vitamin B12,Kardiyoloji Muayene
Kardiyovasküler Efor Testi,Servikal veya vajinal sitoloji yayma preparatlar (PAP smear) ile,Açlık Kan Şekeri
Tüm abdomen US,Mamografi (iki tarafl),CRP
,Meme US (bilateral),HDL- Kolesterol
,Tüm abdomen US,Homosistein
Medicana * 40 Yaş Üstü Erkek Check-up,Akciğer grafisi P.A. (tek yön),Kan sayımı
Check-up Muayene,Elektrokardiyogram (EKG),Kreatin kinaz (CK)
Üroloji Muayene,Transtorasik Ekokardiyografi,Kreatin kinaz-MB (CK-MB)
Kardiyoloji Muayene,Kardiyovasküler Efor Testi,Kreatinin
Göz Muayene,,LDL-Kolesterol
Açlk Kan Şekeri,,Sedimentasyon 1h
Albumin,Medicana * 40 Yaş Üstü Kadın Check-up,Total Kolesterol
Alkalen fosfataz (ALP),Check-up Muayene,Trigliserid
ALT (SGPT),Kadın Hastalklar Muayene,TSH
Anti-HBs,Kardiyoloji Muayene,Üre
Anti-HCV,Göz Muayene,Elektrokardiyogram (EKG)
aPTT,Açlk Kan Şekeri,Transtorasik ekokardiyografi
AST(SGOT),Albumin,Kardiyovasküler stres test
CRP,Alkalen fosfataz (ALP),
Gaitada gizli kan,ALT (SGPT),
Gamma-Glutamyl Transferaz (GGT),Anti-HBs,Medicana * Kardiyoloji Check-up (Koroner BT Anjio İlaveli)
HbA1C,Anti-HCV,Kardiyoloji Muayene
