OBJECTID,NAMELSAD,Percent_of_population_with_a_di,Percent_of_population_with_a_he,Percent_of_population_with_a_vi,Percent_of_population_with_a_co,Percent_of_population_with_an_a,Percent_of_population_with_a_se,Percent_of_population_with_an_i,City,Shape__Area,Shape__Length
1,Census Tract 8100,5.3,1.5,0.9,1.9,1.9,0.6,0.4,Tempe,29927931.9466553,27935.8476574031
2,Census Tract 8101,6.8,1.8,0.9,2.6,3,2,3.1,Tempe,55493834.5514526,41937.6501215206
3,Census Tract 8103,9,3.8,2.2,1.7,4.9,0.3,2,Chandler,27595092.6945801,21171.9569646148
4,Census Tract 8104,7,1,0.8,3.2,1.8,0.8,1.7,Chandler,58446007.3277588,37438.7513553466
5,Census Tract 8105,8,2.8,4.8,2.1,4.1,1,3.3,Chandler,31551125.9501953,23795.5790532326
6,Census Tract 8106,6,1.3,0.5,1.3,3.9,1.7,3.2,Chandler,38331250.6889038,26516.1748299071
7,Census Tract 3197.10,19,4,3.1,11.6,7.8,3.1,3.4,Tempe,65506564.1577148,42080.1897892385
8,Census Tract 3190.01,4.6,0,0.3,3.3,0.3,0,1.4,Tempe,10236764.3191528,13193.8513569214
9,Census Tract 1167.38,9,3.7,3,2.8,2.6,1.8,2.6,Phoenix,57145345.6504517,56220.6321628928
10,Census Tract 3197.08,21.2,4.7,6.5,6.7,13.8,0.4,6.4,Tempe,21917801.8861694,22911.3870046425
11,Census Tract 4222.27,8.5,2.1,1.7,3.3,2.3,1.4,2.7,Mesa,12828212.6981812,15370.1627395272
12,Census Tract 3190.02,2.1,0.6,0,0.9,0.7,0.1,0.3,Tempe,17622649.5286255,21785.9883780308
13,Census Tract 3198.01,14.4,2.3,4.5,6.6,6,0,5.3,Tempe,13290819.2783203,15343.1825431724
14,Census Tract 3198.02,3,0.7,0.5,1.4,1.3,0.5,1.5,Tempe,14156858.6065063,15926.9851297517
15,Census Tract 1138,8.4,5.2,1.9,5.4,2.9,1.8,3,Phoenix,194921550.91449,63992.6398358492
16,Census Tract 4212.02,9.2,2.1,1,4.3,6.5,1.6,5.2,Mesa,16343596.5223389,19281.0273586181
17,Census Tract 3199.02,10.4,4.7,2.1,2.9,6.8,3.1,4.8,Tempe,27914622.9959717,21130.343946428
18,Census Tract 3199.03,11.8,6.4,2.3,2.4,5.4,0.8,3.2,Tempe,28758171.1015015,22009.2204308038
19,Census Tract 3199.04,7.9,2,0.5,1.7,4.2,2.1,3.4,Tempe,27959231.421936,20940.334611157
20,Census Tract 3199.05,8.4,1.9,1.3,4,4.8,2,2.1,Tempe,28140126.2286377,21203.2376594988
21,Census Tract 3199.06,6.7,2.1,0.5,1.3,3.2,1.7,2.4,Tempe,27320806.2979126,21111.8813291064
22,Census Tract 3199.10,5.9,2.5,0,1.6,3.7,1.3,2.3,Tempe,71803854.5217896,37824.5407794677
23,Census Tract 3200.01,10.6,0.9,7.4,4,1,0.9,0.6,Tempe,32814411.1715698,29023.0554362589
24,Census Tract 3199.08,5.6,2.1,0.8,0.9,3.2,1,2.3,Tempe,27862738.8483276,21101.4833862597
25,Census Tract 3199.09,9.6,2.8,0.4,3,4.9,1.7,3.2,Tempe,28462849.8683472,21326.2233823051
26,Census Tract 3200.07,14.3,1.2,1.4,8.4,4,0.7,3.2,Tempe,22186854.4934692,19803.0502296977
27,Census Tract 1152,4.8,0,0.2,3,1.8,1.4,2.2,Phoenix,78198937.1694946,41155.2678667775
28,Census Tract 1162.02,11,2.5,0.8,5.4,6,3.6,4.4,Phoenix,15649986.8012695,16780.6655695962
29,Census Tract 2180,11,4.3,3.3,1.9,4.2,2.2,3.2,Scottsdale,28271814.6586914,21258.3393836072
30,Census Tract 2183,10,2.4,3.8,2.1,5.8,3.5,3.8,Scottsdale,24115584.4991455,21028.8475123818
31,Census Tract 8102,8.7,2.3,2,3.3,2.5,1,1.8,Chandler,13955537.4269409,15879.804045677
32,Census Tract 1162.04,8,1,1.1,4,2.4,1.3,2.9,Phoenix,27613828.4667358,21024.2932790776
33,Census Tract 1162.05,8.4,2.6,1.9,2.3,3.6,0.7,1.5,Phoenix,12434664.1566162,15665.7717739233
34,Census Tract 3184,11.1,2.5,3.2,5.2,4.4,1.5,3.5,Tempe,87937379.6088867,47888.9575699405
35,Census Tract 3187,6.7,0.7,2,3.1,2.4,2.1,1.8,Tempe,26363290.491333,21051.8811438211
36,Census Tract 1167.08,20.4,9.3,4.2,7.4,8.1,0.5,0.9,Phoenix,36246623.217041,22674.723784341
37,Census Tract 1167.09,3.7,0.5,1.5,0.5,1.4,0.1,0.3,Phoenix,11699354.2033691,15267.540803626
38,Census Tract 1167.17,8.9,0.6,1.5,2.5,3.4,4.4,3.7,Phoenix,11556852.4810181,15095.773035252
39,Census Tract 3193,15.3,9,2.9,3.4,10.1,1,4.4,Tempe,11764585.7858276,17170.5496509198
40,Census Tract 3194.01,12.5,3.1,3.3,6.9,4.8,3.5,3.6,Tempe,28771553.7687988,21983.6827266161
41,Census Tract 3194.02,13.9,3,2.6,6,7,2.3,4.8,Tempe,28212223.7845459,20979.7179480112
42,Census Tract 2181,6.6,1.2,0.6,2.1,3.9,2.5,2,Scottsdale,10473438.625,13159.9793794995
43,Census Tract 3199.07,15.4,6.2,2.6,3.2,9.5,6.7,8.3,Tempe,27802122.7484741,21111.7145017241
44,Census Tract 9413,23.9,9.2,3,5.8,12.6,4,11.9,Unincorporated Maricopa County,2369341435.16705,259565.935776209
45,Census Tract 2182,12.8,0.2,1.8,4.7,9.1,2.9,4.7,Scottsdale,27827176.0415649,21093.9268661699
46,Census Tract 3185.01,16.4,5.8,2.2,5.5,4.3,1.4,5.3,Tempe,14180941.0993042,18761.0131847842
47,Census Tract 3200.02,17.5,1,4.3,8.6,8.8,4.6,8.9,Guadalupe,22270621.4349976,22202.4651987452
