Vote,Party,Representative,District,Score
Yea,D,"Borski, Robert",PA 3rd,0.284747602715
Yea,D,"Coyne, William",PA 14th,0.285776139799
Yea,D,"Clement, Robert",TN 5th,0.483978658161
Yea,D,"Bentsen, Ken",TX 25th,0.384426609994
Yea,D,"Barrett, Thomas",WI 5th,0.225166737484
Yea,D,"Wexler, Robert",FL 19th,0.254197268829
Yea,D,"Woolsey, Lynn",CA 6th,0.122635885805
Yea,D,"Wu, David",OR 1st,0.319638614224
Yea,D,"Maloney, James",CT 5th,0.367348381064
Yea,D,"Thurman, Karen",FL 5th,0.397530637342
Yea,D,"Meek, Carrie",FL 17th,0.190290626788
Yea,D,"McKinney, Cynthia",GA 4th,0.158270649298
Yea,D,"Phelps, David",IL 19th,0.456938593012
Yea,D,"Roemer, Timothy",IN 3rd,0.483353604193
Yea,D,"Schakowsky, Jan",IL 9th,0.0680877361465
Yea,D,"Schiff, Adam",CA 27th,0.37317130442
Yea,D,"Scott, Bobby",VA 3rd,0.240905855525
Yea,D,"Serrano, José",NY 16th,0.115522264644
Yea,D,"Sherman, Brad",CA 24th,0.320589836031
Yea,D,"Wynn, Albert",MD 4th,0.215717534363
Yea,D,"Hilliard, Earl",AL 7th,0.243267551731
Yea,D,"Condit, Gary",CA 18th,0.596307252092
Yea,D,"Visclosky, Peter",IN 1st,0.402479476023
Yea,D,"Waters, Maxine",CA 35th,0.119602788314
Yea,D,"Watson, Diane",CA 32nd,0.305061022359
Yea,D,"Watt, Mel",NC 12th,0.269842054981
Yea,D,"Waxman, Henry",CA 29th,0.0742664853904
Yea,D,"Weiner, Anthony",NY 9th,0.229719240817
Yea,D,"Snyder, Vic",AR 2nd,0.451102952944
Yea,D,"Solis, Hilda",CA 31st,0.230999784283
Yea,D,"Spratt, John",SC 5th,0.462427095715
Yea,D,"Stark, Pete",CA 13th,0.0595567116409
Yea,D,"Stenholm, Charles",TX 17th,0.672052486052
Yea,D,"Strickland, Ted",OH 6th,0.37738746228
Yea,D,"Stupak, Bart",MI 1st,0.427175745642
Yea,D,"Tierney, John",MA 6th,0.151841748903
Yea,D,"Towns, Ed",NY 10th,0.18782302722
Yea,D,"Turner, Jim",TX 2nd,0.549851086588
Yea,D,"Udall, Mark",CO 2nd,0.373893245536
Yea,D,"Udall, Tom",NM 3rd,0.34907896434
Yea,D,"Velázquez, Nydia",NY 12th,0.186662385012
Yea,D,"Tanner, John",TN 8th,0.61047369481
Yea,D,"Tauscher, Ellen",CA 10th,0.323127161417
Yea,D,"Taylor, Gene",MS 5th,0.240905855525
Yea,D,"Thompson, Bennie",MS 2nd,0.207881298393
Yea,D,"Thompson, Mike",CA 1st,0.400677227125
Yea,D,"Roybal-Allard, Lucille",CA 33rd,0.135264080189
Yea,D,"Rush, Bobby",IL 1st,0.163752370706
Yea,D,"Sabo, Martin",MN 5th,0.28978071778
Yea,D,"Sanchez, Loretta",CA 46th,0.304885942573
Yea,D,"Sandlin, Max",TX 1st,0.409443207968
Yea,D,"Baldacci, John",ME 2nd,0.340826824334
Yea,D,"Barcia, James",MI 5th,0.633730112103
Yea,D,"Bonior, David",MI 10th,0.0761610812864
Yea,D,"Rivers, Lynn",MI 13th,0.232773113444
Yea,D,"Luther, William",MN 6th,0.319518483736
Yea,D,"Shows, Ronnie",MS 4th,0.617312043569
Yea,D,"Clayton, Eva",NC 1st,0.246122238373
Yea,D,"Skelton, Ike",MO 4th,0.515442185768
Yea,D,"Slaughter, Louise",NY 28th,0.168110324287
Yea,D,"Smith, Adam",WA 9th,0.240905855525
Yea,D,"Capps, Lois",CA 22nd,0.295079253421
Yea,D,"Capuano, Michael",MA 8th,0.212537891856
Yea,D,"Cardin, Benjamin",MD 3rd,0.374757109697
Yea,D,"Carson, Brad",OK 2nd,0.446369421391
Yea,D,"Carson, Julia",IN 10th,0.130780691894
Yea,D,"Clay, Lacy",MO 1st,0.240905855525
Yea,D,"Clyburn, Jim",SC 6th,0.327812049859
Yea,D,"Costello, Jerry",IL 12th,0.402887039226
Yea,D,"Cramer, Bud",AL 5th,0.592593361004
Yea,D,"Bishop, Sanford",GA 2nd,0.463573639093
Yea,D,"Blumenauer, Earl",OR 3rd,0.289027285774
Yea,D,"Boswell, Leonard",IA 3rd,0.462399204547
Yea,D,"Baldwin, Tammy",WI 2nd,0.266656461921
Yea,D,"Becerra, Xavier",CA 30th,0.296852420259
Yea,D,"Berkley, Shelley",NV 1st,0.304295291947
Yea,D,"Berman, Howard",CA 26th,0.231199951581
Yea,D,"Berry, Robert",AR 1st,0.508354617672
Yea,D,"Crowley, Joe",NY 7th,0.224583826387
Yea,D,"Davis, Danny",IL 7th,0.133682719999
Yea,D,"Davis, Jim",FL 11th,0.433413897103
Yea,D,"Abercrombie, Neil",HI 1st,0.230380181698
Yea,D,"Ackerman, Gary",NY 5th,0.241322118733
Yea,D,"Allen, Tom",ME 1st,0.283631817576
Yea,D,"Baca, Joe",CA 42nd,0.348569993733
Yea,D,"Baird, Brian",WA 3rd,0.359667650117
Yea,D,"Dicks, Norm",WA 6th,0.240905855525
Yea,D,"Boucher, Rick",VA 9th,0.514889355661
Yea,D,"Boyd, Allen",FL 2nd,0.532970712862
Yea,D,"Brady, Robert",PA 1st,0.229646794243
Yea,D,"Brown, Corrine",FL 3rd,0.206808482563
