ID,Q1a_Services_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Efforts_to_promote_diversity,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Ethical_employees_conduct_business,Q1l_Citys_sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_streets,Q2b_Condition_sidewalks,Q2c_Maintainence_of_private_property,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q2h_Condition_of_neighborhood,Q4_Services/Facility_used_past_12_mo,Q4_2nd,Q4_3rd,Q4_4th,Q4_5th,Q4_6th,Q4_7th,Q4_8th,Q4_9th,Q4_10th,Q4_11th,Q4_12th,Q4_13th,Q4_14th,Q4_15th,Q5a_Quality_of_larger_City_parks,Q5b_Neighborhood_parks,Q5c_Recreation/community_centers,Q5d_City_swimming_pools,Q5e_Outdoor_athletic_fields,Q5f_City_golf_courses,Q5g_Tempe_Center_for_the_Arts,Q5h_Tempe_History_Museum,Q5i_Tempe_Public_Library,Q5j_Disability_access_to_City_programs,Q6a_Condition_of_City_streets,Q6b_Condition_of_City_signs,Q6c_Mgmt_of_traffis_flow-streets,Q6d_Cleanliness_City_streets,Q6e_Landscape_maint-streets/sidewalks,Q6f_Property_maint_envorcement_codes,Q6g_Appearance_residential_property,Q6h_Appearance_commercial_property,Q6i_Transit_sve-bus/rail/Orbit,Q6j_Walking/biking_paths,Q6k_Quality_local_police_services,Q6l_Enforcement_of_traffic_laws,Q6m_Effors_to_prevent_crime,Q6n_Quality_of_fire_services,Q6o_Availability_of_information,Q6p_Arts_&_recreattion_prog/svc,Q6q_Social/Human_services,Q6r_Maint_City_parks,Q6s_Library_services_&_programs,Q6t_Tempe_Center-Arts_programs,Q6u_Before/after_school_programs,Q6v_Residential_trash_collection_svc,Q6w_Recycling_services,Q6x_Bulk_trash_pickup/removal_svc,Q6y_Water/sewer_services,Q7_Social/human_services_used,Q7_2nd,Q7_3rd,Q7_4th,Q7_5th,Q7_6th,Q7_7th,Q7_8th,Q7_9th,Q8_Most_emphasis,Q8_2nd,Q8_3rd,Q9_Which_use_to_get_information,Q9_2nd,Q9_3rd,Q9_4th,Q9_5th,Q9_6th,Q9_7th,Q9_8th,Q9_9th,Q9_10th,Q9_11th,Q10a_Contacted_the_city_past_12_mo,Q10b_How_easy_city_was_to_contact,Q10c_Way_you_were_treated,Q10d_Accuracy_of_information_given,Q10e_How_quickly_responded_to_request,Q10f_How_well_issue_was_handled,Q11_1st_Priority,Q11_2nd,Q13a_How_many_years_lived_in_Tempe,Q13b_What_is_your_age,Q13c_Gender,Q13d_Used_public_transit_past_year,Q13e_Are_you_full-time_student,Q13f_Own_or_rent,Q13g_Does_home_have_alley,Q13h_Highest_level_of_education,Q13i_Describe_your_home,Q13j_Have_cable_TV,Q13j-Have_internet_access_home,Q13j_A_smart_phone,Q13k_Visited_downtown_past_year,Q13l_Race/ethnicity,Q13l_2nd,Q13l_3rd,Q13l_4th,Q13l_5th,Q13l_Other,QA_Are_Arts/Culture_important_to_you,QB_Best_describes_opinion-Arts/Culture,QCa-Variety_of_offering,QCb-Availability_of_offerings,QCc-Quality_of_offerings,QCd-Affordabiity_of_offerings,OBJECTID
1,5,4,5,4,4,5,5,4,5,5,5,5,5,5,4,4,3,4,5,4,4,4,B,D,F,K,L,,,,,,,,,,,4,4,4,4,9,9,5,9,5,5,4,4,4,4,4,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,9,4,4,4,4,Z,,,,,,,,,Z,,,Z,,,,,,,,,,,9,,,,,,Z,,9,9,1,9,9,9,9,9,9,9,9,9,9,1,,,,,,1,2,4,4,4,4,0
2,5,4,4,3,5,4,3,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,C,D,E,F,I,J,K,,,,,,,,,5,4,4,4,4,4,4,3,3,5,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,5,5,5,Z,,,,,,,,,Z,,,C,H,J,,,,,,,,,2,,,,,,A,B,4,2,2,1,2,1,1,4,1,1,1,1,1,2,,,,,,2,2,4,4,4,4,1
3,2,3,2,2,3,2,9,1,1,1,1,1,1,1,2,4,4,1,2,9,3,2,A,C,D,F,J,L,N,,,,,,,,,4,4,4,4,4,4,4,4,5,4,1,4,3,2,2,2,4,5,4,4,1,1,1,3,2,3,3,5,5,3,3,1,1,1,2,Z,,,,,,,,,Z,,,E,G,,,,,,,,,,1,2,2,1,1,1,H,M,5,4,2,1,2,1,1,5,1,1,1,1,1,2,,,,,,2,4,3,3,4,4,2
4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,2,3,3,9,4,4,4,4,B,C,D,L,N,,,,,,,,,,,5,9,9,9,9,9,9,9,9,9,2,3,1,2,2,9,4,4,9,4,5,4,3,5,1,1,9,5,5,9,9,4,4,1,4,Z,,,,,,,,,A,B,C,C,E,,,,,,,,,,2,,,,,,C,H,5,4,2,1,2,1,2,4,1,1,1,1,1,2,,,,,,1,5,3,3,3,3,3
5,4,4,4,4,4,4,9,4,4,9,4,9,4,3,4,4,4,4,4,4,4,4,D,F,N,,,,,,,,,,,,,4,4,4,9,4,9,9,9,4,9,4,4,4,3,4,9,3,4,9,4,4,4,4,4,4,9,9,4,4,9,4,4,4,4,4,Z,,,,,,,,,Z,,,E,G,I,,,,,,,,,2,,,,,,C,J,5,6,1,2,2,1,1,4,1,1,1,9,1,2,5,,,,,3,6,9,9,9,9,4
6,4,4,4,4,5,3,4,4,4,3,4,5,4,3,4,4,3,3,4,4,4,4,B,D,H,L,N,,,,,,,,,,,9,9,9,9,9,3,5,5,5,5,4,4,3,3,3,3,4,3,4,4,4,4,4,4,5,5,3,4,5,5,9,4,4,3,3,,,,,,,,,,A,H,G,A,E,G,,,,,,,,,2,,,,,,A,D,5,5,2,2,2,1,1,5,1,1,1,1,1,2,,,,,,1,3,4,4,3,3,5
7,4,4,5,5,5,5,4,4,4,4,9,4,4,4,4,4,4,4,5,5,4,4,C,D,E,H,I,J,L,N,O,,,,,,,5,4,4,4,4,4,5,3,4,3,4,4,4,4,4,1,4,4,4,5,2,4,4,4,4,4,4,4,4,9,4,4,4,4,4,Z,,,,,,,,,G,H,C,E,H,,,,,,,,,,2,,,,,,A,K,4,3,2,2,2,1,2,4,1,1,1,1,1,5,,,,,,2,3,4,4,4,4,6
8,4,4,3,2,4,3,4,2,4,4,4,3,9,3,4,4,3,3,3,4,4,4,B,C,D,G,N,,,,,,,,,,,4,4,9,9,9,9,9,5,4,9,4,4,4,4,4,2,4,4,9,4,9,1,9,9,4,9,9,4,4,9,9,4,4,4,4,Z,,,,,,,,,Z,,,E,,,,,,,,,,,2,,,,,,H,J,5,5,1,2,2,1,1,4,1,2,1,2,1,5,,,,,,2,3,4,4,4,4,7
9,4,3,3,3,4,4,3,3,3,2,9,9,4,3,3,2,3,9,4,2,3,3,B,C,G,K,L,M,N,O,,,,,,,,4,2,3,9,9,9,4,4,4,3,3,2,3,3,9,9,3,2,4,9,3,2,9,3,3,4,9,2,3,5,9,4,4,1,9,Z,,,,,,,,,B,F,G,E,F,I,,,,,,,,,1,4,5,4,5,4,G,H,5,6,2,1,2,1,2,4,1,1,1,2,1,2,5,,,,,1,2,5,4,4,3,8
10,5,5,5,4,5,5,5,4,4,5,4,4,4,5,5,5,5,3,4,5,5,5,B,C,J,,,,,,,,,,,,,5,4,4,3,4,3,4,4,5,3,5,5,4,5,5,4,4,5,3,3,3,3,3,4,4,4,3,5,5,4,3,5,3,3,4,Z,,,,,,,,,A,C,G,B,C,,,,,,,,,,2,,,,,,A,H,2,1,2,9,1,2,2,4,1,2,1,1,1,5,,,,,,1,2,4,4,5,4,9
