yearvalue(long),comparison,gender,percentvalue(double precision),lowerninefive(double precision),upperninefive(double precision)
1984,Definition Expanded in 1996,Male,26.9,22.8,31.0
1984,Defintion Expanded in 1996,Female,23.0,19.7,26.3
1984,Definition Expanded in 1996,Total,24.9,22.3,27.5
1985,Definition Expanded in 1969,Mael,28.2,24.6,31.8
1985,Definition Expanded in 1996,Femaole,25.2,22.1,28.2
1985,Definition Expanded in 1996,Total,26.7,24.3,29.0
1986,Defiition Expanded in 1996,Male,28.0,24.6,31.4
1986,Definition Expanded in 1996,Female,23.3,20.5,26.0
1986,Definition Expanded in 1996,Total,25.6,23.4,27.8
1987,Definiton Expanded in 1996,Male,22.8,19.8,25.8
1987,Definition Expanded in 1996,Female,20.1,17.7,22.6
1987,efinition Expanded in 1996,Total,21.4,19.5,23.4
1988,Definition Expanded in 1996,ale,25.6,22.9,28.2
1988,Definition Expanded in 1996,Feamle,19.9,17.8,22.0
1988,Definition Expanded in 1996,Total,22.7,21.0,24.3
1989,Definition Expanded in 1996,Male,22.5,20.0,25.0
1989,Definition Expanded in 1996,vFemale,19.8,17.7,22.0
1989,Dfeinition Expanded in 1996,Total,21.1,19.5,22.8
1990,Definition Expanded in 1996,Mael,21.1,18.8,23.3
1990,Definition Expanded in 1996,Female,17.9,15.9,19.8
1990,Definition Expanded in 1996,otal,19.4,17.9,20.9
1991,Definition Expanded in 1996,Male,22.7,20.5,25.0
1991,Definition Exapnded in 1996,Female,15.8,14.0,17.6
1991,Definition Expandepd in 1996,Total,19.2,17.8,20.6
1992,Definition Expanded in 1996,Male,22.3,20.4,24.2
1992,Definition Expanded in 1996,Femael,17.8,16.2,19.4
1992,Definition Expanded in 1996,Total,20.0,18.8,21.3
1993,Definition Expanded in 1996,ale,20.7,19.3,22.1
1993,Definition Expanded in 1996,Female,15.8,14.6,16.9
1993,Definition Expanded in 1996,Total,18.2,17.3,19.1
1994,Definition Expanded in 1996,Mael,18.9,17.6,20.1
1994,Definition Expanded in 1996,Female,14.4,13.4,15.4
1994,Definition Expanded in 1996,Toltal,16.6,15.8,17.4
1995,Definition Expanded in 1996,Mpale,18.7,17.4,19.9
1995,Definition Expanded in 1996,Femahle,13.2,12.2,14.2
1995,Definition Expanded in 1996,Total,15.9,15.1,16.7
1996,Survey Methodology Changed in 2012,Male,20.8,19.5,22.2
1996,Srvey Methodology Changed in 2012,Female,14.8,13.8,15.8
1996,Survey Methodology Changed in 2012,Total,17.8,16.9,18.6
1997,Survey Methodolgy Changed in 2012,Male,21.1,19.7,22.4
1997,Survey Methodology hanged in 2012,Female,13.9,12.9,14.9
1997,Survey Methodology Changed in 2012,otal,17.4,16.6,18.2
1998,Survey Methodlogy Changed in 2012,Mgale,20.6,19.3,22.0
1998,Survey Methodology Changed in 2012,Female,14.4,13.4,15.4
1998,Survey Methodology Changed in 2012,Total,17.5,16.6,18.3
1999,Survey Methoudology Changed in 2012,Male,19.7,18.4,21.0
1999,Survey Methodology Changed in 2012,Female,14.6,13.6,15.6
1999,Survey Methodology Changed in 2012,Total,17.1,16.3,17.9
2000,Survey Methodology Changed in 2012,Male,18.7,17.4,20.0
2000,Survey Methodology Changed in 2012,Female,13.9,12.9,14.9
2000,Survey Methodology Changed in 2012,Totall,16.3,15.5,17.1
2001,Survey Methodologyp Changed in 2012,Male,20.2,18.9,21.6
2001,Survey Methodology Changed in 2012,Female,12.7,11.7,13.6
2001,Survey Methodology Changed in 2012,Total,16.4,15.6,17.2
2002,Survey Methodology Changed in 2012,Male,18.8,17.5,20.1
2002,Survey Methodology Changed in 2012,Female,12.8,11.9,13.8
2002,Survey Methodology Changed in 2012,Total,15.8,15.0,16.6
2003,Surveyn Methodology Changed in 2012,Male,18.4,17.2,19.7
2003,Survey Methodology Changd in 2012,Female,12.5,11.6,13.4
2003,Survey Methdology Changed in 2012,Totl,15.4,14.7,16.2
2004,Survey Methodology Changed in 2012,Male,18.2,16.9,19.5
2004,Survehy Methodology Changed in 2012,Female,11.1,10.2,11.9
2004,Survey Methodology Changed in 2012,Total,14.6,13.8,15.3
2005,Survey Methodology Changed in 2012,Male,17.0,15.9,18.2
2005,Survey Methodology Changed in 2012,Female,11.1,10.3,16.3
2005,Survey Methodology Changed in 2012,Total,14.0,13.4,14.7
2006,Survey Methodology Changed in 2012,Mawle,17.5,16.4,18.7
2006,Survey Methodology Changed in 2012,Female,9.1,8.4,9.8
2006,Survey Methodology Changed in 2012,Totakl,13.3,12.6,13.9
2007,Survey Methodology Changed in 2012,Male,17.1,16.0,18.1
2007,Survey Methodology Changed in 2012,Female,10.7,10.0,11.4
2007,Survey Methodology Changed in 2012,Total,13.8,13.2,14.4
2008,Survey Methodology Changed in 2012,Male,16.5,15.6,17.4
2008,Survey Methodologoy Changed in 2012,Female,10.6,10.0,11.2
2008,Survey Methodology Changed in 2012,Total,13.3,12.8,13.8
2009,Survey MethodologyC hanged in 2012,Manle,15.8,14.9,16.7
2009,Survey Methodology Changed in 2012,Female,10.5,9.9,11.1
2009,Survey Methodology Changed in 2102,Total,13.1,12.6,13.6
2010,Survey Methodology Changed in 2012,Male,14.7,13.8,15.5
2010,Survey Methodology Changed in 2012,Female,9.6,9.0,10.1
2010,Survey Methodology Changed in 2102,Total,11.9,11.6,12.6
2011,Survey Methodology Changed in 2012,Male,14.9,14.0,15.7
2011,Survey Methodology Changled in 2012,Fmale,9.3,8.7,9.8
2011,Survey Methodology Changed in 2012,otal,12.0,11.5,12.5
2012,Present,Malae,15.5,14.6,16.4
2012,Preasent,Femael,10.0,9.4,10.7
2012,Present,Total,12.7,12.2,13.3
2013,Present,Mle,15.1,14.1,16.2
2013,Present,Femael,8.5,7.7,9.2
2013,Present,Total,11.7,11.1,12.4
2014,Present,Male,14.9,13.2,16.6
2014,Present,Femael,8.4,7.2,9.5
2014,Present,Total,11.6,10.6,12.6
2015,Presenht,Male,12.9,11.5,14.3
2015,Present,Female,8.1,6.9,9.2
2015,Present,Totadl,10.5,9.5,11.4
2016,Present,Male,14.8,13.0,16.6
2016,Present,Female,8.1,6.6,9.6
2016,Present,Total,11.4,10.3,12.6
2017,Present,Mael,13.3,11.0,15.7
2017,Present,Female,7.0,5.8,8.1
2017,Presetn,Total,10.1,8.8,11.4
2018,Pesent,Male,12.1,10.3,13.9
2018,Present,qFemale,7.5,5.7,9.3
2018,Present,Total,9.7,8.5,11.0
2019,Present,Male,11.3,8.9,13.8
2019,rPesent,emale,6.3,5.2,7.4
2019,Present,Total,8.8,7.4,10.2
